"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99823400","50/561/50/95/95/","0.3536492175573556/1.5743899341641917E-5/0.3536492175573556/0.14634291049297357/0.14634291049297357/","0/2/","no"
"1","101525700","216/3989/54/54/529/","0.02561345004065116/4.1292066849585767E-32/0.4871500327907899/0.4871500327907899/8.648437776908005E-5/","2/3/5/6/7/","no"
"2","94353600","94/4028/54/61/182/","0.19633080015919585/1.6946834395109648E-32/0.40629265284777544/0.35773804206578264/0.039638504927246174/","2/3/5/6/7/","no"
"3","94449400","193/502/157/68/68/","0.06694918513453868/7.60083511066515E-4/0.11280639505915978/0.4097421681476175/0.4097421681476175/","3/4/5/6/7/","no"
"4","100205200","214/3989/502/50/60/","0.021548392678423067/1.5385359274380714E-34/7.602009274230547E-5/0.5369943121696308/0.4413812750592039/","3/4/5/6/7/","no"
"5","95325900","80/231/571/51/51/","0.21986886387254598/0.012051451890025612/1.7434986084613553E-5/0.3840311246256719/0.3840311246256719/","3/4/5/6/7/","no"
"6","96266200","109/60/95/95/227/","0.1696836626891228/0.3788781253650503/0.2134588539622278/0.2134588539622278/0.024520504021371372/","1/","no"
"7","97962700","83/228/107/1468/1468/","0.5182855016192705/0.09223464098416602/0.3894797857970161/3.579977368440513E-8/3.579977368440513E-8/","0/","no"
"0","99797100","50/561/50/95/95/","0.3536492175573556/1.5743899341641917E-5/0.3536492175573556/0.14634291049297357/0.14634291049297357/","0/2/","no"
"1","98055100","1551/79/228/3989/1535/","8.836754511260859E-9/0.8655880603825874/0.13441191998742183/5.142430776660331E-22/1.0793236333238367E-8/","1/","no"
"2","100546400","103/160/83/50/157/","0.16719386156421917/0.05468048753806031/0.24747531745698198/0.4726568611539972/0.05799347228674126/","3/5/6/7/","no"
"3","105388100","55/565/68/157/3989/","0.5115774647793435/5.671912424055588E-5/0.40559542112589814/0.0827703949705177/1.5838864798331782E-31/","0/","no"
"4","98393100","206/10317/565/50/60/","0.025117497217177442/1.9905194747760266E-88/2.2023372951057185E-5/0.5350649989998361/0.43979548041003547/","3/4/5/6/7/","no"
"5","96890300","55/968/134/50/50/","0.29252867793780524/4.914118948000081E-9/0.06214952022236293/0.32266089846285645/0.32266089846285645/","0/3/4/5/6/7/","no"
"6","99928200","109/561/95/95/60/","0.17393066685778744/1.0527499924534068E-4/0.21880150527142816/0.21880150527142816/0.38836104760011086/","4/","no"
"7","101622300","108/571/1468/157/79/","0.33534798244365993/0.0010280550809179494/1.3883197614370115E-8/0.18175665759597717/0.4818672909962474/","4/","no"
"0","95728000","60/98/233/61/1366/","0.387783938899209/0.20799156091218693/0.022745850934123762/0.38147864905930895/1.951713903457421E-10/","0/3/5/6/7/","no"
"1","99199900","103/4028/214/50/157/","0.23324682837953087/8.793703061928179E-35/0.02645980142367081/0.6593885250604655/0.08090484513633281/","3/5/6/7/","no"
"2","101006100","72/3989/79/79/203/","0.3351954243579054/1.6677350098689288E-24/0.304546354494298/0.304546354494298/0.055711866653498684/","0/2/3/5/6/7/","no"
"3","95199000","1551/160/529/50/50/","7.809957560031559E-14/0.054678649361259775/3.940664559892256E-5/0.4726409719965316/0.4726409719965316/","3/4/5/6/7/","no"
"4","99351600","61/157/50/157/1468/","0.3929001282229816/0.05981177283544002/0.4874763261057282/0.05981177283544002/4.100754941106885E-13/","0/2/","no"
"5","102531000","78/1535/168/50/50/","0.21578016258966198/8.449174088400185E-14/0.03694957854601558/0.37363512943211896/0.37363512943211896/","3/4/5/6/7/","no"
"6","100168900","65/561/60/60/95/","0.2643644172531287/7.778403913998024E-5/0.2869464843839239/0.2869464843839239/0.16166482993988346/","0/2/3/5/6/7/","no"
"7","98957300","160/10317/565/157/50/","0.09341498554862898/3.0039315177064314E-88/3.3235898956139545E-5/0.09907481844981597/0.807476960102599/","4/","no"
"0","94438300","50/233/61/98/1366/","0.4496799702033942/0.012432336472767884/0.3624367143398474/0.17545097898119558/2.795135041294419E-12/","0/2/","no"
"1","98059100","1468/72/1535/157/157/","3.0493983265045072E-9/0.6156763468069595/1.2179097650048517E-9/0.19216182446286623/0.19216182446286623/","1/","no"
"2","98108400","83/3989/68/68/228/","0.27716649112097286/7.2093577041241E-26/0.3444709221548004/0.3444709221548004/0.03389166456942632/","0/2/3/5/6/7/","no"
"3","98056500","4028/571/1468/50/50/","6.667952081310348E-35/1.8295567312747415E-5/4.20602980684821E-13/0.4999908522161334/0.4999908522161334/","3/4/5/6/7/","no"
"4","97933300","78/1535/168/50/50/","0.21578016258966198/8.449174088400185E-14/0.03694957854601558/0.37363512943211896/0.37363512943211896/","3/4/5/6/7/","no"
