domain,BACC average standard,BACC average not use,BACC average use,BACCDROP,BACC improvement,Recall average standard,Recall average not use,Recall average use,Recall DROP,Recall improvement,Precision average standard,Precision average not use,Precision average use,Precision DROP,Precision improvement,BACC average standard std,BACC average not use std,BACC average use std,BACC improvement std,Recall average standard std,Recall average not use std,Recall average use std,Recall improvement std,Precision average standard std,Precision average not use std,Precision average use std,Precision improvement std
gradual\bw,0.6051033834586467,0.5925449039264828,0.6023485797827903,0.0125584795321637,0.0098036758563074,0.31575396825396823,0.28527777777777774,0.32825396825396824,0.030476190476190466,0.042976190476190466,0.180660285481714,0.16824673606816462,0.15990895546252684,0.012413549413549383,-0.008337780605637717,0.041893662630140584,0.030994027823972415,0.028404595640871864,0.0067730579520859984,0.10206011930046474,0.07958515122996433,0.07868385415068359,0.017492952905685887,0.040481459752541436,0.03057081303577877,0.02747879236641632,0.008579249364064703
gradual\depots,0.7583829365079364,0.6722420634920635,0.6757837301587302,0.08614087301587295,0.0035416666666666513,0.7,0.49624999999999997,0.6525,0.20375,0.15624999999999994,0.41141666666666665,0.333125,0.286172619047619,0.07829166666666665,-0.0469523809523809,0.08635401266276187,0.08953879915739173,0.13874164601495564,0.04920284685756391,0.0707106781186547,0.1184403858487467,0.10960155108391488,0.008838834764831773,0.19174378883175217,0.1558581196865348,0.15486480301772518,0.0009933166688095981
gradual\driverlog,0.8073214285714286,0.5839166666666665,0.6488214285714284,0.22340476190476194,0.06490476190476177,0.7449999999999999,0.3483333333333333,0.6908333333333333,0.3966666666666666,0.34249999999999997,0.6508809523809523,0.3056249999999999,0.2921964285714285,0.34525595238095236,-0.01342857142857142,0.16022928361465144,0.08839207952199236,0.09622461896998273,0.07078531785963657,0.19734346820820908,0.1216780816562932,0.13618053784916878,0.11259255451997413,0.27221791032727405,0.13037822250198758,0.09960898541593569,0.07626690218640451
gradual\dwr,0.8180476190476191,0.6805833333333332,0.6641666666666667,0.13746428571428582,-0.01641666666666658,0.7411904761904762,0.4821428571428571,0.6480952380952381,0.259047619047619,0.16595238095238093,0.6598531746031746,0.4431845238095238,0.26586309523809526,0.21666865079365075,-0.17732142857142855,0.10586755399127362,0.09255286685600461,0.05741371508363847,0.0571134193767322,0.12344727224585933,0.15099584397578358,0.10828540933700831,0.15198364778821222,0.22644330915963162,0.17652235825366536,0.06508030685233687,0.12165653023367771
gradual\easy-ipc-grid,0.7176944444444444,0.5893333333333333,0.6269722222222222,0.1283611111111111,0.03763888888888888,0.6839999999999999,0.41500000000000004,0.765,0.26899999999999996,0.35,0.3748238095238095,0.24911666666666665,0.26090714285714284,0.12570714285714285,0.011790476190476181,0.09030052419992858,0.08453731085915651,0.11071894140078661,0.03140302041775635,0.10637460014287037,0.10287532908007307,0.06398784606817488,0.14681810363696826,0.1599420637106328,0.07104763008532192,0.07575056757730733,0.01720781362742606
gradual\ferry,0.7797619047619048,0.6754861111111111,0.6958928571428572,0.1042757936507936,0.02040674603174605,0.6703373015873016,0.4668650793650793,0.6387896825396825,0.20347222222222217,0.17192460317460312,0.5852463624338624,0.4317460317460317,0.34778191137566133,0.15350033068783062,-0.08396412037037032,0.04316399736973208,0.03401139466313044,0.038669591432898526,0.01699820821667607,0.05125883678401701,0.053824358820321716,0.08218288937100346,0.0894105608628084,0.07856870295914481,0.05498455857587497,0.06194704326712607,0.021478959170544043
gradual\intrusion-detection,0.9949561403508772,0.8811988304093568,0.880648148148148,0.1137573099415204,-0.0005506822612087,0.9933333333333333,0.7933333333333333,0.8300000000000001,0.19999999999999998,0.03666666666666667,0.9691666666666666,0.7691666666666667,0.6589999999999999,0.19999999999999996,-0.11016666666666663,0.00471547324284327,0.041520341713835195,0.03568351478528695,0.006261788808961674,0.007637626158259777,0.08098353742170895,0.02598076211353313,0.055075705472861024,0.02809952550014565,0.060535802078880055,0.12217792126421387,0.06192356399447445
gradual\logistics,0.9160465768799102,0.7975505050505051,0.8285634118967452,0.11849607182940515,0.031012906846240165,0.8890740740740741,0.6624074074074074,0.8542592592592593,0.22666666666666663,0.19185185185185183,0.7286419753086419,0.5843827160493826,0.38310185185185186,0.1442592592592592,-0.20128086419753083,0.03316359232414932,0.021759347992967866,0.0499231717740988,0.041315709823516816,0.04071505924572277,0.03682834724086633,0.1194289395621441,0.11204055703071583,0.13611774391750212,0.08028135538185611,0.0913196820867208,0.11996166636664517
gradual\miconic,0.845952380952381,0.6430952380952382,0.6807142857142857,0.2028571428571428,0.03761904761904759,0.7952380952380952,0.4309523809523809,0.8023809523809523,0.36428571428571427,0.3714285714285714,0.7158333333333333,0.4111111111111111,0.28309523809523807,0.3047222222222222,-0.128015873015873,0.15291566649039293,0.06332915608613472,0.07197515738380349,0.04670491629742207,0.19690058727652707,0.08841640298870072,0.15558389764480515,0.11968874978625531,0.2774282523197397,0.11149240133549711,0.05495214635646943,0.08529593674611245
gradual\rovers,0.9272222222222223,0.6422222222222221,0.6825,0.2850000000000001,0.0402777777777779,0.9194444444444444,0.4388888888888889,0.7916666666666666,0.48055555555555557,0.3527777777777777,0.8337962962962964,0.4152777777777777,0.29749999999999993,0.4185185185185185,-0.11777777777777777,0.06118883945683292,0.04897467221450817,0.1140065787575436,0.07855229444747586,0.07025087319873814,0.06721992649890744,0.25533202784696724,0.21613181848807675,0.1490988017218687,0.08069432491863401,0.06590303389483076,0.04335647530205017
gradual\satellite,0.8099999999999999,0.6546088435374149,0.7018367346938775,0.1553911564625851,0.04722789115646257,0.748639455782313,0.4518707482993197,0.7946428571428571,0.29676870748299317,0.34277210884353737,0.6544331065759638,0.4078231292517006,0.33640589569160995,0.246609977324263,-0.0714172335600907,0.18198748430714803,0.08783436046629384,0.08084536744300115,0.04333587960673321,0.23690518921097758,0.11984624413397442,0.14164040372808162,0.13638117120084678,0.3017963819555192,0.15459829132705163,0.0897589804430777,0.11889305379226686
