domain,BACC average standard,BACC average not use,BACC average use,BACCDROP,BACC improvement,Recall average standard,Recall average not use,Recall average use,Recall DROP,Recall improvement,Precision average standard,Precision average not use,Precision average use,Precision DROP,Precision improvement,BACC average standard std,BACC average not use std,BACC average use std,BACC improvement std,Recall average standard std,Recall average not use std,Recall average use std,Recall improvement std,Precision average standard std,Precision average not use std,Precision average use std,Precision improvement std
sudden\bw,0.6134931077694236,0.5924394319131161,0.6005242272347536,0.021053675856307418,0.008084795321637401,0.3323412698412698,0.28531746031746036,0.3242460317460318,0.04702380952380945,0.03892857142857138,0.18715025461751647,0.1690832345564488,0.15887511727690296,0.018067020061067668,-0.010208117279545818,0.04048307780467061,0.03357082530970292,0.03144968888244145,0.006396034250179988,0.10037090135216684,0.08635825116027898,0.08530383427549601,0.016116603176823063,0.044467704312747505,0.03264598196575345,0.030527385097615614,0.008916289088427226
sudden\depots,0.7157539682539682,0.6340178571428571,0.643015873015873,0.08173611111111109,0.0089980158730159,0.6225,0.43125,0.5975,0.19124999999999998,0.16625,0.378625,0.2945833333333333,0.24724305555555548,0.0840416666666666,-0.0473402777777777,0.07278710279356759,0.0720996378674139,0.12144278368949908,0.04934314582208505,0.06717514421272211,0.09722718241315031,0.1025304832720494,0.005303300858899111,0.1400660682400353,0.1278684762645674,0.1348707975838175,0.007002321319250126
sudden\driverlog,0.8020357142857144,0.5858690476190476,0.6408809523809522,0.21616666666666662,0.05501190476190464,0.73,0.3524999999999999,0.6791666666666666,0.3775,0.3266666666666666,0.6315535714285714,0.30295833333333333,0.2781339285714285,0.32859523809523805,-0.024824404761904798,0.14920053628705454,0.09090869759371728,0.09715604485647913,0.06681271735740339,0.19163043135739746,0.12814108977564104,0.13987841942995433,0.10381607668264961,0.28061076291223797,0.14088451362926857,0.103340125473391,0.07134133882573825
sudden\dwr,0.8209523809523811,0.682392857142857,0.6616666666666666,0.13855952380952385,-0.02072619047619048,0.7528571428571429,0.4871428571428572,0.6505952380952381,0.2657142857142857,0.1634523809523809,0.6619295634920634,0.44630952380952377,0.26223908730158724,0.21562003968253968,-0.18407043650793647,0.10629721673283542,0.09173642019839409,0.06515322131508483,0.05462136469116833,0.11556620816392546,0.14691990737702454,0.10666892535873888,0.1511269551601028,0.2251467099304286,0.18389107627525997,0.07536935080553514,0.11822829986180029
sudden\easy-ipc-grid,0.7438888888888889,0.6092777777777777,0.6465833333333333,0.13461111111111113,0.03730555555555556,0.73,0.45200000000000007,0.7939999999999999,0.2779999999999999,0.34199999999999997,0.40969047619047616,0.2803999999999999,0.28968690476190473,0.1292904761904762,0.00928690476190479,0.08678440483065315,0.0961527776663225,0.12043552723698468,0.03251227741087514,0.08589399151150086,0.11331372379372236,0.062218253841707205,0.14497509364638392,0.1531807392471105,0.09442804432770781,0.0956995730963118,0.026685605077073897
sudden\ferry,0.7594444444444445,0.6491369047619048,0.6869642857142857,0.11030753968253965,0.03782738095238095,0.6328373015873016,0.41964285714285715,0.6134920634920635,0.21319444444444438,0.19384920634920633,0.5495403439153439,0.38665674603174605,0.32655919312169307,0.16288359788359788,-0.060097552910052886,0.05317874154708937,0.02924391495322377,0.018751795076581486,0.015814021072189523,0.08584019907375519,0.03663108972845167,0.05739856806597347,0.08579581660335449,0.09777532610745242,0.042945270117145835,0.030738711920314302,0.021666820578290297
sudden\intrusion-detection,0.9959649122807018,0.8821637426900585,0.8857797270955166,0.11380116959064324,0.003615984405458,0.995,0.7949999999999999,0.84,0.19999999999999998,0.045000000000000005,0.9738888888888889,0.7741666666666666,0.6656666666666667,0.19972222222222213,-0.10849999999999993,0.003950291315507924,0.042322955458427215,0.040130983318083645,0.0024640611860470805,0.0050000000000000044,0.08231038816577164,0.03464101615137751,0.04769696007084728,0.02507396465865948,0.06506940738763328,0.1280121522009185,0.06336424684139927
sudden\logistics,0.9332828282828284,0.801837822671156,0.8333698092031425,0.13144500561167227,0.03153198653198649,0.9205555555555556,0.6672222222222222,0.8587037037037037,0.2533333333333333,0.19148148148148145,0.7556604938271605,0.5942901234567901,0.3871419753086419,0.16137037037037036,-0.20714814814814805,0.029630190691906293,0.023641677190835063,0.052744889575194596,0.03838250720379084,0.042687494916218954,0.03970376416523863,0.1261551562830078,0.10917762172908767,0.1212656170560005,0.08371315191677396,0.0895205512610348,0.11924803295735126
sudden\miconic,0.8638095238095238,0.645952380952381,0.6807142857142855,0.21785714285714292,0.03476190476190468,0.8309523809523809,0.43809523809523804,0.8047619047619047,0.39285714285714285,0.36666666666666664,0.7414285714285713,0.417063492063492,0.2848412698412698,0.3243650793650793,-0.13222222222222219,0.1312642030611964,0.0582209802363593,0.07776303715191393,0.040085886629564624,0.1599851183555461,0.07620287597511205,0.15744319543365404,0.14272480642961255,0.24019627329759985,0.1020926686513652,0.053890763890361175,0.06342687212054435
sudden\rovers,0.9222222222222222,0.641111111111111,0.6744444444444445,0.28111111111111114,0.03333333333333337,0.9111111111111111,0.4388888888888889,0.7833333333333333,0.47222222222222215,0.3444444444444444,0.8296296296296296,0.41342592592592586,0.28995370370370366,0.4162037037037037,-0.1234722222222222,0.06723645395721539,0.046769727467747844,0.11180671151921397,0.07249521056977176,0.08004628290812388,0.06721992649890744,0.27039066387564337,0.21125725935368378,0.14134131121205867,0.07714857932704317,0.059056213194484695,0.050019363534486
sudden\satellite,0.803095238095238,0.6541326530612244,0.6944557823129252,0.14896258503401363,0.04032312925170073,0.7438775510204082,0.44948979591836735,0.7922619047619047,0.2943877551020408,0.34277210884353737,0.6405839002267574,0.4117913832199546,0.3271201814058956,0.22879251700680273,-0.08467120181405896,0.18356659042890425,0.08738118794261629,0.08199408131370434,0.038422989546472885,0.2391518505087737,0.12234685682258298,0.13870324895200278,0.1325945147417349,0.30783441647051557,0.14931478847609556,0.08714060391027954,0.10922403744420524
sudden\sokoban,0.7655291005291005,0.6380853174603174,0.6771031746031745,0.1274437830687831,0.03901785714285713,0.6261111111111112,0.40055555555555555,0.6313888888888889,0.2255555555555556,0.2308333333333333,0.5689583333333333,0.3869675925925926,0.3440972222222222,0.1819907407407407,-0.0428703703703703,0.0888384021400733,0.025147422944775406,0.03568202246419474,0.026277554105609592,0.153917967569549,0.05229899793672139,0.10822002621545643,0.09245869948853445,0.15423506365645628,0.050809072585473215,0.06057197471083777,0.021919230709518994
sudden\zeno-travel,0.8713541666666667,0.664330357142857,0.6579761904761904,0.2070238095238095,-0.006354166666666649,0.8229166666666666,0.4708333333333333,0.6541666666666667,0.3520833333333333,0.1833333333333333,0.7604166666666666,0.45052083333333326,0.30621527777777774,0.3098958333333333,-0.1443055555555555,0.09456489969660863,0.055828962477408296,0.09866560565097231,0.0638170263113396,0.13933954664509016,0.11086778913041728,0.2170402761735284,0.12472191289246473,0.1603850979038565,0.09748538292615593,0.08122212841041854,0.06290363490252864
