Domain,Problem name,BACC average standard,BACC stdev standard,BACC average not use,BACC stdev not use,BACC average use,BACC stdev use,BACCDROP,BACC improvement,Recall average standard,Recall stdev standard,Recall average not use,Recall stdev not use,Recall average use,Recall stdev use,Recall DROP,Recall improvement,Precision average standard,Precision stdev standard,Precision average not use,Precision stdev not use,Precision average use,Precision stdev use,Precision DROP,Precision improvement,DomainFolder
rslt_use_grd_ol\bw,p01,0.6428571428571429,0.2646477817660891,0.6236904761904761,0.2567417752203814,0.6348809523809523,0.2633754213173897,0.0191666666666667,0.0111904761904761,0.4095238095238095,0.4929209510902286,0.3666666666666666,0.4830458915396479,0.4095238095238095,0.4929209510902286,0.0428571428571428,0.0428571428571428,0.2042120181405896,0.3107621114123849,0.1857596371882086,0.3061926148097207,0.1756292517006802,0.2725862289921985,0.0184523809523809,-0.0101303854875283,bw_p01
rslt_use_grd_ol\bw,p02,0.6142105263157894,0.2473771431213988,0.6001315789473685,0.2433814309734073,0.6021052631578947,0.2432364361349663,0.0140789473684209,0.0019736842105262,0.345,0.4765611742093759,0.315,0.4656815397698432,0.34,0.4748975028266149,0.0299999999999999,0.025,0.1610555555555555,0.2796375431352881,0.150797619047619,0.274059290506257,0.1366071428571428,0.2524381092524487,0.0102579365079364,-0.0141904761904761,bw_p02
rslt_use_grd_ol\bw,p03,0.6038157894736842,0.2507827845747105,0.5857894736842105,0.2349944089740369,0.5998684210526316,0.2481616803100872,0.0180263157894736,0.014078947368421,0.335,0.4731748855991926,0.285,0.4525472295516506,0.35,0.4781665150137575,0.05,0.065,0.1691845238095238,0.2989157961261809,0.1442619047619047,0.2808024733809317,0.1359900793650793,0.2365493612504775,0.024922619047619,-0.0082718253968254,bw_p03
rslt_use_grd_ol\bw,p04,0.5285526315789474,0.1818582097159692,0.5378947368421053,0.1889137749636698,0.5569736842105264,0.2143071226974222,-0.0093421052631579,0.019078947368421,0.13,0.3371473590413288,0.145,0.3529844046834771,0.2,0.4010037656936684,-0.0149999999999999,0.055,0.1158333333333333,0.3113332490432061,0.13,0.3287626328955077,0.1364583333333333,0.3015621406360414,-0.0141666666666666,0.0064583333333333,bw_p04
rslt_use_grd_ol\bw,p05,0.599078947368421,0.2340408185512034,0.5882894736842106,0.2242594544882763,0.590263157894737,0.2276418407044376,0.0107894736842104,0.0019736842105264,0.28,0.4501256106095643,0.255,0.4369549727846177,0.275,0.447634766770981,0.025,0.02,0.2045334249084248,0.3723173079037951,0.192577922077922,0.3718279600108823,0.1740903540903541,0.3390912237012553,0.0119555028305028,-0.0184875679875679,bw_p05
rslt_use_grd_ol\bw,p06,0.6421052631578948,0.2634486624255691,0.6194736842105263,0.2572713752658616,0.63,0.2611486373359893,0.0226315789473685,0.0105263157894737,0.395,0.4900774218396364,0.345,0.4765611742093759,0.395,0.4900774218396364,0.05,0.05,0.2291428571428571,0.3513231051347269,0.2060833333333333,0.3379544730455266,0.2006785714285714,0.3244208160411448,0.0230595238095238,-0.0054047619047619,bw_p06
rslt_use_grd_ol\depots,p01,0.8194444444444444,0.2504983186706351,0.7355555555555555,0.2780716739302555,0.7738888888888888,0.2354713389465265,0.0838888888888889,0.0383333333333333,0.75,0.4351941398892446,0.58,0.4960449637488582,0.73,0.4461960433384737,0.17,0.15,0.547,0.4097190463838567,0.4433333333333333,0.4346909579876593,0.3956785714285714,0.3688699030200125,0.1036666666666667,-0.0476547619047618,depots_p01
rslt_use_grd_ol\depots,p03,0.6973214285714285,0.2577258184971399,0.6089285714285715,0.2701394628192172,0.5776785714285715,0.2318575239072587,0.088392857142857,-0.03125,0.65,0.4799789024899355,0.4125,0.4953901416106938,0.575,0.4974619125424375,0.2375,0.1624999999999999,0.2758333333333333,0.2485952092440072,0.2229166666666667,0.2987829862209922,0.1766666666666666,0.2488878214765136,0.0529166666666666,-0.04625,depots_p03
rslt_use_grd_ol\driverlog,p01,0.8983333333333334,0.1987176402964058,0.6383333333333332,0.301460662563868,0.7383333333333332,0.1957962159800091,0.2600000000000002,0.0999999999999999,0.8833333333333333,0.3237317715130933,0.4333333333333333,0.4997174342809082,0.8,0.4033755872716886,0.4499999999999999,0.3666666666666667,0.7416666666666667,0.3504436252284764,0.375,0.4568221105397221,0.3472222222222222,0.2766691625145517,0.3666666666666667,-0.0277777777777777,driverlog_p01
rslt_use_grd_ol\driverlog,p02,0.8049999999999999,0.286075135324354,0.595,0.2788748580289696,0.6883333333333331,0.2923265336227401,0.2099999999999999,0.0933333333333331,0.7166666666666667,0.4544196025054849,0.3333333333333333,0.4753826885415284,0.75,0.4366668823046865,0.3833333333333333,0.4166666666666667,0.65,0.4443620450923369,0.3083333333333333,0.4518480570575319,0.3738888888888888,0.3257378509175772,0.3416666666666667,0.0655555555555554,driverlog_p02
