Real_Goal,Results,BACC,Precision,Recall
0,0/2/,0.975,0.5,1.0
1,6/7/16/,0.425,0.0,0.0
2,0/2/16/,0.95,0.3333333333333333,1.0
3,3/,1.0,1.0,1.0
4,15/,0.475,0.0,0.0
5,12/,0.475,0.0,0.0
6,1/6/7/11/,0.925,0.25,1.0
7,7/,1.0,1.0,1.0
8,7/,0.475,0.0,0.0
9,1/2/3/5/6/7/14/,0.325,0.0,0.0
10,9/,0.475,0.0,0.0
11,1/6/7/8/11/,0.9,0.2,1.0
12,1/6/,0.45,0.0,0.0
13,15/,0.475,0.0,0.0
14,3/13/15/,0.425,0.0,0.0
15,15/,1.0,1.0,1.0
16,4/15/16/,0.95,0.3333333333333333,1.0
17,3/6/11/,0.425,0.0,0.0
18,1/6/7/8/15/,0.375,0.0,0.0
19,4/,0.475,0.0,0.0
20,8/9/11/,0.425,0.0,0.0
0,1/,0.475,0.0,0.0
1,15/16/,0.45,0.0,0.0
2,1/6/7/8/16/,0.375,0.0,0.0
3,4/16/,0.45,0.0,0.0
4,4/16/,0.975,0.5,1.0
5,5/15/,0.975,0.5,1.0
6,15/,0.475,0.0,0.0
7,2/,0.475,0.0,0.0
8,3/6/8/10/11/,0.9,0.2,1.0
9,2/3/4/6/7/13/,0.35,0.0,0.0
10,8/9/10/,0.95,0.3333333333333333,1.0
11,7/8/,0.45,0.0,0.0
12,12/17/,0.975,0.5,1.0
13,2/7/14/,0.425,0.0,0.0
14,14/16/,0.975,0.5,1.0
15,15/,1.0,1.0,1.0
16,2/3/4/7/13/,0.375,0.0,0.0
17,12/17/,0.975,0.5,1.0
18,4/,0.475,0.0,0.0
19,1/6/7/8/16/,0.375,0.0,0.0
20,1/7/8/,0.425,0.0,0.0
0,0/2/,0.975,0.5,1.0
1,5/6/12/17/,0.4,0.0,0.0
2,2/,1.0,1.0,1.0
3,1/8/11/,0.425,0.0,0.0
4,2/3/4/7/13/,0.9,0.2,1.0
5,4/5/11/13/15/,0.9,0.2,1.0
6,1/7/8/,0.425,0.0,0.0
7,6/8/15/,0.425,0.0,0.0
8,1/6/7/8/11/,0.9,0.2,1.0
9,9/10/,0.975,0.5,1.0
10,2/3/4/6/7/13/,0.35,0.0,0.0
11,3/,0.475,0.0,0.0
12,9/10/,0.45,0.0,0.0
13,7/,0.475,0.0,0.0
14,14/,1.0,1.0,1.0
15,7/14/,0.45,0.0,0.0
16,16/,1.0,1.0,1.0
17,3/6/8/11/,0.4,0.0,0.0
18,4/,0.475,0.0,0.0
19,2/,0.475,0.0,0.0
20,5/10/,0.45,0.0,0.0
0,0/2/,0.975,0.5,1.0
1,1/7/8/,0.95,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,1/6/7/8/11/,0.375,0.0,0.0
4,2/3/4/7/13/,0.9,0.2,1.0
5,4/5/11/13/15/,0.9,0.2,1.0
6,6/7/15/,0.95,0.3333333333333333,1.0
7,1/6/7/11/,0.925,0.25,1.0
8,9/11/,0.45,0.0,0.0
9,8/11/,0.45,0.0,0.0
10,8/9/,0.45,0.0,0.0
11,6/8/11/,0.95,0.3333333333333333,1.0
12,2/5/9/10/14/,0.375,0.0,0.0
13,1/2/7/14/,0.4,0.0,0.0
14,14/,1.0,1.0,1.0
15,15/,1.0,1.0,1.0
16,4/15/16/,0.95,0.3333333333333333,1.0
17,5/12/17/,0.95,0.3333333333333333,1.0
18,3/15/,0.45,0.0,0.0
19,1/7/10/,0.425,0.0,0.0
20,7/16/17/,0.425,0.0,0.0
0,2/,0.475,0.0,0.0
1,1/6/8/11/,0.925,0.25,1.0
2,2/,1.0,1.0,1.0
3,1/6/7/8/16/,0.375,0.0,0.0
4,4/5/,0.975,0.5,1.0
5,2/11/,0.45,0.0,0.0
6,7/11/,0.45,0.0,0.0
7,6/8/15/,0.425,0.0,0.0
8,9/,0.475,0.0,0.0
9,8/9/11/,0.95,0.3333333333333333,1.0
10,16/,0.475,0.0,0.0
11,7/11/,0.975,0.5,1.0
12,16/,0.475,0.0,0.0
13,13/15/,0.975,0.5,1.0
14,1/6/8/9/11/14/15/,0.85,0.14285714285714285,1.0
15,1/5/6/15/,0.925,0.25,1.0
16,16/17/,0.975,0.5,1.0
17,3/6/8/11/,0.4,0.0,0.0
18,1/3/5/6/8/12/,0.35,0.0,0.0
19,1/6/7/15/,0.4,0.0,0.0
20,2/3/4/6/7/13/,0.35,0.0,0.0
0,0/2/,0.975,0.5,1.0
1,6/8/11/,0.425,0.0,0.0
2,0/2/17/,0.95,0.3333333333333333,1.0
3,1/6/7/8/16/17/,0.35,0.0,0.0
4,2/3/4/7/13/,0.9,0.2,1.0
5,2/3/4/7/13/,0.375,0.0,0.0
6,1/6/7/8/11/,0.9,0.2,1.0
7,1/6/7/11/,0.925,0.25,1.0
8,7/8/,0.975,0.5,1.0
9,17/,0.475,0.0,0.0
10,9/,0.475,0.0,0.0
11,1/6/7/8/11/,0.9,0.2,1.0
12,2/,0.475,0.0,0.0
13,7/,0.475,0.0,0.0
14,7/,0.475,0.0,0.0
15,15/,1.0,1.0,1.0
16,16/,1.0,1.0,1.0
17,1/3/6/8/,0.4,0.0,0.0
18,4/,0.475,0.0,0.0
19,16/17/,0.45,0.0,0.0
20,2/3/4/7/13/,0.375,0.0,0.0
0,4/,0.475,0.0,0.0
1,1/6/7/8/11/,0.9,0.2,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/13/,0.975,0.5,1.0
5,4/5/15/,0.95,0.3333333333333333,1.0
6,7/,0.475,0.0,0.0
7,1/6/8/15/,0.4,0.0,0.0
8,7/11/,0.45,0.0,0.0
9,8/9/,0.975,0.5,1.0
10,2/3/4/7/13/,0.375,0.0,0.0
11,15/,0.475,0.0,0.0
12,3/6/8/11/,0.4,0.0,0.0
13,1/2/3/5/7/14/,0.35,0.0,0.0
14,6/7/8/15/17/,0.375,0.0,0.0
15,15/,1.0,1.0,1.0
16,2/3/4/6/7/13/,0.35,0.0,0.0
17,17/,1.0,1.0,1.0
18,4/,0.475,0.0,0.0
19,0/2/17/,0.425,0.0,0.0
20,14/,0.475,0.0,0.0
0,0/2/,0.975,0.5,1.0
1,6/7/16/,0.425,0.0,0.0
2,1/4/6/7/17/,0.375,0.0,0.0
3,0/2/16/17/,0.4,0.0,0.0
4,2/3/4/7/13/,0.9,0.2,1.0
5,4/5/9/14/,0.925,0.25,1.0
6,7/11/,0.45,0.0,0.0
7,1/6/7/8/11/,0.9,0.2,1.0
8,1/7/8/,0.95,0.3333333333333333,1.0
9,10/,0.475,0.0,0.0
10,9/10/,0.975,0.5,1.0
11,7/,0.475,0.0,0.0
12,12/17/,0.975,0.5,1.0
13,2/,0.475,0.0,0.0
14,15/,0.475,0.0,0.0
15,7/,0.475,0.0,0.0
16,2/3/4/7/13/,0.375,0.0,0.0
17,6/8/11/,0.425,0.0,0.0
18,4/,0.475,0.0,0.0
19,6/8/15/,0.425,0.0,0.0
20,7/14/,0.45,0.0,0.0
0,16/17/,0.45,0.0,0.0
1,1/6/7/8/11/,0.9,0.2,1.0
2,3/,0.475,0.0,0.0
3,1/6/7/15/,0.4,0.0,0.0
4,3/,0.475,0.0,0.0
5,4/5/11/13/15/,0.9,0.2,1.0
6,7/11/,0.45,0.0,0.0
7,4/13/,0.45,0.0,0.0
8,7/,0.475,0.0,0.0
9,17/,0.475,0.0,0.0
10,7/15/,0.45,0.0,0.0
11,7/,0.475,0.0,0.0
12,2/5/9/10/14/,0.375,0.0,0.0
13,7/12/,0.45,0.0,0.0
14,14/16/,0.975,0.5,1.0
15,1/2/3/5/7/14/,0.35,0.0,0.0
16,16/,1.0,1.0,1.0
17,1/3/6/8/11/,0.375,0.0,0.0
18,1/3/5/6/8/12/,0.35,0.0,0.0
19,2/,0.475,0.0,0.0
20,9/10/,0.45,0.0,0.0
0,0/2/17/,0.95,0.3333333333333333,1.0
1,5/10/,0.45,0.0,0.0
2,0/1/6/7/8/15/16/17/,0.3,0.0,0.0
3,4/16/,0.45,0.0,0.0
4,0/3/,0.45,0.0,0.0
5,12/,0.475,0.0,0.0
6,1/7/11/,0.425,0.0,0.0
7,1/8/13/,0.425,0.0,0.0
8,6/11/,0.45,0.0,0.0
9,1/4/5/13/,0.4,0.0,0.0
10,1/2/6/7/8/9/12/13/17/,0.275,0.0,0.0
11,1/6/7/8/11/,0.9,0.2,1.0
12,13/,0.475,0.0,0.0
13,8/,0.475,0.0,0.0
14,14/,1.0,1.0,1.0
15,1/3/6/7/8/11/,0.35,0.0,0.0
16,12/16/17/,0.95,0.3333333333333333,1.0
17,12/,0.475,0.0,0.0
18,3/,0.475,0.0,0.0
19,14/,0.475,0.0,0.0
