Real_Goal,Results,BACC,Precision,Recall
0,3/6/7/12/16/,0.3684210526315789,0.0,0.0
1,7/,0.47368421052631576,0.0,0.0
2,16/,0.47368421052631576,0.0,0.0
3,6/7/12/19/,0.39473684210526316,0.0,0.0
4,3/4/5/6/11/13/15/17/,0.8157894736842105,0.125,1.0
5,9/19/,0.4473684210526316,0.0,0.0
6,3/5/14/,0.42105263157894735,0.0,0.0
7,7/,1.0,1.0,1.0
8,7/8/,0.9736842105263157,0.5,1.0
9,8/15/,0.4473684210526316,0.0,0.0
10,10/11/,0.9736842105263157,0.5,1.0
11,6/,0.47368421052631576,0.0,0.0
12,13/,0.47368421052631576,0.0,0.0
13,14/,0.47368421052631576,0.0,0.0
14,0/2/3/4/8/11/12/15/17/18/,0.23684210526315788,0.0,0.0
15,1/7/10/12/19/,0.3684210526315789,0.0,0.0
16,0/,0.47368421052631576,0.0,0.0
17,5/8/14/,0.42105263157894735,0.0,0.0
18,7/8/12/13/19/,0.3684210526315789,0.0,0.0
19,7/,0.47368421052631576,0.0,0.0
0,0/1/2/,0.9473684210526316,0.3333333333333333,1.0
1,1/5/,0.9736842105263157,0.5,1.0
2,0/1/2/7/18/19/,0.868421052631579,0.16666666666666666,1.0
3,4/15/,0.4473684210526316,0.0,0.0
4,3/,0.47368421052631576,0.0,0.0
5,12/,0.47368421052631576,0.0,0.0
6,3/5/13/14/19/,0.3684210526315789,0.0,0.0
7,0/2/7/19/,0.9210526315789473,0.25,1.0
8,1/17/,0.4473684210526316,0.0,0.0
9,1/12/14/19/,0.39473684210526316,0.0,0.0
10,10/11/,0.9736842105263157,0.5,1.0
11,16/,0.47368421052631576,0.0,0.0
12,1/19/,0.4473684210526316,0.0,0.0
13,14/,0.47368421052631576,0.0,0.0
14,9/14/,0.9736842105263157,0.5,1.0
15,19/,0.47368421052631576,0.0,0.0
16,0/5/6/10/11/13/19/,0.3157894736842105,0.0,0.0
17,2/3/16/17/,0.9210526315789473,0.25,1.0
18,10/13/,0.4473684210526316,0.0,0.0
19,0/5/19/,0.9473684210526316,0.3333333333333333,1.0
0,1/,0.47368421052631576,0.0,0.0
1,1/7/,0.9736842105263157,0.5,1.0
2,1/2/7/19/,0.9210526315789473,0.25,1.0
3,10/11/,0.4473684210526316,0.0,0.0
4,3/,0.47368421052631576,0.0,0.0
5,5/,1.0,1.0,1.0
6,1/17/,0.4473684210526316,0.0,0.0
7,0/5/19/,0.42105263157894735,0.0,0.0
8,17/18/,0.4473684210526316,0.0,0.0
9,0/1/6/7/10/,0.3684210526315789,0.0,0.0
10,11/,0.47368421052631576,0.0,0.0
11,10/11/,0.9736842105263157,0.5,1.0
12,10/12/15/17/19/,0.8947368421052632,0.2,1.0
13,14/,0.47368421052631576,0.0,0.0
14,4/7/9/10/13/14/19/,0.8421052631578947,0.14285714285714285,1.0
15,4/10/11/14/19/,0.3684210526315789,0.0,0.0
16,10/13/,0.4473684210526316,0.0,0.0
17,5/6/8/9/14/,0.3684210526315789,0.0,0.0
18,2/17/19/,0.42105263157894735,0.0,0.0
19,0/5/19/,0.9473684210526316,0.3333333333333333,1.0
0,0/2/5/19/,0.9210526315789473,0.25,1.0
1,0/2/18/19/,0.39473684210526316,0.0,0.0
2,1/2/,0.9736842105263157,0.5,1.0
3,11/12/,0.4473684210526316,0.0,0.0
4,3/5/15/,0.42105263157894735,0.0,0.0
5,13/,0.47368421052631576,0.0,0.0
6,6/,1.0,1.0,1.0
7,5/19/,0.4473684210526316,0.0,0.0
8,0/3/9/18/,0.39473684210526316,0.0,0.0
9,0/1/6/7/10/,0.3684210526315789,0.0,0.0
10,8/,0.47368421052631576,0.0,0.0
11,10/11/,0.9736842105263157,0.5,1.0
12,1/,0.47368421052631576,0.0,0.0
13,0/1/6/,0.42105263157894735,0.0,0.0
14,6/8/11/,0.42105263157894735,0.0,0.0
15,4/10/11/14/19/,0.3684210526315789,0.0,0.0
16,16/,1.0,1.0,1.0
17,0/5/10/11/13/19/,0.34210526315789475,0.0,0.0
18,6/13/,0.4473684210526316,0.0,0.0
19,0/5/19/,0.9473684210526316,0.3333333333333333,1.0
0,0/1/19/,0.9473684210526316,0.3333333333333333,1.0
1,7/,0.47368421052631576,0.0,0.0
2,2/3/4/8/11/12/15/16/17/18/,0.763157894736842,0.1,1.0
3,7/19/,0.4473684210526316,0.0,0.0
4,3/5/14/,0.42105263157894735,0.0,0.0
5,8/12/17/19/,0.39473684210526316,0.0,0.0
6,6/,1.0,1.0,1.0
7,19/,0.47368421052631576,0.0,0.0
8,8/,1.0,1.0,1.0
9,11/14/,0.4473684210526316,0.0,0.0
10,7/8/10/12/13/14/,0.868421052631579,0.16666666666666666,1.0
11,3/,0.47368421052631576,0.0,0.0
12,17/,0.47368421052631576,0.0,0.0
13,9/13/14/,0.9473684210526316,0.3333333333333333,1.0
14,7/9/10/13/14/19/,0.868421052631579,0.16666666666666666,1.0
15,8/,0.47368421052631576,0.0,0.0
16,0/10/17/,0.42105263157894735,0.0,0.0
17,6/17/,0.9736842105263157,0.5,1.0
18,10/13/,0.4473684210526316,0.0,0.0
19,19/,1.0,1.0,1.0
0,5/,0.47368421052631576,0.0,0.0
1,5/19/,0.4473684210526316,0.0,0.0
2,2/10/,0.9736842105263157,0.5,1.0
3,5/,0.47368421052631576,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,12/14/,0.4473684210526316,0.0,0.0
7,3/10/,0.4473684210526316,0.0,0.0
8,1/6/10/11/17/19/,0.34210526315789475,0.0,0.0
9,1/12/14/19/,0.39473684210526316,0.0,0.0
10,3/16/17/,0.42105263157894735,0.0,0.0
11,3/,0.47368421052631576,0.0,0.0
12,3/4/5/,0.42105263157894735,0.0,0.0
13,8/12/,0.4473684210526316,0.0,0.0
14,1/6/10/11/19/,0.3684210526315789,0.0,0.0
15,4/15/,0.9736842105263157,0.5,1.0
16,0/2/6/10/13/19/,0.34210526315789475,0.0,0.0
17,1/2/17/,0.9473684210526316,0.3333333333333333,1.0
18,18/,1.0,1.0,1.0
19,1/7/,0.4473684210526316,0.0,0.0
0,11/,0.47368421052631576,0.0,0.0
1,0/2/,0.4473684210526316,0.0,0.0
2,5/8/12/17/,0.39473684210526316,0.0,0.0
3,0/1/6/7/10/19/,0.34210526315789475,0.0,0.0
4,7/8/,0.4473684210526316,0.0,0.0
5,9/19/,0.4473684210526316,0.0,0.0
6,0/1/6/,0.9473684210526316,0.3333333333333333,1.0
7,10/13/17/19/,0.39473684210526316,0.0,0.0
8,4/,0.47368421052631576,0.0,0.0
