Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,0/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,0/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,0/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,0/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,0/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,0/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,0/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,0/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,0/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,4/,0.4166666666666667,0.0,0.0
