Real_Goal,Results,BACC,Precision,Recall
0,1/2/4/,0.125,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,3/,0.375,0.0,0.0
0,0/1/,0.875,0.5,1.0
1,0/,0.375,0.0,0.0
2,3/,0.375,0.0,0.0
3,3/4/,0.875,0.5,1.0
4,3/4/,0.875,0.5,1.0
0,3/,0.375,0.0,0.0
1,3/,0.375,0.0,0.0
2,2/3/,0.875,0.5,1.0
3,0/1/,0.25,0.0,0.0
4,3/4/,0.875,0.5,1.0
0,0/1/,0.875,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
0,0/1/,0.875,0.5,1.0
1,0/,0.375,0.0,0.0
2,2/3/4/,0.75,0.3333333333333333,1.0
3,3/4/,0.875,0.5,1.0
4,3/4/,0.875,0.5,1.0
0,0/1/,0.875,0.5,1.0
1,1/3/,0.875,0.5,1.0
2,2/3/,0.875,0.5,1.0
3,3/4/,0.875,0.5,1.0
4,4/,1.0,1.0,1.0
0,1/,0.375,0.0,0.0
1,0/1/,0.875,0.5,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,3/4/,0.875,0.5,1.0
0,0/,1.0,1.0,1.0
1,0/,0.375,0.0,0.0
2,3/,0.375,0.0,0.0
3,4/,0.375,0.0,0.0
4,4/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/1/3/,0.75,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,2/3/4/,0.75,0.3333333333333333,1.0
4,3/4/,0.875,0.5,1.0
0,1/,0.375,0.0,0.0
1,2/3/4/,0.125,0.0,0.0
2,2/,1.0,1.0,1.0
3,2/4/,0.25,0.0,0.0
4,4/,1.0,1.0,1.0
