Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,6/,0.42857142857142855,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
0,4/,0.42857142857142855,0.0,0.0
1,0/,0.42857142857142855,0.0,0.0
2,2/,1.0,1.0,1.0
3,4/5/,0.35714285714285715,0.0,0.0
4,4/,1.0,1.0,1.0
5,3/,0.42857142857142855,0.0,0.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,6/,0.42857142857142855,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,5/7/,0.9285714285714286,0.5,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/7/,0.9285714285714286,0.5,1.0
5,3/,0.42857142857142855,0.0,0.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
0,1/,0.42857142857142855,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/6/,0.9285714285714286,0.5,1.0
3,5/,0.42857142857142855,0.0,0.0
4,7/,0.42857142857142855,0.0,0.0
5,5/,1.0,1.0,1.0
6,2/7/,0.35714285714285715,0.0,0.0
7,7/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,3/,0.42857142857142855,0.0,0.0
3,5/,0.42857142857142855,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,3/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,3/,0.42857142857142855,0.0,0.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,1/7/,0.35714285714285715,0.0,0.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,6/,0.42857142857142855,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/,0.42857142857142855,0.0,0.0
2,1/,0.42857142857142855,0.0,0.0
3,5/,0.42857142857142855,0.0,0.0
4,3/,0.42857142857142855,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,3/5/7/,0.8571428571428572,0.3333333333333333,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,6/,0.42857142857142855,0.0,0.0
6,4/,0.42857142857142855,0.0,0.0
7,7/,1.0,1.0,1.0
