Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/4/6/,0.8888888888888888,0.3333333333333333,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,0/8/,0.3888888888888889,0.0,0.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,9/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,2/,0.4444444444444444,0.0,0.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,4/7/,0.3888888888888889,0.0,0.0
2,2/,1.0,1.0,1.0
3,3/9/,0.9444444444444444,0.5,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,3/,0.4444444444444444,0.0,0.0
2,8/,0.4444444444444444,0.0,0.0
3,9/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,0/5/8/,0.8888888888888888,0.3333333333333333,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,4/7/,0.3888888888888889,0.0,0.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
0,0/5/,0.9444444444444444,0.5,1.0
1,7/,0.4444444444444444,0.0,0.0
2,2/,1.0,1.0,1.0
3,3/9/,0.9444444444444444,0.5,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,4/,0.4444444444444444,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/3/9/,0.8888888888888888,0.3333333333333333,1.0
2,4/,0.4444444444444444,0.0,0.0
3,9/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,8/,0.4444444444444444,0.0,0.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,5/8/,0.3888888888888889,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/9/,0.9444444444444444,0.5,1.0
4,4/,1.0,1.0,1.0
5,0/5/8/,0.8888888888888888,0.3333333333333333,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
