Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,1/,0.4166666666666667,0.0,0.0
6,1/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,0/,0.4166666666666667,0.0,0.0
5,1/,0.4166666666666667,0.0,0.0
6,1/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,0/,0.4166666666666667,0.0,0.0
5,1/,0.4166666666666667,0.0,0.0
6,1/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,1/,0.4166666666666667,0.0,0.0
6,1/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,1/,0.4166666666666667,0.0,0.0
6,1/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,1/,0.4166666666666667,0.0,0.0
6,1/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,1/,0.4166666666666667,0.0,0.0
6,1/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,1/,0.4166666666666667,0.0,0.0
6,1/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,2/,0.4166666666666667,0.0,0.0
5,1/,0.4166666666666667,0.0,0.0
6,1/,0.4166666666666667,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,0/,0.4166666666666667,0.0,0.0
5,4/,0.4166666666666667,0.0,0.0
6,1/5/,0.3333333333333333,0.0,0.0
