Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,2/4/5/,0.2,0.0,0.0
2,2/4/5/,0.8,0.3333333333333333,1.0
3,2/4/5/,0.2,0.0,0.0
4,1/2/3/4/5/,0.6,0.2,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/3/,0.9,0.5,1.0
2,2/4/5/,0.8,0.3333333333333333,1.0
3,0/,0.4,0.0,0.0
4,0/,0.4,0.0,0.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4,0.0,0.0
2,2/4/5/,0.8,0.3333333333333333,1.0
3,0/,0.4,0.0,0.0
4,1/2/3/4/5/,0.6,0.2,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,2/4/5/,0.2,0.0,0.0
2,2/4/5/,0.8,0.3333333333333333,1.0
3,0/,0.4,0.0,0.0
4,0/,0.4,0.0,0.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,2/4/5/,0.2,0.0,0.0
2,2/4/5/,0.8,0.3333333333333333,1.0
3,2/4/5/,0.2,0.0,0.0
4,2/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4,0.0,0.0
2,2/4/5/,0.8,0.3333333333333333,1.0
3,2/4/5/,0.2,0.0,0.0
4,2/4/5/,0.8,0.3333333333333333,1.0
5,2/4/5/,0.8,0.3333333333333333,1.0
0,0/,1.0,1.0,1.0
1,0/,0.4,0.0,0.0
2,2/4/5/,0.8,0.3333333333333333,1.0
3,0/,0.4,0.0,0.0
4,2/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4,0.0,0.0
2,2/4/5/,0.8,0.3333333333333333,1.0
3,2/4/5/,0.2,0.0,0.0
4,0/1/3/,0.2,0.0,0.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,2/4/5/,0.2,0.0,0.0
2,2/4/5/,0.8,0.3333333333333333,1.0
3,1/2/3/4/5/,0.6,0.2,1.0
4,2/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/3/,0.9,0.5,1.0
2,2/4/5/,0.8,0.3333333333333333,1.0
3,0/2/4/5/,0.1,0.0,0.0
4,0/,0.4,0.0,0.0
5,0/,0.4,0.0,0.0
