Real_Goal,Results,BACC,Precision,Recall
0,7/,0.47368421052631576,0.0,0.0
1,1/2/,0.9736842105263157,0.5,1.0
2,10/19/,0.4473684210526316,0.0,0.0
3,10/11/12/,0.42105263157894735,0.0,0.0
4,0/1/3/6/7/9/10/13/16/19/,0.23684210526315788,0.0,0.0
5,9/19/,0.4473684210526316,0.0,0.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/10/,0.9736842105263157,0.5,1.0
9,0/1/6/7/10/,0.3684210526315789,0.0,0.0
10,10/,1.0,1.0,1.0
11,3/11/,0.9736842105263157,0.5,1.0
12,4/9/10/14/,0.39473684210526316,0.0,0.0
13,6/,0.47368421052631576,0.0,0.0
14,6/12/14/,0.9473684210526316,0.3333333333333333,1.0
15,3/4/5/6/11/13/17/,0.3157894736842105,0.0,0.0
16,10/17/,0.4473684210526316,0.0,0.0
17,3/16/17/,0.9473684210526316,0.3333333333333333,1.0
18,2/17/19/,0.42105263157894735,0.0,0.0
19,7/,0.47368421052631576,0.0,0.0
0,0/5/19/,0.9473684210526316,0.3333333333333333,1.0
1,0/2/,0.4473684210526316,0.0,0.0
2,7/,0.47368421052631576,0.0,0.0
3,0/1/6/7/10/,0.3684210526315789,0.0,0.0
4,1/7/10/12/19/,0.3684210526315789,0.0,0.0
5,13/,0.47368421052631576,0.0,0.0
6,6/,1.0,1.0,1.0
7,0/1/7/,0.9473684210526316,0.3333333333333333,1.0
8,1/19/,0.4473684210526316,0.0,0.0
9,0/1/3/6/7/10/12/13/16/19/,0.23684210526315788,0.0,0.0
10,10/11/,0.9736842105263157,0.5,1.0
11,3/10/16/,0.42105263157894735,0.0,0.0
12,4/10/11/14/19/,0.3684210526315789,0.0,0.0
13,4/10/11/14/19/,0.3684210526315789,0.0,0.0
14,12/13/,0.4473684210526316,0.0,0.0
15,0/3/9/15/17/18/,0.868421052631579,0.16666666666666666,1.0
16,10/13/,0.4473684210526316,0.0,0.0
17,2/10/,0.4473684210526316,0.0,0.0
18,17/,0.47368421052631576,0.0,0.0
19,2/7/,0.4473684210526316,0.0,0.0
0,8/,0.47368421052631576,0.0,0.0
1,0/1/2/7/19/,0.8947368421052632,0.2,1.0
2,2/5/7/,0.9473684210526316,0.3333333333333333,1.0
3,5/6/13/14/,0.39473684210526316,0.0,0.0
4,12/,0.47368421052631576,0.0,0.0
5,5/6/13/14/,0.9210526315789473,0.25,1.0
6,3/5/13/14/19/,0.3684210526315789,0.0,0.0
7,0/5/19/,0.42105263157894735,0.0,0.0
8,12/15/,0.4473684210526316,0.0,0.0
9,0/2/3/4/8/11/12/15/17/18/19/,0.21052631578947367,0.0,0.0
10,10/11/,0.9736842105263157,0.5,1.0
11,10/,0.47368421052631576,0.0,0.0
12,3/4/5/,0.42105263157894735,0.0,0.0
13,19/,0.47368421052631576,0.0,0.0
14,0/2/3/4/6/8/11/15/17/18/,0.23684210526315788,0.0,0.0
15,4/12/13/14/15/,0.8947368421052632,0.2,1.0
16,16/,1.0,1.0,1.0
17,0/5/10/11/13/19/,0.34210526315789475,0.0,0.0
18,0/5/10/11/13/19/,0.34210526315789475,0.0,0.0
19,7/,0.47368421052631576,0.0,0.0
0,19/,0.47368421052631576,0.0,0.0
1,3/15/,0.4473684210526316,0.0,0.0
2,5/8/12/17/19/,0.3684210526315789,0.0,0.0
3,7/19/,0.4473684210526316,0.0,0.0
4,11/,0.47368421052631576,0.0,0.0
5,7/,0.47368421052631576,0.0,0.0
6,1/11/,0.4473684210526316,0.0,0.0
7,7/,1.0,1.0,1.0
8,17/18/,0.4473684210526316,0.0,0.0
9,3/4/5/,0.42105263157894735,0.0,0.0
10,9/14/,0.4473684210526316,0.0,0.0
11,4/15/,0.4473684210526316,0.0,0.0
12,4/,0.47368421052631576,0.0,0.0
13,9/13/14/,0.9473684210526316,0.3333333333333333,1.0
14,4/5/,0.4473684210526316,0.0,0.0
15,4/15/,0.9736842105263157,0.5,1.0
16,0/10/17/,0.42105263157894735,0.0,0.0
17,2/17/19/,0.9473684210526316,0.3333333333333333,1.0
18,17/19/,0.4473684210526316,0.0,0.0
19,5/19/,0.9736842105263157,0.5,1.0
0,1/,0.47368421052631576,0.0,0.0
1,7/,0.47368421052631576,0.0,0.0
2,5/8/12/17/19/,0.3684210526315789,0.0,0.0
3,1/7/8/10/11/12/13/,0.3157894736842105,0.0,0.0
4,4/15/,0.9736842105263157,0.5,1.0
5,9/19/,0.4473684210526316,0.0,0.0
6,1/11/,0.4473684210526316,0.0,0.0
7,0/5/19/,0.42105263157894735,0.0,0.0
8,17/,0.47368421052631576,0.0,0.0
9,7/9/10/13/19/,0.8947368421052632,0.2,1.0
10,10/11/,0.9736842105263157,0.5,1.0
11,3/11/,0.9736842105263157,0.5,1.0
12,6/12/,0.9736842105263157,0.5,1.0
13,0/1/6/7/10/,0.3684210526315789,0.0,0.0
14,1/5/8/,0.42105263157894735,0.0,0.0
15,4/15/,0.9736842105263157,0.5,1.0
16,0/2/6/10/13/19/,0.34210526315789475,0.0,0.0
17,2/17/19/,0.9473684210526316,0.3333333333333333,1.0
18,10/13/,0.4473684210526316,0.0,0.0
19,0/5/19/,0.9473684210526316,0.3333333333333333,1.0
0,7/,0.47368421052631576,0.0,0.0
1,2/,0.47368421052631576,0.0,0.0
2,3/10/16/17/,0.39473684210526316,0.0,0.0
3,1/7/10/19/,0.39473684210526316,0.0,0.0
4,9/19/,0.4473684210526316,0.0,0.0
5,8/17/19/,0.42105263157894735,0.0,0.0
6,0/1/6/,0.9473684210526316,0.3333333333333333,1.0
7,7/,1.0,1.0,1.0
8,0/1/3/8/9/10/13/18/19/,0.7894736842105263,0.1111111111111111,1.0
9,7/,0.47368421052631576,0.0,0.0
10,3/10/11/,0.9473684210526316,0.3333333333333333,1.0
