Real_Goal,Results,BACC,Precision,Recall
0,5/,0.47368421052631576,0.0,0.0
1,2/,0.47368421052631576,0.0,0.0
2,5/12/14/,0.42105263157894735,0.0,0.0
3,5/12/,0.4473684210526316,0.0,0.0
4,12/14/15/,0.42105263157894735,0.0,0.0
5,0/10/,0.4473684210526316,0.0,0.0
6,12/,0.47368421052631576,0.0,0.0
7,2/,0.47368421052631576,0.0,0.0
8,0/,0.47368421052631576,0.0,0.0
9,12/,0.47368421052631576,0.0,0.0
10,0/,0.47368421052631576,0.0,0.0
11,2/,0.47368421052631576,0.0,0.0
12,12/,1.0,1.0,1.0
13,2/,0.47368421052631576,0.0,0.0
14,10/,0.47368421052631576,0.0,0.0
15,0/10/,0.4473684210526316,0.0,0.0
16,10/,0.47368421052631576,0.0,0.0
17,12/,0.47368421052631576,0.0,0.0
18,5/,0.47368421052631576,0.0,0.0
19,0/,0.47368421052631576,0.0,0.0
0,0/,1.0,1.0,1.0
1,5/14/15/,0.42105263157894735,0.0,0.0
2,0/5/,0.4473684210526316,0.0,0.0
3,12/,0.47368421052631576,0.0,0.0
4,12/,0.47368421052631576,0.0,0.0
5,0/,0.47368421052631576,0.0,0.0
6,4/,0.47368421052631576,0.0,0.0
7,2/,0.47368421052631576,0.0,0.0
8,5/14/15/,0.42105263157894735,0.0,0.0
9,0/12/14/15/,0.39473684210526316,0.0,0.0
10,1/4/,0.4473684210526316,0.0,0.0
11,10/,0.47368421052631576,0.0,0.0
12,12/,1.0,1.0,1.0
13,2/,0.47368421052631576,0.0,0.0
14,0/,0.47368421052631576,0.0,0.0
15,0/,0.47368421052631576,0.0,0.0
16,2/,0.47368421052631576,0.0,0.0
17,12/,0.47368421052631576,0.0,0.0
18,0/,0.47368421052631576,0.0,0.0
19,0/,0.47368421052631576,0.0,0.0
0,0/,1.0,1.0,1.0
1,7/,0.47368421052631576,0.0,0.0
2,0/5/12/14/15/,0.3684210526315789,0.0,0.0
3,5/,0.47368421052631576,0.0,0.0
4,3/,0.47368421052631576,0.0,0.0
5,10/,0.47368421052631576,0.0,0.0
6,3/,0.47368421052631576,0.0,0.0
7,0/2/,0.4473684210526316,0.0,0.0
8,0/,0.47368421052631576,0.0,0.0
9,0/2/3/5/12/14/,0.34210526315789475,0.0,0.0
10,0/10/,0.9736842105263157,0.5,1.0
11,2/,0.47368421052631576,0.0,0.0
12,12/,1.0,1.0,1.0
13,12/,0.47368421052631576,0.0,0.0
14,0/,0.47368421052631576,0.0,0.0
15,0/10/,0.4473684210526316,0.0,0.0
16,10/12/,0.4473684210526316,0.0,0.0
17,9/,0.47368421052631576,0.0,0.0
18,2/,0.47368421052631576,0.0,0.0
19,0/,0.47368421052631576,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,12/14/,0.4473684210526316,0.0,0.0
3,12/,0.47368421052631576,0.0,0.0
4,3/,0.47368421052631576,0.0,0.0
5,5/10/,0.9736842105263157,0.5,1.0
6,12/14/,0.4473684210526316,0.0,0.0
7,2/,0.47368421052631576,0.0,0.0
8,5/12/14/15/,0.39473684210526316,0.0,0.0
9,14/15/,0.4473684210526316,0.0,0.0
10,0/,0.47368421052631576,0.0,0.0
11,2/,0.47368421052631576,0.0,0.0
12,12/,1.0,1.0,1.0
13,12/,0.47368421052631576,0.0,0.0
14,10/,0.47368421052631576,0.0,0.0
15,0/,0.47368421052631576,0.0,0.0
16,2/,0.47368421052631576,0.0,0.0
17,12/,0.47368421052631576,0.0,0.0
18,2/,0.47368421052631576,0.0,0.0
19,5/10/,0.4473684210526316,0.0,0.0
0,5/10/,0.4473684210526316,0.0,0.0
1,2/,0.47368421052631576,0.0,0.0
2,0/7/10/,0.42105263157894735,0.0,0.0
3,5/12/14/15/,0.39473684210526316,0.0,0.0
4,14/,0.47368421052631576,0.0,0.0
5,0/10/,0.4473684210526316,0.0,0.0
6,5/12/14/15/,0.39473684210526316,0.0,0.0
7,2/,0.47368421052631576,0.0,0.0
8,5/12/,0.4473684210526316,0.0,0.0
9,0/5/14/15/,0.39473684210526316,0.0,0.0
10,10/,1.0,1.0,1.0
11,2/,0.47368421052631576,0.0,0.0
12,12/,1.0,1.0,1.0
13,2/,0.47368421052631576,0.0,0.0
14,0/,0.47368421052631576,0.0,0.0
15,10/,0.47368421052631576,0.0,0.0
16,2/7/,0.4473684210526316,0.0,0.0
17,12/,0.47368421052631576,0.0,0.0
18,2/,0.47368421052631576,0.0,0.0
19,0/10/,0.4473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,2/,0.47368421052631576,0.0,0.0
2,0/10/14/15/,0.39473684210526316,0.0,0.0
3,5/12/14/15/,0.39473684210526316,0.0,0.0
4,4/,1.0,1.0,1.0
5,10/,0.47368421052631576,0.0,0.0
6,0/3/,0.4473684210526316,0.0,0.0
7,0/2/,0.4473684210526316,0.0,0.0
8,0/,0.47368421052631576,0.0,0.0
9,4/,0.47368421052631576,0.0,0.0
10,10/,1.0,1.0,1.0
11,0/,0.47368421052631576,0.0,0.0
12,4/9/12/,0.9473684210526316,0.3333333333333333,1.0
13,2/,0.47368421052631576,0.0,0.0
14,0/,0.47368421052631576,0.0,0.0
15,0/,0.47368421052631576,0.0,0.0
16,2/,0.47368421052631576,0.0,0.0
17,12/,0.47368421052631576,0.0,0.0
18,2/,0.47368421052631576,0.0,0.0
19,0/10/,0.4473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,2/,0.47368421052631576,0.0,0.0
2,0/2/3/5/12/14/,0.868421052631579,0.16666666666666666,1.0
3,5/12/14/15/,0.39473684210526316,0.0,0.0
4,4/,1.0,1.0,1.0
5,0/10/,0.4473684210526316,0.0,0.0
6,12/14/,0.4473684210526316,0.0,0.0
7,2/,0.47368421052631576,0.0,0.0
8,0/2/5/10/12/14/15/,0.3157894736842105,0.0,0.0
9,0/2/5/10/12/14/15/,0.3157894736842105,0.0,0.0
10,0/10/,0.9736842105263157,0.5,1.0
11,2/,0.47368421052631576,0.0,0.0
12,12/,1.0,1.0,1.0
13,2/,0.47368421052631576,0.0,0.0
14,0/,0.47368421052631576,0.0,0.0
15,0/,0.47368421052631576,0.0,0.0
16,2/,0.47368421052631576,0.0,0.0
17,12/,0.47368421052631576,0.0,0.0
18,0/2/,0.4473684210526316,0.0,0.0
19,10/,0.47368421052631576,0.0,0.0
0,0/,1.0,1.0,1.0
1,2/,0.47368421052631576,0.0,0.0
2,12/,0.47368421052631576,0.0,0.0
3,14/,0.47368421052631576,0.0,0.0
4,3/,0.47368421052631576,0.0,0.0
5,5/10/,0.9736842105263157,0.5,1.0
6,12/,0.47368421052631576,0.0,0.0
7,0/2/,0.4473684210526316,0.0,0.0
8,0/2/5/12/14/15/,0.34210526315789475,0.0,0.0
9,3/,0.47368421052631576,0.0,0.0
10,5/,0.47368421052631576,0.0,0.0
11,2/,0.47368421052631576,0.0,0.0
12,4/,0.47368421052631576,0.0,0.0
13,2/,0.47368421052631576,0.0,0.0
14,10/,0.47368421052631576,0.0,0.0
15,0/,0.47368421052631576,0.0,0.0
16,2/,0.47368421052631576,0.0,0.0
17,12/,0.47368421052631576,0.0,0.0
18,2/,0.47368421052631576,0.0,0.0
19,0/,0.47368421052631576,0.0,0.0
0,10/,0.47368421052631576,0.0,0.0
1,0/,0.47368421052631576,0.0,0.0
2,3/12/,0.4473684210526316,0.0,0.0
3,3/,1.0,1.0,1.0
4,12/,0.47368421052631576,0.0,0.0
5,0/,0.47368421052631576,0.0,0.0
6,3/,0.47368421052631576,0.0,0.0
7,2/,0.47368421052631576,0.0,0.0
8,0/5/12/14/15/,0.3684210526315789,0.0,0.0
9,12/,0.47368421052631576,0.0,0.0
10,0/,0.47368421052631576,0.0,0.0
11,7/,0.47368421052631576,0.0,0.0
12,12/,1.0,1.0,1.0
13,2/,0.47368421052631576,0.0,0.0
14,0/,0.47368421052631576,0.0,0.0
15,10/,0.47368421052631576,0.0,0.0
16,2/,0.47368421052631576,0.0,0.0
17,12/,0.47368421052631576,0.0,0.0
18,2/,0.47368421052631576,0.0,0.0
19,0/10/,0.4473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,15/16/,0.4473684210526316,0.0,0.0
3,12/,0.47368421052631576,0.0,0.0
4,12/,0.47368421052631576,0.0,0.0
5,10/,0.47368421052631576,0.0,0.0
6,10/,0.47368421052631576,0.0,0.0
7,2/,0.47368421052631576,0.0,0.0
8,0/2/5/12/14/15/,0.34210526315789475,0.0,0.0
9,12/,0.47368421052631576,0.0,0.0
10,5/10/,0.9736842105263157,0.5,1.0
11,2/,0.47368421052631576,0.0,0.0
12,12/,1.0,1.0,1.0
13,11/,0.47368421052631576,0.0,0.0
14,5/,0.47368421052631576,0.0,0.0
15,12/,0.47368421052631576,0.0,0.0
16,12/,0.47368421052631576,0.0,0.0
17,12/,0.47368421052631576,0.0,0.0
18,16/,0.47368421052631576,0.0,0.0
19,5/,0.47368421052631576,0.0,0.0
