Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/4/,0.9444444444444444,0.5,1.0
2,2/,1.0,1.0,1.0
3,0/1/3/4/,0.8333333333333333,0.25,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,1/4/5/6/,0.8333333333333333,0.25,1.0
7,0/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/5/,0.3888888888888889,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/5/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,1/,0.4444444444444444,0.0,0.0
5,1/4/5/6/,0.8333333333333333,0.25,1.0
6,0/1/4/5/,0.2777777777777778,0.0,0.0
7,1/4/5/,0.3333333333333333,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/5/,0.3888888888888889,0.0,0.0
0,1/4/,0.3888888888888889,0.0,0.0
1,1/,1.0,1.0,1.0
2,0/1/2/3/4/6/,0.7222222222222222,0.16666666666666666,1.0
3,0/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,0/1/4/5/,0.2777777777777778,0.0,0.0
7,0/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/5/,0.3888888888888889,0.0,0.0
0,1/3/4/,0.3333333333333333,0.0,0.0
1,1/4/,0.9444444444444444,0.5,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,1/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,1/3/4/,0.3333333333333333,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/5/,0.3888888888888889,0.0,0.0
0,1/4/,0.3888888888888889,0.0,0.0
1,1/4/,0.9444444444444444,0.5,1.0
2,2/5/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,1/4/,0.9444444444444444,0.5,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,0/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/5/,0.3888888888888889,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/5/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,1/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,0/1/5/6/,0.8333333333333333,0.25,1.0
7,5/,0.4444444444444444,0.0,0.0
8,3/6/,0.3888888888888889,0.0,0.0
9,2/5/,0.3888888888888889,0.0,0.0
0,1/,0.4444444444444444,0.0,0.0
1,4/,0.4444444444444444,0.0,0.0
2,2/5/,0.9444444444444444,0.5,1.0
3,0/3/,0.9444444444444444,0.5,1.0
4,1/4/,0.9444444444444444,0.5,1.0
5,1/4/,0.3888888888888889,0.0,0.0
6,6/,1.0,1.0,1.0
7,0/,0.4444444444444444,0.0,0.0
8,0/1/3/4/,0.2777777777777778,0.0,0.0
9,3/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,1/4/,0.9444444444444444,0.5,1.0
5,5/,1.0,1.0,1.0
6,4/,0.4444444444444444,0.0,0.0
7,0/,0.4444444444444444,0.0,0.0
8,0/1/3/4/,0.2777777777777778,0.0,0.0
9,2/5/,0.3888888888888889,0.0,0.0
0,1/3/4/,0.3333333333333333,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,1/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,1/3/4/,0.3333333333333333,0.0,0.0
8,3/6/,0.3888888888888889,0.0,0.0
9,2/5/,0.3888888888888889,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/,0.9444444444444444,0.5,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,1/4/5/,0.3333333333333333,0.0,0.0
8,1/3/4/,0.3333333333333333,0.0,0.0
9,4/,0.4444444444444444,0.0,0.0
