Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/,0.4166666666666667,0.0,0.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/4/,0.9166666666666667,0.5,1.0
2,3/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
