Real_Goal,Results,BACC,Precision,Recall
0,0/1/,0.9444444444444444,0.5,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,2/3/6/,0.8888888888888888,0.3333333333333333,1.0
3,6/,0.4444444444444444,0.0,0.0
4,4/5/,0.9444444444444444,0.5,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,5/,0.4444444444444444,0.0,0.0
8,6/,0.4444444444444444,0.0,0.0
9,6/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,2/,1.0,1.0,1.0
3,6/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,5/6/,0.9444444444444444,0.5,1.0
7,6/,0.4444444444444444,0.0,0.0
8,6/,0.4444444444444444,0.0,0.0
9,2/6/,0.3888888888888889,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,6/,0.4444444444444444,0.0,0.0
3,6/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,5/6/,0.3888888888888889,0.0,0.0
8,6/,0.4444444444444444,0.0,0.0
9,6/,0.4444444444444444,0.0,0.0
0,0/1/,0.9444444444444444,0.5,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,2/3/6/,0.8888888888888888,0.3333333333333333,1.0
3,6/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,6/,0.4444444444444444,0.0,0.0
8,2/6/,0.3888888888888889,0.0,0.0
9,2/3/6/,0.3333333333333333,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,6/,0.4444444444444444,0.0,0.0
3,6/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,4/,0.4444444444444444,0.0,0.0
7,6/,0.4444444444444444,0.0,0.0
8,6/,0.4444444444444444,0.0,0.0
9,6/,0.4444444444444444,0.0,0.0
0,1/,0.4444444444444444,0.0,0.0
1,0/1/,0.9444444444444444,0.5,1.0
2,2/3/6/,0.8888888888888888,0.3333333333333333,1.0
3,2/3/6/,0.8888888888888888,0.3333333333333333,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,5/6/,0.9444444444444444,0.5,1.0
7,5/6/,0.3888888888888889,0.0,0.0
8,6/,0.4444444444444444,0.0,0.0
9,2/6/,0.3888888888888889,0.0,0.0
0,0/1/,0.9444444444444444,0.5,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,6/,0.4444444444444444,0.0,0.0
3,6/,0.4444444444444444,0.0,0.0
4,5/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,6/,0.4444444444444444,0.0,0.0
8,6/,0.4444444444444444,0.0,0.0
9,6/,0.4444444444444444,0.0,0.0
0,1/,0.4444444444444444,0.0,0.0
1,0/1/,0.9444444444444444,0.5,1.0
2,2/6/,0.9444444444444444,0.5,1.0
3,2/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,6/,0.4444444444444444,0.0,0.0
8,6/,0.4444444444444444,0.0,0.0
9,2/3/6/,0.3333333333333333,0.0,0.0
0,0/1/,0.9444444444444444,0.5,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,6/,0.4444444444444444,0.0,0.0
3,3/6/,0.9444444444444444,0.5,1.0
4,5/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,5/6/,0.9444444444444444,0.5,1.0
7,6/,0.4444444444444444,0.0,0.0
8,2/6/,0.3888888888888889,0.0,0.0
9,2/6/,0.3888888888888889,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,6/,0.4444444444444444,0.0,0.0
3,2/3/6/,0.8888888888888888,0.3333333333333333,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,5/6/,0.9444444444444444,0.5,1.0
7,5/,0.4444444444444444,0.0,0.0
8,6/7/,0.3888888888888889,0.0,0.0
9,6/7/8/,0.3333333333333333,0.0,0.0
