Real_Goal,Results,BACC,Precision,Recall
0,0/1/,0.9444444444444444,0.5,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,2/3/6/8/9/,0.7777777777777778,0.2,1.0
3,6/7/8/9/,0.2777777777777778,0.0,0.0
4,4/5/,0.9444444444444444,0.5,1.0
5,5/,1.0,1.0,1.0
6,6/7/8/9/,0.8333333333333333,0.25,1.0
7,5/,0.4444444444444444,0.0,0.0
8,6/7/8/9/,0.8333333333333333,0.25,1.0
9,6/9/,0.9444444444444444,0.5,1.0
0,0/,1.0,1.0,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,2/,1.0,1.0,1.0
3,6/8/9/,0.3333333333333333,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,5/6/7/8/9/,0.7777777777777778,0.2,1.0
7,6/7/8/9/,0.8333333333333333,0.25,1.0
8,6/7/,0.3888888888888889,0.0,0.0
9,2/6/7/8/9/,0.7777777777777778,0.2,1.0
0,0/,1.0,1.0,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,6/8/9/,0.3333333333333333,0.0,0.0
3,6/7/8/9/,0.2777777777777778,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/7/8/9/,0.8333333333333333,0.25,1.0
7,5/6/7/8/9/,0.7777777777777778,0.2,1.0
8,7/8/9/,0.8888888888888888,0.3333333333333333,1.0
9,7/8/9/,0.8888888888888888,0.3333333333333333,1.0
0,0/1/,0.9444444444444444,0.5,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,2/3/6/8/9/,0.7777777777777778,0.2,1.0
3,8/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/7/8/9/,0.8333333333333333,0.25,1.0
7,6/7/8/9/,0.8333333333333333,0.25,1.0
8,2/6/7/8/9/,0.7777777777777778,0.2,1.0
9,2/3/6/8/9/,0.7777777777777778,0.2,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,6/9/,0.3888888888888889,0.0,0.0
3,7/8/9/,0.3333333333333333,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,4/,0.4444444444444444,0.0,0.0
7,6/7/8/9/,0.8333333333333333,0.25,1.0
8,7/,0.4444444444444444,0.0,0.0
9,8/,0.4444444444444444,0.0,0.0
0,1/,0.4444444444444444,0.0,0.0
1,0/1/,0.9444444444444444,0.5,1.0
2,2/3/6/8/9/,0.7777777777777778,0.2,1.0
3,2/3/6/8/9/,0.7777777777777778,0.2,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,5/6/7/,0.8888888888888888,0.3333333333333333,1.0
7,9/,0.4444444444444444,0.0,0.0
8,6/7/,0.3888888888888889,0.0,0.0
9,2/6/7/8/9/,0.7777777777777778,0.2,1.0
0,0/1/,0.9444444444444444,0.5,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,7/8/,0.3888888888888889,0.0,0.0
3,6/7/,0.3888888888888889,0.0,0.0
4,5/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/7/8/9/,0.8333333333333333,0.25,1.0
7,6/7/8/9/,0.8333333333333333,0.25,1.0
8,6/9/,0.3888888888888889,0.0,0.0
9,6/9/,0.9444444444444444,0.5,1.0
0,1/,0.4444444444444444,0.0,0.0
1,0/1/,0.9444444444444444,0.5,1.0
2,8/9/,0.3888888888888889,0.0,0.0
3,2/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/7/8/9/,0.8333333333333333,0.25,1.0
7,6/7/8/9/,0.8333333333333333,0.25,1.0
8,9/,0.4444444444444444,0.0,0.0
9,2/3/6/8/9/,0.7777777777777778,0.2,1.0
0,0/1/,0.9444444444444444,0.5,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,9/,0.4444444444444444,0.0,0.0
3,3/6/,0.9444444444444444,0.5,1.0
4,5/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,5/6/7/,0.8888888888888888,0.3333333333333333,1.0
7,6/7/8/9/,0.8333333333333333,0.25,1.0
8,2/6/7/8/9/,0.7777777777777778,0.2,1.0
9,2/6/7/8/9/,0.7777777777777778,0.2,1.0
0,0/,1.0,1.0,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,6/,0.4444444444444444,0.0,0.0
3,2/3/6/8/9/,0.7777777777777778,0.2,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,5/6/7/8/9/,0.7777777777777778,0.2,1.0
7,5/7/9/,0.8888888888888888,0.3333333333333333,1.0
8,6/7/8/9/,0.8333333333333333,0.25,1.0
9,6/7/8/9/,0.8333333333333333,0.25,1.0
