Real_Goal,Results,BACC,Precision,Recall
0,1/,0.42857142857142855,0.0,0.0
1,0/1/,0.9285714285714286,0.5,1.0
2,3/7/,0.35714285714285715,0.0,0.0
3,1/,0.42857142857142855,0.0,0.0
4,1/,0.42857142857142855,0.0,0.0
5,2/3/6/7/,0.21428571428571427,0.0,0.0
6,0/,0.42857142857142855,0.0,0.0
7,3/7/,0.9285714285714286,0.5,1.0
0,1/,0.42857142857142855,0.0,0.0
1,0/,0.42857142857142855,0.0,0.0
2,3/7/,0.35714285714285715,0.0,0.0
3,1/,0.42857142857142855,0.0,0.0
4,4/5/,0.9285714285714286,0.5,1.0
5,1/,0.42857142857142855,0.0,0.0
6,3/7/,0.35714285714285715,0.0,0.0
7,3/7/,0.9285714285714286,0.5,1.0
0,0/,1.0,1.0,1.0
1,0/,0.42857142857142855,0.0,0.0
2,2/6/,0.9285714285714286,0.5,1.0
3,0/,0.42857142857142855,0.0,0.0
4,4/5/,0.9285714285714286,0.5,1.0
5,4/5/,0.9285714285714286,0.5,1.0
6,2/3/6/7/,0.7857142857142857,0.25,1.0
7,3/7/,0.9285714285714286,0.5,1.0
0,1/,0.42857142857142855,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/3/6/7/,0.7857142857142857,0.25,1.0
3,3/7/,0.9285714285714286,0.5,1.0
4,4/5/,0.9285714285714286,0.5,1.0
5,1/,0.42857142857142855,0.0,0.0
6,0/,0.42857142857142855,0.0,0.0
7,1/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/1/,0.9285714285714286,0.5,1.0
2,2/3/6/7/,0.7857142857142857,0.25,1.0
3,0/,0.42857142857142855,0.0,0.0
4,0/4/5/,0.8571428571428572,0.3333333333333333,1.0
5,2/6/,0.35714285714285715,0.0,0.0
6,1/2/4/5/6/,0.7142857142857143,0.2,1.0
7,1/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/6/,0.9285714285714286,0.5,1.0
3,3/7/,0.9285714285714286,0.5,1.0
4,4/5/,0.9285714285714286,0.5,1.0
5,4/5/,0.9285714285714286,0.5,1.0
6,1/,0.42857142857142855,0.0,0.0
7,1/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.42857142857142855,0.0,0.0
2,2/6/,0.9285714285714286,0.5,1.0
3,1/,0.42857142857142855,0.0,0.0
4,1/4/5/,0.8571428571428572,0.3333333333333333,1.0
5,4/5/,0.9285714285714286,0.5,1.0
6,2/3/6/7/,0.7857142857142857,0.25,1.0
7,1/,0.42857142857142855,0.0,0.0
0,1/,0.42857142857142855,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/3/6/7/,0.7857142857142857,0.25,1.0
3,3/7/,0.9285714285714286,0.5,1.0
4,3/7/,0.35714285714285715,0.0,0.0
5,4/5/,0.9285714285714286,0.5,1.0
6,0/,0.42857142857142855,0.0,0.0
7,1/,0.42857142857142855,0.0,0.0
0,1/,0.42857142857142855,0.0,0.0
1,0/,0.42857142857142855,0.0,0.0
2,2/6/,0.9285714285714286,0.5,1.0
3,1/,0.42857142857142855,0.0,0.0
4,4/5/,0.9285714285714286,0.5,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/,0.42857142857142855,0.0,0.0
7,1/,0.42857142857142855,0.0,0.0
0,1/,0.42857142857142855,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/6/,0.9285714285714286,0.5,1.0
3,2/6/,0.35714285714285715,0.0,0.0
4,4/5/,0.9285714285714286,0.5,1.0
5,3/4/5/7/,0.7857142857142857,0.25,1.0
6,0/1/,0.35714285714285715,0.0,0.0
7,6/,0.42857142857142855,0.0,0.0
