Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/19/,0.9736842105263157,0.5,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/16/,0.9736842105263157,0.5,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
12,12/,1.0,1.0,1.0
13,13/,1.0,1.0,1.0
14,14/18/,0.9736842105263157,0.5,1.0
15,15/17/,0.9736842105263157,0.5,1.0
16,16/,1.0,1.0,1.0
17,2/3/12/15/17/,0.8947368421052632,0.2,1.0
18,6/9/12/16/,0.39473684210526316,0.0,0.0
19,14/15/17/18/,0.39473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/19/,0.9736842105263157,0.5,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/16/,0.9736842105263157,0.5,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
12,12/,1.0,1.0,1.0
13,8/13/16/,0.9473684210526316,0.3333333333333333,1.0
14,14/18/,0.9736842105263157,0.5,1.0
15,15/17/,0.9736842105263157,0.5,1.0
16,16/,1.0,1.0,1.0
17,3/12/,0.4473684210526316,0.0,0.0
18,1/6/9/10/12/16/,0.34210526315789475,0.0,0.0
19,14/15/17/18/,0.39473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/19/,0.9736842105263157,0.5,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/16/,0.9736842105263157,0.5,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
12,12/,1.0,1.0,1.0
13,13/,1.0,1.0,1.0
14,14/18/,0.9736842105263157,0.5,1.0
15,15/17/,0.9736842105263157,0.5,1.0
16,16/,1.0,1.0,1.0
17,2/3/12/15/17/,0.8947368421052632,0.2,1.0
18,6/9/12/16/,0.39473684210526316,0.0,0.0
19,14/15/17/18/,0.39473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/19/,0.9736842105263157,0.5,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/16/,0.9736842105263157,0.5,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
12,12/,1.0,1.0,1.0
13,13/,1.0,1.0,1.0
14,14/18/,0.9736842105263157,0.5,1.0
15,15/17/,0.9736842105263157,0.5,1.0
16,16/,1.0,1.0,1.0
17,3/12/,0.4473684210526316,0.0,0.0
18,6/9/12/16/,0.39473684210526316,0.0,0.0
19,14/15/17/18/,0.39473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/19/,0.9736842105263157,0.5,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
12,12/,1.0,1.0,1.0
13,8/13/16/,0.9473684210526316,0.3333333333333333,1.0
14,14/18/,0.9736842105263157,0.5,1.0
15,15/17/,0.9736842105263157,0.5,1.0
16,16/,1.0,1.0,1.0
17,2/3/12/15/17/,0.8947368421052632,0.2,1.0
18,6/9/12/16/,0.39473684210526316,0.0,0.0
19,14/15/17/18/,0.39473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/19/,0.9736842105263157,0.5,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/16/,0.9736842105263157,0.5,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
12,12/,1.0,1.0,1.0
13,8/13/16/,0.9473684210526316,0.3333333333333333,1.0
14,14/18/,0.9736842105263157,0.5,1.0
15,15/17/,0.9736842105263157,0.5,1.0
16,16/,1.0,1.0,1.0
17,2/3/12/15/17/,0.8947368421052632,0.2,1.0
18,6/9/12/16/,0.39473684210526316,0.0,0.0
19,14/15/17/18/,0.39473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/19/,0.9736842105263157,0.5,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
12,12/,1.0,1.0,1.0
13,8/13/16/,0.9473684210526316,0.3333333333333333,1.0
14,14/18/,0.9736842105263157,0.5,1.0
15,15/17/,0.9736842105263157,0.5,1.0
16,16/,1.0,1.0,1.0
17,2/3/12/15/17/,0.8947368421052632,0.2,1.0
18,6/9/12/16/,0.39473684210526316,0.0,0.0
19,14/15/17/18/,0.39473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/19/,0.9736842105263157,0.5,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
12,12/,1.0,1.0,1.0
13,8/13/16/,0.9473684210526316,0.3333333333333333,1.0
14,14/18/,0.9736842105263157,0.5,1.0
15,15/17/,0.9736842105263157,0.5,1.0
16,16/,1.0,1.0,1.0
17,2/3/12/15/17/,0.8947368421052632,0.2,1.0
18,1/6/9/10/12/16/,0.34210526315789475,0.0,0.0
19,14/15/17/18/,0.39473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/19/,0.9736842105263157,0.5,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
12,12/,1.0,1.0,1.0
13,13/16/,0.9736842105263157,0.5,1.0
14,14/18/,0.9736842105263157,0.5,1.0
15,15/17/,0.9736842105263157,0.5,1.0
