Real_Goal,Results,BACC,Precision,Recall
0,5/9/,0.3888888888888889,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
5,0/5/7/8/9/,0.7777777777777778,0.2,1.0
6,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/,0.4444444444444444,0.0,0.0
0,0/5/7/8/9/,0.7777777777777778,0.2,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
5,0/5/7/8/9/,0.7777777777777778,0.2,1.0
6,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/,0.4444444444444444,0.0,0.0
0,0/5/7/8/9/,0.7777777777777778,0.2,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
5,0/5/7/8/9/,0.7777777777777778,0.2,1.0
6,4/8/,0.3888888888888889,0.0,0.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/,0.4444444444444444,0.0,0.0
0,0/7/8/9/,0.8333333333333333,0.25,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
5,0/5/7/8/9/,0.7777777777777778,0.2,1.0
6,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/,0.4444444444444444,0.0,0.0
0,5/9/,0.3888888888888889,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,6/8/,0.3888888888888889,0.0,0.0
5,0/7/8/9/,0.2777777777777778,0.0,0.0
6,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/,0.4444444444444444,0.0,0.0
0,0/5/7/8/9/,0.7777777777777778,0.2,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/4/6/8/,0.8333333333333333,0.25,1.0
4,4/8/,0.9444444444444444,0.5,1.0
5,0/5/7/8/9/,0.7777777777777778,0.2,1.0
6,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/,0.4444444444444444,0.0,0.0
0,0/5/7/8/9/,0.7777777777777778,0.2,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
5,0/5/7/8/9/,0.7777777777777778,0.2,1.0
6,4/8/,0.3888888888888889,0.0,0.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/,0.4444444444444444,0.0,0.0
0,0/5/7/8/9/,0.7777777777777778,0.2,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/8/,0.9444444444444444,0.5,1.0
5,0/5/7/8/9/,0.7777777777777778,0.2,1.0
6,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/,0.4444444444444444,0.0,0.0
0,0/5/7/8/9/,0.7777777777777778,0.2,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/8/,0.9444444444444444,0.5,1.0
5,0/5/7/8/9/,0.7777777777777778,0.2,1.0
6,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/,0.4444444444444444,0.0,0.0
0,5/9/,0.3888888888888889,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/6/8/,0.8888888888888888,0.3333333333333333,1.0
5,0/5/7/8/9/,0.7777777777777778,0.2,1.0
6,4/8/,0.3888888888888889,0.0,0.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/,0.4444444444444444,0.0,0.0
