Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,1/,0.4,0.0,0.0
3,5/,0.4,0.0,0.0
4,3/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,1/,0.4,0.0,0.0
3,5/,0.4,0.0,0.0
4,3/,0.4,0.0,0.0
5,4/5/,0.9,0.5,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,1/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,5/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,4/,0.4,0.0,0.0
3,5/,0.4,0.0,0.0
4,5/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,4/,0.4,0.0,0.0
3,3/4/,0.9,0.5,1.0
4,5/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,1/,0.4,0.0,0.0
3,3/4/5/,0.8,0.3333333333333333,1.0
4,3/,0.4,0.0,0.0
5,4/5/,0.9,0.5,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,1/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,3/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,1/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,5/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,4/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,3/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,4/,0.4,0.0,0.0
3,5/,0.4,0.0,0.0
4,3/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
