Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,0/,0.4444444444444444,0.0,0.0
2,2/,1.0,1.0,1.0
3,0/,0.4444444444444444,0.0,0.0
4,2/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,5/,0.4444444444444444,0.0,0.0
8,2/,0.4444444444444444,0.0,0.0
9,3/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,2/,0.4444444444444444,0.0,0.0
2,2/,1.0,1.0,1.0
3,0/,0.4444444444444444,0.0,0.0
4,0/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,2/,0.4444444444444444,0.0,0.0
8,1/,0.4444444444444444,0.0,0.0
9,6/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,6/,0.4444444444444444,0.0,0.0
2,1/2/,0.9444444444444444,0.5,1.0
3,0/,0.4444444444444444,0.0,0.0
4,2/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,0/,0.4444444444444444,0.0,0.0
8,1/,0.4444444444444444,0.0,0.0
9,0/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4444444444444444,0.0,0.0
2,2/,1.0,1.0,1.0
3,0/,0.4444444444444444,0.0,0.0
4,0/,0.4444444444444444,0.0,0.0
5,0/,0.4444444444444444,0.0,0.0
6,6/,1.0,1.0,1.0
7,4/6/,0.3888888888888889,0.0,0.0
8,0/,0.4444444444444444,0.0,0.0
9,6/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4444444444444444,0.0,0.0
2,2/,1.0,1.0,1.0
3,0/,0.4444444444444444,0.0,0.0
4,0/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,4/6/,0.3888888888888889,0.0,0.0
8,2/,0.4444444444444444,0.0,0.0
9,6/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4444444444444444,0.0,0.0
2,1/,0.4444444444444444,0.0,0.0
3,0/,0.4444444444444444,0.0,0.0
4,0/,0.4444444444444444,0.0,0.0
5,6/,0.4444444444444444,0.0,0.0
6,6/,1.0,1.0,1.0
7,5/,0.4444444444444444,0.0,0.0
8,2/,0.4444444444444444,0.0,0.0
9,0/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4444444444444444,0.0,0.0
2,2/,1.0,1.0,1.0
3,0/,0.4444444444444444,0.0,0.0
4,5/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,4/6/,0.3888888888888889,0.0,0.0
8,2/,0.4444444444444444,0.0,0.0
9,6/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4444444444444444,0.0,0.0
2,2/,1.0,1.0,1.0
3,0/,0.4444444444444444,0.0,0.0
4,5/,0.4444444444444444,0.0,0.0
5,0/,0.4444444444444444,0.0,0.0
6,6/,1.0,1.0,1.0
7,2/,0.4444444444444444,0.0,0.0
8,0/,0.4444444444444444,0.0,0.0
9,0/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,2/,1.0,1.0,1.0
3,0/,0.4444444444444444,0.0,0.0
4,2/,0.4444444444444444,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,2/,0.4444444444444444,0.0,0.0
8,1/,0.4444444444444444,0.0,0.0
9,6/,0.4444444444444444,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.4444444444444444,0.0,0.0
2,1/2/,0.9444444444444444,0.5,1.0
3,0/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,6/,0.4444444444444444,0.0,0.0
6,6/,1.0,1.0,1.0
7,5/,0.4444444444444444,0.0,0.0
8,1/,0.4444444444444444,0.0,0.0
9,6/,0.4444444444444444,0.0,0.0
