Real_Goal,Results,BACC,Precision,Recall
0,5/,0.47368421052631576,0.0,0.0
1,0/1/7/,0.9473684210526316,0.3333333333333333,1.0
2,11/,0.47368421052631576,0.0,0.0
3,3/15/,0.9736842105263157,0.5,1.0
4,4/15/,0.9736842105263157,0.5,1.0
5,9/,0.47368421052631576,0.0,0.0
6,6/,1.0,1.0,1.0
7,8/,0.47368421052631576,0.0,0.0
8,8/,1.0,1.0,1.0
9,6/12/14/,0.42105263157894735,0.0,0.0
10,7/8/10/12/13/14/,0.868421052631579,0.16666666666666666,1.0
11,10/,0.47368421052631576,0.0,0.0
12,1/3/4/6/7/9/10/12/13/14/16/,0.7368421052631579,0.09090909090909091,1.0
13,10/14/,0.4473684210526316,0.0,0.0
14,14/,1.0,1.0,1.0
15,4/,0.47368421052631576,0.0,0.0
16,10/,0.47368421052631576,0.0,0.0
17,5/6/9/11/14/,0.3684210526315789,0.0,0.0
18,10/13/,0.4473684210526316,0.0,0.0
19,0/5/,0.4473684210526316,0.0,0.0
0,0/1/,0.9736842105263157,0.5,1.0
1,1/2/,0.9736842105263157,0.5,1.0
2,8/12/,0.4473684210526316,0.0,0.0
3,1/7/10/,0.42105263157894735,0.0,0.0
4,4/10/11/14/,0.9210526315789473,0.25,1.0
5,5/,1.0,1.0,1.0
6,0/1/6/,0.9473684210526316,0.3333333333333333,1.0
7,13/,0.47368421052631576,0.0,0.0
8,4/6/9/10/12/13/14/,0.3157894736842105,0.0,0.0
9,6/9/12/13/14/,0.8947368421052632,0.2,1.0
10,7/8/10/12/13/14/,0.868421052631579,0.16666666666666666,1.0
11,10/11/,0.9736842105263157,0.5,1.0
12,0/6/,0.4473684210526316,0.0,0.0
13,13/,1.0,1.0,1.0
14,0/1/6/7/10/,0.3684210526315789,0.0,0.0
15,12/,0.47368421052631576,0.0,0.0
16,5/10/11/13/,0.39473684210526316,0.0,0.0
17,0/5/10/11/13/,0.3684210526315789,0.0,0.0
18,1/7/,0.4473684210526316,0.0,0.0
19,0/5/,0.4473684210526316,0.0,0.0
0,1/5/,0.4473684210526316,0.0,0.0
1,1/,1.0,1.0,1.0
2,1/2/5/,0.9473684210526316,0.3333333333333333,1.0
3,7/,0.47368421052631576,0.0,0.0
4,4/,1.0,1.0,1.0
5,9/,0.47368421052631576,0.0,0.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,1/6/10/11/,0.39473684210526316,0.0,0.0
9,12/,0.47368421052631576,0.0,0.0
10,10/11/,0.9736842105263157,0.5,1.0
11,10/11/,0.9736842105263157,0.5,1.0
12,0/1/6/7/10/,0.3684210526315789,0.0,0.0
13,0/1/6/7/10/,0.3684210526315789,0.0,0.0
14,0/3/4/5/,0.39473684210526316,0.0,0.0
15,3/4/5/6/11/13/15/,0.8421052631578947,0.14285714285714285,1.0
16,0/2/6/10/13/,0.3684210526315789,0.0,0.0
17,10/11/,0.4473684210526316,0.0,0.0
18,1/7/,0.4473684210526316,0.0,0.0
19,0/5/,0.4473684210526316,0.0,0.0
0,0/1/2/5/,0.9210526315789473,0.25,1.0
1,10/,0.47368421052631576,0.0,0.0
2,5/8/,0.4473684210526316,0.0,0.0
3,10/,0.47368421052631576,0.0,0.0
4,3/,0.47368421052631576,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/12/14/,0.9473684210526316,0.3333333333333333,1.0
7,5/10/,0.4473684210526316,0.0,0.0
8,0/1/3/6/7/9/10/12/13/14/16/,0.21052631578947367,0.0,0.0
9,0/1/6/7/10/,0.3684210526315789,0.0,0.0
10,10/,1.0,1.0,1.0
11,3/10/11/,0.9473684210526316,0.3333333333333333,1.0
12,8/14/,0.4473684210526316,0.0,0.0
13,5/8/,0.4473684210526316,0.0,0.0
14,8/11/,0.4473684210526316,0.0,0.0
15,3/4/8/,0.42105263157894735,0.0,0.0
16,13/,0.47368421052631576,0.0,0.0
17,10/13/,0.4473684210526316,0.0,0.0
18,0/5/6/10/11/13/,0.34210526315789475,0.0,0.0
19,0/2/7/,0.42105263157894735,0.0,0.0
0,2/5/,0.4473684210526316,0.0,0.0
1,1/2/,0.9736842105263157,0.5,1.0
2,0/1/2/5/7/,0.8947368421052632,0.2,1.0
3,7/,0.47368421052631576,0.0,0.0
4,9/14/,0.4473684210526316,0.0,0.0
5,5/,1.0,1.0,1.0
6,5/13/16/,0.42105263157894735,0.0,0.0
7,7/,1.0,1.0,1.0
8,7/8/,0.9736842105263157,0.5,1.0
9,4/10/11/14/,0.39473684210526316,0.0,0.0
10,16/,0.47368421052631576,0.0,0.0
11,5/14/,0.4473684210526316,0.0,0.0
12,7/9/10/14/,0.39473684210526316,0.0,0.0
13,9/,0.47368421052631576,0.0,0.0
14,4/6/9/10/12/13/14/,0.8421052631578947,0.14285714285714285,1.0
15,4/,0.47368421052631576,0.0,0.0
16,10/,0.47368421052631576,0.0,0.0
17,6/,0.47368421052631576,0.0,0.0
18,0/5/10/11/13/,0.3684210526315789,0.0,0.0
19,7/,0.47368421052631576,0.0,0.0
0,0/,1.0,1.0,1.0
1,15/,0.47368421052631576,0.0,0.0
2,5/,0.47368421052631576,0.0,0.0
3,3/15/,0.9736842105263157,0.5,1.0
4,1/7/10/12/,0.39473684210526316,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,0/5/,0.4473684210526316,0.0,0.0
8,7/9/10/13/14/,0.3684210526315789,0.0,0.0
9,0/1/7/,0.42105263157894735,0.0,0.0
10,7/8/10/12/13/14/,0.868421052631579,0.16666666666666666,1.0
11,3/10/11/,0.9473684210526316,0.3333333333333333,1.0
12,8/11/,0.4473684210526316,0.0,0.0
13,12/,0.47368421052631576,0.0,0.0
14,11/,0.47368421052631576,0.0,0.0
15,1/7/10/12/,0.39473684210526316,0.0,0.0
16,10/,0.47368421052631576,0.0,0.0
17,10/13/,0.4473684210526316,0.0,0.0
18,0/5/10/11/13/,0.3684210526315789,0.0,0.0
19,0/5/,0.4473684210526316,0.0,0.0
0,3/10/,0.4473684210526316,0.0,0.0
1,5/,0.47368421052631576,0.0,0.0
2,5/8/12/,0.42105263157894735,0.0,0.0
3,10/11/,0.4473684210526316,0.0,0.0
4,0/1/3/6/7/9/10/12/13/16/,0.23684210526315788,0.0,0.0
5,13/,0.47368421052631576,0.0,0.0
6,7/9/12/14/,0.39473684210526316,0.0,0.0
7,1/2/7/,0.9473684210526316,0.3333333333333333,1.0
8,1/,0.47368421052631576,0.0,0.0
9,5/,0.47368421052631576,0.0,0.0
10,7/8/12/13/,0.39473684210526316,0.0,0.0
11,3/11/,0.9736842105263157,0.5,1.0
12,0/2/3/4/8/10/11/15/,0.2894736842105263,0.0,0.0
13,14/,0.47368421052631576,0.0,0.0
14,0/1/3/6/7/9/10/12/13/14/16/,0.7368421052631579,0.09090909090909091,1.0
15,4/15/,0.9736842105263157,0.5,1.0
16,0/10/,0.4473684210526316,0.0,0.0
17,5/8/,0.4473684210526316,0.0,0.0
18,10/13/,0.4473684210526316,0.0,0.0
19,5/8/,0.4473684210526316,0.0,0.0
0,1/,0.47368421052631576,0.0,0.0
1,5/,0.47368421052631576,0.0,0.0
2,0/5/8/9/10/11/14/16/,0.2894736842105263,0.0,0.0
3,0/1/6/7/10/,0.3684210526315789,0.0,0.0
4,0/1/3/6/7/9/10/12/13/16/,0.23684210526315788,0.0,0.0
5,9/,0.47368421052631576,0.0,0.0
6,10/11/,0.4473684210526316,0.0,0.0
7,8/,0.47368421052631576,0.0,0.0
8,7/8/,0.9736842105263157,0.5,1.0
9,4/6/9/10/12/14/,0.868421052631579,0.16666666666666666,1.0
10,10/14/,0.9736842105263157,0.5,1.0
11,11/12/,0.9736842105263157,0.5,1.0
12,4/,0.47368421052631576,0.0,0.0
