Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,15/,0.47368421052631576,0.0,0.0
4,17/,0.47368421052631576,0.0,0.0
5,7/19/,0.4473684210526316,0.0,0.0
6,1/,0.47368421052631576,0.0,0.0
7,0/19/,0.4473684210526316,0.0,0.0
8,7/,0.47368421052631576,0.0,0.0
9,7/,0.47368421052631576,0.0,0.0
10,0/19/,0.4473684210526316,0.0,0.0
11,3/,0.47368421052631576,0.0,0.0
12,7/,0.47368421052631576,0.0,0.0
13,7/,0.47368421052631576,0.0,0.0
14,1/14/18/,0.9473684210526316,0.3333333333333333,1.0
15,3/,0.47368421052631576,0.0,0.0
16,0/,0.47368421052631576,0.0,0.0
17,5/7/,0.4473684210526316,0.0,0.0
18,1/14/18/,0.9473684210526316,0.3333333333333333,1.0
19,5/7/19/,0.9473684210526316,0.3333333333333333,1.0
0,0/5/,0.9736842105263157,0.5,1.0
1,6/,0.47368421052631576,0.0,0.0
2,0/,0.47368421052631576,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,4/,0.47368421052631576,0.0,0.0
6,18/,0.47368421052631576,0.0,0.0
7,7/,1.0,1.0,1.0
8,0/1/3/6/,0.39473684210526316,0.0,0.0
9,3/,0.47368421052631576,0.0,0.0
10,16/,0.47368421052631576,0.0,0.0
11,7/,0.47368421052631576,0.0,0.0
12,7/,0.47368421052631576,0.0,0.0
13,7/,0.47368421052631576,0.0,0.0
14,18/,0.47368421052631576,0.0,0.0
15,7/,0.47368421052631576,0.0,0.0
16,19/,0.47368421052631576,0.0,0.0
17,5/7/,0.4473684210526316,0.0,0.0
18,5/14/,0.4473684210526316,0.0,0.0
19,5/7/,0.4473684210526316,0.0,0.0
0,0/,1.0,1.0,1.0
1,14/,0.47368421052631576,0.0,0.0
2,0/19/,0.4473684210526316,0.0,0.0
3,3/,1.0,1.0,1.0
4,5/,0.47368421052631576,0.0,0.0
5,0/3/6/,0.42105263157894735,0.0,0.0
6,6/,1.0,1.0,1.0
7,0/,0.47368421052631576,0.0,0.0
8,7/,0.47368421052631576,0.0,0.0
9,3/,0.47368421052631576,0.0,0.0
10,7/,0.47368421052631576,0.0,0.0
11,3/,0.47368421052631576,0.0,0.0
12,0/,0.47368421052631576,0.0,0.0
13,5/7/,0.4473684210526316,0.0,0.0
14,1/14/18/,0.9473684210526316,0.3333333333333333,1.0
15,3/,0.47368421052631576,0.0,0.0
16,7/,0.47368421052631576,0.0,0.0
17,7/,0.47368421052631576,0.0,0.0
18,1/14/18/,0.9473684210526316,0.3333333333333333,1.0
19,0/19/,0.9736842105263157,0.5,1.0
0,0/,1.0,1.0,1.0
1,6/,0.47368421052631576,0.0,0.0
2,3/,0.47368421052631576,0.0,0.0
3,15/,0.47368421052631576,0.0,0.0
4,4/,1.0,1.0,1.0
5,0/,0.47368421052631576,0.0,0.0
6,6/,1.0,1.0,1.0
7,0/19/,0.4473684210526316,0.0,0.0
8,0/1/3/4/8/10/11/12/16/18/,0.763157894736842,0.1,1.0
9,7/,0.47368421052631576,0.0,0.0
10,16/,0.47368421052631576,0.0,0.0
11,7/,0.47368421052631576,0.0,0.0
12,0/,0.47368421052631576,0.0,0.0
13,5/7/,0.4473684210526316,0.0,0.0
14,1/,0.47368421052631576,0.0,0.0
15,3/,0.47368421052631576,0.0,0.0
16,0/2/3/4/6/8/10/11/12/16/17/18/19/,0.6842105263157895,0.07692307692307693,1.0
17,7/,0.47368421052631576,0.0,0.0
18,1/,0.47368421052631576,0.0,0.0
19,19/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,6/,0.47368421052631576,0.0,0.0
2,3/,0.47368421052631576,0.0,0.0
3,0/3/6/,0.9473684210526316,0.3333333333333333,1.0
4,4/,1.0,1.0,1.0
5,5/7/,0.9736842105263157,0.5,1.0
6,6/,1.0,1.0,1.0
7,0/,0.47368421052631576,0.0,0.0
8,7/,0.47368421052631576,0.0,0.0
9,3/,0.47368421052631576,0.0,0.0
10,7/,0.47368421052631576,0.0,0.0
11,7/,0.47368421052631576,0.0,0.0
12,0/19/,0.4473684210526316,0.0,0.0
13,5/7/,0.4473684210526316,0.0,0.0
14,6/,0.47368421052631576,0.0,0.0
15,3/,0.47368421052631576,0.0,0.0
16,0/,0.47368421052631576,0.0,0.0
17,7/,0.47368421052631576,0.0,0.0
18,14/18/,0.9736842105263157,0.5,1.0
19,5/7/19/,0.9473684210526316,0.3333333333333333,1.0
0,5/,0.47368421052631576,0.0,0.0
1,1/,1.0,1.0,1.0
2,7/,0.47368421052631576,0.0,0.0
3,9/15/,0.4473684210526316,0.0,0.0
4,4/,1.0,1.0,1.0
5,2/,0.47368421052631576,0.0,0.0
6,1/18/,0.4473684210526316,0.0,0.0
7,7/,1.0,1.0,1.0
8,0/3/4/,0.42105263157894735,0.0,0.0
9,3/,0.47368421052631576,0.0,0.0
10,7/,0.47368421052631576,0.0,0.0
11,3/7/,0.4473684210526316,0.0,0.0
12,5/,0.47368421052631576,0.0,0.0
13,7/,0.47368421052631576,0.0,0.0
14,1/14/18/,0.9473684210526316,0.3333333333333333,1.0
15,3/7/,0.4473684210526316,0.0,0.0
16,10/,0.47368421052631576,0.0,0.0
17,5/7/,0.4473684210526316,0.0,0.0
18,6/,0.47368421052631576,0.0,0.0
19,0/19/,0.9736842105263157,0.5,1.0
0,0/,1.0,1.0,1.0
1,1/18/,0.9736842105263157,0.5,1.0
2,0/19/,0.4473684210526316,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,0/,0.47368421052631576,0.0,0.0
6,1/,0.47368421052631576,0.0,0.0
7,0/19/,0.4473684210526316,0.0,0.0
8,0/1/2/3/4/11/12/14/,0.2894736842105263,0.0,0.0
9,7/,0.47368421052631576,0.0,0.0
10,19/,0.47368421052631576,0.0,0.0
11,3/7/,0.4473684210526316,0.0,0.0
12,0/19/,0.4473684210526316,0.0,0.0
13,7/,0.47368421052631576,0.0,0.0
14,6/,0.47368421052631576,0.0,0.0
15,3/,0.47368421052631576,0.0,0.0
16,7/,0.47368421052631576,0.0,0.0
17,5/7/,0.4473684210526316,0.0,0.0
18,1/6/,0.4473684210526316,0.0,0.0
19,0/19/,0.9736842105263157,0.5,1.0
0,0/18/,0.9736842105263157,0.5,1.0
1,14/18/,0.4473684210526316,0.0,0.0
2,0/19/,0.4473684210526316,0.0,0.0
3,3/,1.0,1.0,1.0
4,13/17/,0.4473684210526316,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,7/,1.0,1.0,1.0
8,0/1/2/3/4/11/12/14/,0.2894736842105263,0.0,0.0
9,3/,0.47368421052631576,0.0,0.0
10,0/10/16/,0.9473684210526316,0.3333333333333333,1.0
11,3/,0.47368421052631576,0.0,0.0
12,7/16/,0.4473684210526316,0.0,0.0
13,5/7/,0.4473684210526316,0.0,0.0
14,6/,0.47368421052631576,0.0,0.0
15,3/7/,0.4473684210526316,0.0,0.0
16,7/,0.47368421052631576,0.0,0.0
