Real_Goal,Results,BACC,Precision,Recall
0,1/2/4/5/7/8/9/,0.1111111111111111,0.0,0.0
1,1/4/5/7/,0.8333333333333333,0.25,1.0
2,3/8/,0.3888888888888889,0.0,0.0
3,0/,0.4444444444444444,0.0,0.0
4,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
5,1/4/5/6/7/,0.7777777777777778,0.2,1.0
6,6/,1.0,1.0,1.0
7,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
8,5/,0.4444444444444444,0.0,0.0
9,2/3/6/8/9/,0.7777777777777778,0.2,1.0
0,0/,1.0,1.0,1.0
1,1/7/,0.9444444444444444,0.5,1.0
2,2/8/9/,0.8888888888888888,0.3333333333333333,1.0
3,0/3/8/,0.8888888888888888,0.3333333333333333,1.0
4,1/4/5/7/,0.8333333333333333,0.25,1.0
5,5/,1.0,1.0,1.0
6,4/,0.4444444444444444,0.0,0.0
7,0/,0.4444444444444444,0.0,0.0
8,0/1/4/7/,0.2777777777777778,0.0,0.0
9,2/8/9/,0.8888888888888888,0.3333333333333333,1.0
0,1/4/7/,0.3333333333333333,0.0,0.0
1,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
2,2/5/8/9/,0.8333333333333333,0.25,1.0
3,3/8/,0.9444444444444444,0.5,1.0
4,4/,1.0,1.0,1.0
5,1/4/7/,0.3333333333333333,0.0,0.0
6,6/,1.0,1.0,1.0
7,1/3/4/7/8/,0.7777777777777778,0.2,1.0
8,0/1/2/4/6/7/8/9/,0.6111111111111112,0.125,1.0
9,2/8/9/,0.8888888888888888,0.3333333333333333,1.0
0,1/7/,0.3888888888888889,0.0,0.0
1,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
2,2/8/9/,0.8888888888888888,0.3333333333333333,1.0
3,3/8/,0.9444444444444444,0.5,1.0
4,1/7/,0.3888888888888889,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,4/,0.4444444444444444,0.0,0.0
8,0/1/2/3/4/6/7/8/9/,0.5555555555555556,0.1111111111111111,1.0
9,2/5/8/9/,0.8333333333333333,0.25,1.0
0,0/,1.0,1.0,1.0
1,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
2,2/8/9/,0.8888888888888888,0.3333333333333333,1.0
3,3/8/,0.9444444444444444,0.5,1.0
4,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
5,5/,1.0,1.0,1.0
6,0/1/5/6/7/,0.7777777777777778,0.2,1.0
7,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
8,3/8/,0.9444444444444444,0.5,1.0
9,2/8/9/,0.8888888888888888,0.3333333333333333,1.0
0,0/,1.0,1.0,1.0
1,1/7/,0.9444444444444444,0.5,1.0
2,2/5/8/9/,0.8333333333333333,0.25,1.0
3,0/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,0/1/5/7/,0.2777777777777778,0.0,0.0
7,0/,0.4444444444444444,0.0,0.0
8,0/1/4/7/,0.2777777777777778,0.0,0.0
9,3/8/,0.3888888888888889,0.0,0.0
0,1/7/,0.3888888888888889,0.0,0.0
1,1/7/,0.9444444444444444,0.5,1.0
2,2/3/6/8/9/,0.7777777777777778,0.2,1.0
3,0/,0.4444444444444444,0.0,0.0
4,1/7/,0.3888888888888889,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,0/,0.4444444444444444,0.0,0.0
8,0/1/2/4/5/7/8/9/,0.6111111111111112,0.125,1.0
9,2/5/8/9/,0.8333333333333333,0.25,1.0
0,1/7/,0.3888888888888889,0.0,0.0
1,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
2,3/8/,0.3888888888888889,0.0,0.0
3,3/8/,0.9444444444444444,0.5,1.0
4,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
5,5/,1.0,1.0,1.0
6,0/1/5/6/7/,0.7777777777777778,0.2,1.0
7,4/,0.4444444444444444,0.0,0.0
8,3/8/,0.9444444444444444,0.5,1.0
9,2/5/8/9/,0.8333333333333333,0.25,1.0
0,1/7/,0.3888888888888889,0.0,0.0
1,4/,0.4444444444444444,0.0,0.0
2,3/8/,0.3888888888888889,0.0,0.0
3,3/8/,0.9444444444444444,0.5,1.0
4,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
5,1/4/5/6/7/,0.7777777777777778,0.2,1.0
6,6/,1.0,1.0,1.0
7,0/,0.4444444444444444,0.0,0.0
8,3/8/,0.9444444444444444,0.5,1.0
9,3/8/,0.3888888888888889,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/7/,0.8888888888888888,0.3333333333333333,1.0
2,2/5/8/9/,0.8333333333333333,0.25,1.0
3,3/8/,0.9444444444444444,0.5,1.0
4,1/7/,0.3888888888888889,0.0,0.0
5,1/4/7/,0.3333333333333333,0.0,0.0
6,6/,1.0,1.0,1.0
7,0/,0.4444444444444444,0.0,0.0
8,0/5/6/,0.3333333333333333,0.0,0.0
9,2/9/,0.9444444444444444,0.5,1.0
