Real_Goal,Results,BACC,Precision,Recall
0,5/,0.42857142857142855,0.0,0.0
1,2/5/6/,0.2857142857142857,0.0,0.0
2,1/3/4/5/6/,0.14285714285714285,0.0,0.0
3,1/2/3/4/5/6/,0.6428571428571428,0.16666666666666666,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,5/,0.42857142857142855,0.0,0.0
7,2/,0.42857142857142855,0.0,0.0
0,0/2/4/,0.8571428571428572,0.3333333333333333,1.0
1,1/4/,0.9285714285714286,0.5,1.0
2,2/5/,0.9285714285714286,0.5,1.0
3,1/7/,0.35714285714285715,0.0,0.0
4,2/5/,0.35714285714285715,0.0,0.0
5,1/2/4/5/,0.7857142857142857,0.25,1.0
6,2/,0.42857142857142855,0.0,0.0
7,3/6/,0.35714285714285715,0.0,0.0
0,6/,0.42857142857142855,0.0,0.0
1,5/,0.42857142857142855,0.0,0.0
2,4/,0.42857142857142855,0.0,0.0
3,0/1/5/,0.2857142857142857,0.0,0.0
4,2/,0.42857142857142855,0.0,0.0
5,1/2/4/5/,0.7857142857142857,0.25,1.0
6,1/2/3/4/5/6/,0.6428571428571428,0.16666666666666666,1.0
7,2/,0.42857142857142855,0.0,0.0
0,0/1/2/3/4/5/6/,0.5714285714285714,0.14285714285714285,1.0
1,1/2/3/4/5/6/,0.6428571428571428,0.16666666666666666,1.0
2,1/2/5/,0.8571428571428572,0.3333333333333333,1.0
3,2/5/6/,0.2857142857142857,0.0,0.0
4,2/,0.42857142857142855,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,2/5/,0.35714285714285715,0.0,0.0
0,1/2/3/4/5/6/,0.07142857142857142,0.0,0.0
1,5/6/,0.35714285714285715,0.0,0.0
2,1/4/,0.35714285714285715,0.0,0.0
3,1/2/3/4/5/6/,0.6428571428571428,0.16666666666666666,1.0
4,1/2/4/5/7/,0.7142857142857143,0.2,1.0
5,1/,0.42857142857142855,0.0,0.0
6,1/3/4/5/6/,0.7142857142857143,0.2,1.0
7,2/5/,0.35714285714285715,0.0,0.0
0,0/3/4/,0.8571428571428572,0.3333333333333333,1.0
1,1/3/6/,0.8571428571428572,0.3333333333333333,1.0
2,3/4/5/,0.2857142857142857,0.0,0.0
3,1/2/3/4/5/6/,0.6428571428571428,0.16666666666666666,1.0
4,4/,1.0,1.0,1.0
5,1/4/,0.35714285714285715,0.0,0.0
6,3/,0.42857142857142855,0.0,0.0
7,2/4/5/,0.2857142857142857,0.0,0.0
0,0/2/4/,0.8571428571428572,0.3333333333333333,1.0
1,2/5/,0.35714285714285715,0.0,0.0
2,2/5/,0.9285714285714286,0.5,1.0
3,0/3/6/,0.8571428571428572,0.3333333333333333,1.0
4,2/5/,0.35714285714285715,0.0,0.0
5,1/3/4/5/6/,0.7142857142857143,0.2,1.0
6,1/3/5/7/,0.21428571428571427,0.0,0.0
7,2/4/5/,0.2857142857142857,0.0,0.0
0,0/1/2/3/4/5/6/,0.5714285714285714,0.14285714285714285,1.0
1,5/,0.42857142857142855,0.0,0.0
2,7/,0.42857142857142855,0.0,0.0
3,1/2/3/4/5/6/7/,0.5714285714285714,0.14285714285714285,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,4/7/,0.35714285714285715,0.0,0.0
7,7/,1.0,1.0,1.0
0,0/1/2/3/4/5/6/,0.5714285714285714,0.14285714285714285,1.0
1,4/7/,0.35714285714285715,0.0,0.0
2,2/5/,0.9285714285714286,0.5,1.0
3,1/3/5/7/,0.7857142857142857,0.25,1.0
4,2/5/,0.35714285714285715,0.0,0.0
5,1/2/5/,0.8571428571428572,0.3333333333333333,1.0
6,2/,0.42857142857142855,0.0,0.0
7,2/,0.42857142857142855,0.0,0.0
0,4/,0.42857142857142855,0.0,0.0
1,1/3/,0.9285714285714286,0.5,1.0
2,2/5/,0.9285714285714286,0.5,1.0
3,1/2/3/4/5/6/,0.6428571428571428,0.16666666666666666,1.0
4,2/4/,0.9285714285714286,0.5,1.0
5,7/,0.42857142857142855,0.0,0.0
6,1/2/4/5/6/,0.7142857142857143,0.2,1.0
7,2/5/7/,0.8571428571428572,0.3333333333333333,1.0
