Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,1/,0.375,0.0,0.0
3,0/1/,0.25,0.0,0.0
4,0/1/,0.25,0.0,0.0
0,0/1/,0.875,0.5,1.0
1,0/1/,0.875,0.5,1.0
2,0/,0.375,0.0,0.0
3,0/,0.375,0.0,0.0
4,0/1/,0.25,0.0,0.0
0,0/1/,0.875,0.5,1.0
1,0/1/,0.875,0.5,1.0
2,0/1/,0.25,0.0,0.0
3,0/1/,0.25,0.0,0.0
4,0/1/,0.25,0.0,0.0
0,0/1/,0.875,0.5,1.0
1,0/1/,0.875,0.5,1.0
2,0/1/,0.25,0.0,0.0
3,0/1/,0.25,0.0,0.0
4,0/1/,0.25,0.0,0.0
0,0/1/,0.875,0.5,1.0
1,0/1/,0.875,0.5,1.0
2,0/1/,0.25,0.0,0.0
3,0/1/,0.25,0.0,0.0
4,0/,0.375,0.0,0.0
0,0/,1.0,1.0,1.0
1,0/,0.375,0.0,0.0
2,0/1/,0.25,0.0,0.0
3,0/1/,0.25,0.0,0.0
4,0/1/,0.25,0.0,0.0
0,0/1/,0.875,0.5,1.0
1,0/1/,0.875,0.5,1.0
2,0/1/,0.25,0.0,0.0
3,0/1/,0.25,0.0,0.0
4,0/1/,0.25,0.0,0.0
0,1/,0.375,0.0,0.0
1,0/1/,0.875,0.5,1.0
2,0/,0.375,0.0,0.0
3,0/1/,0.25,0.0,0.0
4,0/1/,0.25,0.0,0.0
0,0/1/,0.875,0.5,1.0
1,0/1/,0.875,0.5,1.0
2,0/1/,0.25,0.0,0.0
3,0/1/,0.25,0.0,0.0
4,0/1/,0.25,0.0,0.0
0,0/1/,0.875,0.5,1.0
1,0/1/,0.875,0.5,1.0
2,0/1/,0.25,0.0,0.0
3,2/,0.375,0.0,0.0
4,2/,0.375,0.0,0.0
