Real_Goal,Results,BACC,Precision,Recall
0,0/1/,0.9444444444444444,0.5,1.0
1,1/,1.0,1.0,1.0
2,8/9/,0.3888888888888889,0.0,0.0
3,9/,0.4444444444444444,0.0,0.0
4,4/5/6/7/,0.8333333333333333,0.25,1.0
5,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
6,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
7,2/3/4/5/6/8/9/,0.1111111111111111,0.0,0.0
8,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
9,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
0,0/1/,0.9444444444444444,0.5,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,3/8/9/,0.3333333333333333,0.0,0.0
3,3/8/9/,0.8888888888888888,0.3333333333333333,1.0
4,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
5,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
6,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
7,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
8,4/6/,0.3888888888888889,0.0,0.0
9,9/,1.0,1.0,1.0
0,0/1/,0.9444444444444444,0.5,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,3/8/9/,0.3333333333333333,0.0,0.0
3,3/8/,0.9444444444444444,0.5,1.0
4,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
5,4/,0.4444444444444444,0.0,0.0
6,6/8/,0.9444444444444444,0.5,1.0
7,2/3/4/5/6/8/9/,0.1111111111111111,0.0,0.0
8,2/4/6/7/8/9/,0.7222222222222222,0.16666666666666666,1.0
9,9/,1.0,1.0,1.0
0,1/,0.4444444444444444,0.0,0.0
1,0/,0.4444444444444444,0.0,0.0
2,3/8/9/,0.3333333333333333,0.0,0.0
3,9/,0.4444444444444444,0.0,0.0
4,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
5,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
6,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
7,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
8,6/8/,0.9444444444444444,0.5,1.0
9,2/4/6/7/8/9/,0.7222222222222222,0.16666666666666666,1.0
0,0/1/2/6/7/8/9/,0.6666666666666666,0.14285714285714285,1.0
1,0/,0.4444444444444444,0.0,0.0
2,3/8/9/,0.3333333333333333,0.0,0.0
3,8/9/,0.3888888888888889,0.0,0.0
4,2/3/4/5/6/8/,0.7222222222222222,0.16666666666666666,1.0
5,5/,1.0,1.0,1.0
6,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
7,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
8,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
9,6/7/8/9/,0.8333333333333333,0.25,1.0
0,0/1/,0.9444444444444444,0.5,1.0
1,2/4/5/6/8/9/,0.16666666666666666,0.0,0.0
2,8/9/,0.3888888888888889,0.0,0.0
3,8/,0.4444444444444444,0.0,0.0
4,2/4/6/7/8/9/,0.7222222222222222,0.16666666666666666,1.0
5,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
6,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
7,5/,0.4444444444444444,0.0,0.0
8,6/8/,0.9444444444444444,0.5,1.0
9,2/3/4/5/6/8/,0.16666666666666666,0.0,0.0
0,1/5/,0.3888888888888889,0.0,0.0
1,0/1/,0.9444444444444444,0.5,1.0
2,3/8/9/,0.3333333333333333,0.0,0.0
3,9/,0.4444444444444444,0.0,0.0
4,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
5,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
6,2/3/4/5/6/8/,0.7222222222222222,0.16666666666666666,1.0
7,2/3/4/5/6/8/9/,0.1111111111111111,0.0,0.0
8,2/3/4/5/6/8/,0.7222222222222222,0.16666666666666666,1.0
9,9/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,3/8/,0.3888888888888889,0.0,0.0
3,3/8/9/,0.8888888888888888,0.3333333333333333,1.0
4,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
5,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
6,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
7,6/8/,0.3888888888888889,0.0,0.0
8,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
9,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
0,0/1/2/5/7/,0.7777777777777778,0.2,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,9/,0.4444444444444444,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/3/4/5/6/8/9/,0.6666666666666666,0.14285714285714285,1.0
5,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
6,2/4/6/7/8/9/,0.7222222222222222,0.16666666666666666,1.0
7,2/4/6/7/8/9/,0.7222222222222222,0.16666666666666666,1.0
8,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
9,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
0,0/1/7/,0.8888888888888888,0.3333333333333333,1.0
1,0/1/,0.9444444444444444,0.5,1.0
2,9/,0.4444444444444444,0.0,0.0
3,3/9/,0.9444444444444444,0.5,1.0
4,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
5,2/3/4/5/6/8/,0.7222222222222222,0.16666666666666666,1.0
6,2/3/4/5/6/7/8/9/,0.6111111111111112,0.125,1.0
7,2/3/4/5/6/8/9/,0.1111111111111111,0.0,0.0
8,4/,0.4444444444444444,0.0,0.0
9,9/,1.0,1.0,1.0
