Real_Goal,Results,BACC,Precision,Recall
0,0/5/,0.9444444444444444,0.5,1.0
1,7/,0.4444444444444444,0.0,0.0
2,2/9/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,4/6/,0.9444444444444444,0.5,1.0
5,0/5/,0.9444444444444444,0.5,1.0
6,4/6/,0.9444444444444444,0.5,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,2/9/,0.9444444444444444,0.5,1.0
0,0/5/,0.9444444444444444,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/9/,0.9444444444444444,0.5,1.0
3,3/4/6/8/,0.8333333333333333,0.25,1.0
4,4/6/,0.9444444444444444,0.5,1.0
5,0/5/,0.9444444444444444,0.5,1.0
6,4/6/,0.9444444444444444,0.5,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,2/9/,0.9444444444444444,0.5,1.0
0,0/5/,0.9444444444444444,0.5,1.0
1,7/,0.4444444444444444,0.0,0.0
2,2/9/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,4/6/,0.9444444444444444,0.5,1.0
5,0/5/,0.9444444444444444,0.5,1.0
6,4/6/,0.9444444444444444,0.5,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,2/9/,0.9444444444444444,0.5,1.0
0,0/2/5/9/,0.8333333333333333,0.25,1.0
1,1/,1.0,1.0,1.0
2,2/9/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,4/6/,0.9444444444444444,0.5,1.0
5,0/5/,0.9444444444444444,0.5,1.0
6,4/6/,0.9444444444444444,0.5,1.0
7,7/,1.0,1.0,1.0
8,3/,0.4444444444444444,0.0,0.0
9,2/9/,0.9444444444444444,0.5,1.0
0,0/5/,0.9444444444444444,0.5,1.0
1,7/,0.4444444444444444,0.0,0.0
2,2/9/,0.9444444444444444,0.5,1.0
3,3/4/6/8/,0.8333333333333333,0.25,1.0
4,4/6/,0.9444444444444444,0.5,1.0
5,0/5/,0.9444444444444444,0.5,1.0
6,4/6/,0.9444444444444444,0.5,1.0
7,1/,0.4444444444444444,0.0,0.0
8,8/,1.0,1.0,1.0
9,2/9/,0.9444444444444444,0.5,1.0
0,0/5/,0.9444444444444444,0.5,1.0
1,1/7/,0.9444444444444444,0.5,1.0
2,2/9/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,4/6/,0.9444444444444444,0.5,1.0
5,5/,1.0,1.0,1.0
6,4/6/,0.9444444444444444,0.5,1.0
7,7/,1.0,1.0,1.0
8,8/,1.0,1.0,1.0
9,2/9/,0.9444444444444444,0.5,1.0
0,0/5/,0.9444444444444444,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/9/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,4/6/,0.9444444444444444,0.5,1.0
5,5/,1.0,1.0,1.0
6,4/6/,0.9444444444444444,0.5,1.0
7,1/,0.4444444444444444,0.0,0.0
8,8/,1.0,1.0,1.0
9,2/9/,0.9444444444444444,0.5,1.0
0,0/5/,0.9444444444444444,0.5,1.0
1,7/,0.4444444444444444,0.0,0.0
2,2/9/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,4/6/,0.9444444444444444,0.5,1.0
5,0/5/,0.9444444444444444,0.5,1.0
6,4/6/,0.9444444444444444,0.5,1.0
7,1/7/,0.9444444444444444,0.5,1.0
8,8/,1.0,1.0,1.0
9,2/9/,0.9444444444444444,0.5,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/9/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,4/6/,0.9444444444444444,0.5,1.0
5,0/,0.4444444444444444,0.0,0.0
6,4/6/,0.9444444444444444,0.5,1.0
7,1/,0.4444444444444444,0.0,0.0
8,3/,0.4444444444444444,0.0,0.0
9,2/9/,0.9444444444444444,0.5,1.0
0,0/5/,0.9444444444444444,0.5,1.0
1,7/,0.4444444444444444,0.0,0.0
2,2/9/,0.9444444444444444,0.5,1.0
3,3/,1.0,1.0,1.0
4,4/6/,0.9444444444444444,0.5,1.0
5,0/,0.4444444444444444,0.0,0.0
6,4/6/,0.9444444444444444,0.5,1.0
7,1/,0.4444444444444444,0.0,0.0
8,8/,1.0,1.0,1.0
9,2/9/,0.9444444444444444,0.5,1.0
