Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/7/,0.9545454545454546,0.5,1.0
2,8/,0.45454545454545453,0.0,0.0
3,0/3/5/,0.9090909090909092,0.3333333333333333,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,1/7/,0.9545454545454546,0.5,1.0
8,2/5/,0.4090909090909091,0.0,0.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/7/,0.9545454545454546,0.5,1.0
2,0/10/11/,0.36363636363636365,0.0,0.0
3,0/3/5/,0.9090909090909092,0.3333333333333333,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,0/6/,0.9545454545454546,0.5,1.0
7,1/7/,0.9545454545454546,0.5,1.0
8,2/5/,0.4090909090909091,0.0,0.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/7/,0.9545454545454546,0.5,1.0
2,0/10/11/,0.36363636363636365,0.0,0.0
3,0/3/5/,0.9090909090909092,0.3333333333333333,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,1/7/,0.9545454545454546,0.5,1.0
8,2/5/,0.4090909090909091,0.0,0.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/7/,0.9545454545454546,0.5,1.0
2,2/5/8/,0.9090909090909092,0.3333333333333333,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,1/7/,0.9545454545454546,0.5,1.0
8,2/5/8/,0.9090909090909092,0.3333333333333333,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
0,0/6/,0.9545454545454546,0.5,1.0
1,1/7/,0.9545454545454546,0.5,1.0
2,0/10/11/,0.36363636363636365,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,1/7/,0.9545454545454546,0.5,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/7/,0.9545454545454546,0.5,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,0/6/,0.9545454545454546,0.5,1.0
7,1/7/,0.9545454545454546,0.5,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/7/,0.9545454545454546,0.5,1.0
2,2/,1.0,1.0,1.0
3,0/3/5/,0.9090909090909092,0.3333333333333333,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,1/7/,0.9545454545454546,0.5,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
0,0/6/,0.9545454545454546,0.5,1.0
1,1/7/,0.9545454545454546,0.5,1.0
2,0/,0.45454545454545453,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,1/7/,0.9545454545454546,0.5,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/7/,0.9545454545454546,0.5,1.0
2,0/,0.45454545454545453,0.0,0.0
3,0/3/5/,0.9090909090909092,0.3333333333333333,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,1/7/,0.9545454545454546,0.5,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/7/,0.9545454545454546,0.5,1.0
2,6/,0.45454545454545453,0.0,0.0
3,3/5/,0.9545454545454546,0.5,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,3/6/,0.9545454545454546,0.5,1.0
7,1/7/,0.9545454545454546,0.5,1.0
8,8/,1.0,1.0,1.0
9,9/,1.0,1.0,1.0
10,10/,1.0,1.0,1.0
11,11/,1.0,1.0,1.0
