Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,0/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,3/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,0/4/,0.9,0.5,1.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,0/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,3/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,0/4/,0.9,0.5,1.0
5,5/,1.0,1.0,1.0
0,4/,0.4,0.0,0.0
1,1/,1.0,1.0,1.0
2,3/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,0/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,0/4/,0.9,0.5,1.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,3/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,0/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,3/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,0/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,3/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,0/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,3/,0.4,0.0,0.0
3,3/,1.0,1.0,1.0
4,0/,0.4,0.0,0.0
5,5/,1.0,1.0,1.0
