Real_Goal,Results,BACC,Precision,Recall
0,0/5/6/,0.8571428571428572,0.3333333333333333,1.0
1,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
2,1/2/6/7/,0.7857142857142857,0.25,1.0
3,3/,1.0,1.0,1.0
4,4/7/,0.9285714285714286,0.5,1.0
5,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
6,0/4/5/6/7/,0.7142857142857143,0.2,1.0
7,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
0,0/5/6/,0.8571428571428572,0.3333333333333333,1.0
1,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/7/,0.9285714285714286,0.5,1.0
5,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
6,2/,0.42857142857142855,0.0,0.0
7,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
0,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
1,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/7/,0.9285714285714286,0.5,1.0
5,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
6,0/4/5/6/7/,0.7142857142857143,0.2,1.0
7,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
0,0/5/6/,0.8571428571428572,0.3333333333333333,1.0
1,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/7/,0.9285714285714286,0.5,1.0
5,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
6,1/3/6/7/,0.7857142857142857,0.25,1.0
7,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
0,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
1,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/7/,0.9285714285714286,0.5,1.0
5,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
6,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
7,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
0,0/5/6/,0.8571428571428572,0.3333333333333333,1.0
1,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/7/,0.9285714285714286,0.5,1.0
5,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
6,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
7,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
0,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
1,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/7/,0.9285714285714286,0.5,1.0
5,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
6,1/3/6/7/,0.7857142857142857,0.25,1.0
7,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
0,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
1,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/7/,0.9285714285714286,0.5,1.0
5,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
6,1/3/6/7/,0.7857142857142857,0.25,1.0
7,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
0,0/5/6/,0.8571428571428572,0.3333333333333333,1.0
1,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/7/,0.9285714285714286,0.5,1.0
5,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
6,1/3/6/7/,0.7857142857142857,0.25,1.0
7,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
0,0/5/6/,0.8571428571428572,0.3333333333333333,1.0
1,1/6/7/,0.8571428571428572,0.3333333333333333,1.0
2,1/6/7/,0.2857142857142857,0.0,0.0
3,3/,1.0,1.0,1.0
4,2/,0.42857142857142855,0.0,0.0
5,0/1/4/5/6/7/,0.6428571428571428,0.16666666666666666,1.0
6,3/,0.42857142857142855,0.0,0.0
7,0/4/5/7/,0.7857142857142857,0.25,1.0
