"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","251297900","248/834/122/1101/596/488677/690/596/859/29811/721/649/721/728/721/690/523/","0.23783556922554086/0.0020286121859521855/0.6624663692631524/2.3145268742886523E-4/0.014045629174669567/0.0/0.006540957845710502/0.014045629174669567/0.0016554946965995905/9.857677879947207E-106/0.005083759739301051/0.009128642041437915/0.005083759739301051/0.004802518774172563/0.005083759739301051/0.006540957845710502/0.025426887867052144/","2/","no"
"1","276190700","3450112/147/3515823/6975/78/1286209/50/6574/6797/181152/1202/1131/7214/1436/6483/6305/1436/","0.0/0.08644682744050498/0.0/6.199861001822427E-60/0.33444441411654724/0.0/0.5791087579904908/1.611123237525343E-56/2.033081790324684E-58/0.0/8.970449151096605E-11/3.6092771511414557E-10/5.716876266256583E-62/9.123656349656367E-13/9.595030654465808E-56/3.1464386210380667E-54/9.123656349656367E-13/","6/","no"
"2","270679000","122/2974/122/3155/2496/1540/596/1317/859/1396/2496/2315/674/2512/1312/2496/2512/","0.4913736562357501/4.182435461139277E-11/0.4913736562357501/9.601641760940534E-12/2.0378644042853564E-9/4.838016600549649E-6/0.010418117027382795/2.965150768458597E-5/0.0012279362692053887/1.559946393903242E-5/2.0378644042853564E-9/8.876853106672952E-9/0.005525644935438114/1.7892939452725463E-9/3.088168778925714E-5/2.0378644042853564E-9/1.7892939452725463E-9/","0/2/","no"
"3","261353100","30769/3351/30769/18081/3351/1429/937/956/1066/771/3174/3174/1127/3812/28366/3812/3812/","2.9261548446480915E-18/0.007771450822459649/2.9261548446480915E-18/4.018170626856646E-11/0.007771450822459649/0.09369962374294614/0.17722141325517723/0.17291298208129507/0.14994992838046403/0.21973577018436555/0.009774055521732506/0.009774055521732506/0.13855756672993055/0.0042772342990852015/6.578445222024736E-17/0.0042772342990852015/0.0042772342990852015/","6/9/","no"
"4","263623600","9381745/432/5719/8765/50/487123/122/5719/7250/195333/1627/1627/1673/1517/6391/1131/1202/","0.0/4.4888394367978863E-4/4.268475377708708E-49/4.918378636903551E-75/0.8036832118740519/0.0/0.19586790355655323/4.268475377708708E-49/3.916721981921063E-62/0.0/2.99239051686007E-14/2.99239051686007E-14/1.2142320114793112E-14/2.586615395595355E-13/8.087314143157596E-55/5.008930383713216E-10/1.24491285725376E-10/","4/","no"
"5","263439500","1721/9167/1721/9167/8111/1494/8111/1341/692/1199/8111/8111/566/8380/2315/8111/8380/","0.04521510662633031/8.95383185685725E-8/0.04521510662633031/8.95383185685725E-8/5.765721804795831E-7/0.06747680991825517/5.765721804795831E-7/0.08837819284380563/0.2776179986625492/0.11352989213010745/5.765721804795831E-7/5.765721804795831E-7/0.3467029236442351/3.587672066673768E-7/0.015860190076433963/5.765721804795831E-7/3.587672066673768E-7/","8/12/","no"
"6","273705500","9105447/175/6305/7092/50/1286209/50/63863/65546/61569/1446/1553/7394/1446/7092/6305/1131/","0.0/0.04132329276927842/2.6043617663832194E-54/5.175369532342691E-61/0.4793383534653289/0.0/0.4793383534653289/0.0/0.0/0.0/6.207192082395098E-13/7.6160244692095E-14/1.3875121208598774E-63/6.207192082395098E-13/5.175369532342691E-61/2.6043617663832194E-54/2.9874612375601247E-10/","4/6/","no"
"7","263682500","1721/5938/50/63252/5151/1537/5420/50/851/1199/18081/18081/387/58334/2713/58334/18081/","2.945411730558794E-15/3.62204017723384E-51/0.49966275477304434/0.0/1.8226916735009596E-44/1.086456589244025E-13/9.3330309715451E-47/0.49966275477304434/7.545689646074438E-8/8.20876396408641E-11/1.4265555247167335E-154/1.4265555247167335E-154/6.744149148155339E-4/0.0/1.0512174469323755E-23/0.0/1.4265555247167335E-154/","2/7/","no"
"8","264673800","78730/8111/78730/8111/8111/74788/8111/68781/56652/56652/8898/8898/8898/8898/8898/8898/8898/","1.599310774158456E-5/0.09653451491534601/1.599310774158456E-5/0.09653451491534601/0.09653451491534601/2.6000209842246686E-5/0.09653451491534601/5.4522447542928184E-5/2.431807043025695E-4/2.431807043025695E-4/0.08760901000816324/0.08760901000816324/0.08760901000816324/0.08760901000816324/0.08760901000816324/0.08760901000816324/0.08760901000816324/","1/3/4/6/10/11/12/13/14/15/16/","no"
"9","262098000","244075/1204/2445/29742/1339/221927/1339/2445/201173/50/1339/1339/1339/1339/27775/1339/1339/","0.0/1.489439611150281E-10/4.028937279864236E-21/1.4303942361441035E-253/1.0554067300857591E-11/0.0/1.0554067300857591E-11/4.028937279864236E-21/0.0/0.9999999997666236/1.0554067300857591E-11/1.0554067300857591E-11/1.0554067300857591E-11/1.0554067300857591E-11/8.046329775573447E-237/1.0554067300857591E-11/1.0554067300857591E-11/","9/","no"
