"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105401100","246/113/1239/161/143/941/2951/","0.1137699159045237/0.36534597964125476/1.8754000517153855E-5/0.23979686340647408/0.28081241926076556/2.560677808276257E-4/5.637122774006468E-12/","1/","no"
"1","104238200","914/60/8674/58441/50/78/78/","1.4749073265657678E-8/0.27610127384008126/1.2242746557614401E-74/0.0/0.3359109731490672/0.1939938691308891/0.1939938691308891/","1/4/","no"
"2","105091500","1468/1468/50/3989/1468/54/3989/","4.3709676202260306E-13/4.3709676202260306E-13/0.5195977978776143/1.4886933841487072E-34/4.3709676202260306E-13/0.4804022021210744/1.4886933841487072E-34/","2/5/","no"
"3","101975600","1535/1535/529/68/1551/1535/592/","5.831214055981871E-10/5.831214055981871E-10/0.0012521220043957234/0.9982453979554635/4.6243747081682153E-10/5.831214055981871E-10/5.024778283392739E-4/","3/","no"
"4","103373100","1098/50/22425/3171/50/89/89/","4.061318097703735E-10/0.3411872792089086/9.929636907802772E-192/9.033866195368567E-28/0.3411872792089086/0.1588127205880255/0.1588127205880255/","1/4/","no"
"5","101222700","2884/2884/97/22844/8449/50/2951/","5.264745293387878E-25/5.264745293387878E-25/0.28463838348688203/5.62909991557762E-195/2.1487474242372935E-72/0.7153616165131179/1.4152515326610586E-25/","5/","no"
"6","100462400","502/79/3989/3989/1468/502/50/","9.036591663309508E-5/0.36148824941222757/1.8288745033129769E-34/1.8288745033129769E-34/5.369776826145592E-13/9.036591663309508E-5/0.6383310187539692/","6/","no"
"7","108949300","79/2884/22425/474/2884/1160/1160/","0.9928759018342229/5.880912236748478E-16/4.870671192907686E-122/0.0071214095993005055/5.880912236748478E-16/1.3442832377090103E-6/1.3442832377090103E-6/","0/","no"
"8","103379900","206/206/206/69/206/231/1484/","0.08489868991646918/0.08489868991646918/0.08489868991646918/0.6010039575406166/0.08489868991646918/0.05940128179368038/9.998263781922491E-10/","3/","no"
"9","102475500","565/565/68/3989/565/64/3989/","2.3142884810883836E-4/2.3142884810883836E-4/0.4842837725726455/3.0698734850063565E-27/2.3142884810883836E-4/0.515021940883028/3.0698734850063565E-27/","2/5/","no"
"0","103161800","50/103/499/150/122/379/3041/","0.5747384290815254/0.20330337977720628/8.629302237619032E-5/0.08089327696846384/0.14007112446094844/9.074966894799297E-4/1.9470459892568333E-26/","0/","no"
"1","101139500","914/54/8449/22844/54/72/72/","4.7036084060955494E-8/0.2905478072273945/1.493093954787497E-67/3.216450173442559E-181/0.2905478072273945/0.2094521692545634/0.2094521692545634/","1/4/","no"
"2","103691300","565/565/68/3989/565/64/3989/","2.3142884810883836E-4/2.3142884810883836E-4/0.4842837725726455/3.0698734850063565E-27/2.3142884810883836E-4/0.515021940883028/3.0698734850063565E-27/","2/5/","no"
"3","101158000","157/565/565/60/502/592/3989/","0.1691663728145645/2.1063217672706756E-4/2.1063217672706756E-4/0.8296854222538909/5.916411344414993E-4/1.3529944364907957E-4/8.832366379736023E-29/","3/","no"
"4","110137800","914/50/22425/8282/50/78/78/","1.3916718515856504E-8/0.3169540469086921/9.224372636515997E-192/2.5162719434991032E-71/0.3169540469086921/0.1830459461329486/0.1830459461329486/","1/4/","no"
"5","104379800","2884/2884/97/22844/8449/50/2951/","5.264745293387878E-25/5.264745293387878E-25/0.28463838348688203/5.62909991557762E-195/2.1487474242372935E-72/0.7153616165131179/1.4152515326610586E-25/","5/","no"
"6","104934200","502/79/3989/3989/1468/502/50/","9.036591663309508E-5/0.36148824941222757/1.8288745033129769E-34/1.8288745033129769E-34/5.369776826145592E-13/9.036591663309508E-5/0.6383310187539692/","6/","no"
"7","123833100","50/914/22425/22425/1098/2884/2899/","0.9999999549019682/4.3907683224025875E-8/2.91031848638055E-191/2.91031848638055E-191/1.1903485745315673E-9/7.359557648088722E-25/5.484260057521734E-25/","0/","no"
"8","103271400","79/89/565/89/79/592/3989/","0.2653269869530486/0.23415024415816876/6.10158193622599E-4/0.23415024415816876/0.2653269869530486/4.3537958394275787E-4/1.5762990803995598E-22/","0/1/3/4/","no"
"9","102789400","565/565/68/3989/565/64/3989/","2.3142884810883836E-4/2.3142884810883836E-4/0.4842837725726455/3.0698734850063565E-27/2.3142884810883836E-4/0.515021940883028/3.0698734850063565E-27/","2/5/","no"
"0","103595200","246/109/3328/137/127/2884/8282/","0.09883147289400528/0.34339131297481335/6.710478838355968E-14/0.2662205755352568/0.29155663859205794/3.7994782729494E-12/1.8522913511039368E-33/","1/4/","no"
"1","109588300","914/68/22425/22844/54/68/72/","4.94853448411039E-8/0.23698199926373992/6.885834764903548E-178/3.38393701717949E-181/0.305677199123156/0.23698199926373992/0.22035875286401932/","4/","no"
"2","101589500","1535/1535/102/79/1551/1535/112/","5.1693954149903765E-9/5.1693954149903765E-9/0.3109851564893904/0.4145713864184077/4.2323430010729265E-9/5.1693954149903765E-9/0.2744434373516727/","3/","no"
"3","102936500","203/102/529/72/98/1535/592/","0.06563495995518197/0.2618233720604218/7.545415410902769E-4/0.39489860197512733/0.2765701911227557/7.811748267195819E-10/3.1833256424832976E-4/","3/","no"
"4","103850500","1212/50/8674/3041/50/79/97/","4.295277947411067E-11/0.3373595410637732/1.2295541646994728E-74/1.1428756250307603E-26/0.3373595410637732/0.19104744456834774/0.134233473261153/","1/4/","no"
"5","101762100","2884/2884/97/22844/8449/50/2951/","5.264745293387878E-25/5.264745293387878E-25/0.28463838348688203/5.62909991557762E-195/2.1487474242372935E-72/0.7153616165131179/1.4152515326610586E-25/","5/","no"
