"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","98762600","502/25963/25963/","1.0/1.03933572946945E-22/1.03933572946945E-22/","0/","no"
"1","96987700","148646/246/103/","0.0/0.20181322226037882/0.7981867777396212/","2/","no"
"2","96978900","101165/6128/83/","0.0/5.575808122354844E-32/1.0/","2/","no"
"3","94160000","373066/22942/331/","0.0/2.643572185403759E-30/1.0/","2/","no"
"4","93752300","101165/895/155/","6.173874394406526E-282/0.008632169747422067/0.9913678302525779/","2/","no"
"5","91820500","101165/6128/94/","0.0/2.6028139029203537E-28/1.0/","2/","no"
"0","91794500","97/25963/25963/","1.0/2.3596426406329447E-115/2.3596426406329447E-115/","0/","no"
"1","89970800","148646/246/137/","0.0/0.31219978901659606/0.6878002109834039/","2/","no"
"2","92896100","15809/101165/97/","2.350024837709538E-70/0.0/1.0/","2/","no"
"3","91715200","58441/373066/403/","4.0732655209034137E-63/0.0/1.0/","2/","no"
"4","87702300","101165/145/812/","3.1581443654914678E-301/0.9897329269299694/0.010267073070030696/","1/","no"
"5","89787100","101165/6128/112/","0.0/7.561761598784622E-24/1.0/","2/","no"
"0","92032000","203/25963/25963/","1.0/1.4443657686019753E-55/1.4443657686019753E-55/","0/","no"
"1","90259300","148646/246/140/","0.0/0.3204350849823294/0.6795649150176707/","2/","no"
"2","98160300","299/101165/55/","0.012652804483989626/0.0/0.9873471955160104/","2/","no"
"3","93337500","58441/373066/411/","6.7582312237350634E-62/0.0/1.0/","2/","no"
"4","91277000","101165/155/895/","6.173874394406526E-282/0.9913678302525779/0.008632169747422067/","1/","no"
"5","89573600","101165/40251/255/","6.455603381420456E-172/1.4069318261179164E-68/1.0/","2/","no"
"0","91762000","203/25963/25963/","1.0/1.4443657686019753E-55/1.4443657686019753E-55/","0/","no"
"1","91559800","148646/292/72/","0.0/0.04681083744635436/0.9531891625536457/","2/","no"
"2","92424000","40251/2335/2335/","4.465446168876072E-8/0.49999997767276916/0.49999997767276916/","1/2/","no"
"3","90993000","373066/22942/322/","0.0/3.8542565327092035E-31/1.0/","2/","no"
"4","92664800","101165/2335/155/","6.2276270612365294E-282/8.531249412101411E-7/0.9999991468750588/","2/","no"
"5","92682600","101165/6128/115/","0.0/3.074831928330863E-23/1.0/","2/","no"
"0","91743200","1468/25963/25963/","0.9999998853591353/5.732043231377761E-8/5.732043231377761E-8/","0/","no"
"1","94095200","148646/246/113/","0.0/0.2374580283439025/0.7625419716560975/","2/","no"
"2","93160100","40251/244/97/","9.268527214334302E-179/0.18242552380635638/0.8175744761936437/","2/","no"
"3","90440100","373066/58686/348/","0.0/2.537346031679064E-73/1.0/","2/","no"
"4","88754100","101165/141/832/","1.05601345764043E-309/0.992356275317889/0.007643724682111138/","1/","no"
"5","91935200","101165/15809/122/","0.0/4.088506898094409E-56/1.0/","2/","no"
"0","91544700","54/4028/4028/","1.0/4.1710905369138125E-32/4.1710905369138125E-32/","0/","no"
"1","92208100","58686/320/98/","8.741159185644559E-258/0.09600494042300449/0.9039950595769956/","2/","no"
"2","92261900","308/101165/51/","0.007087515355216834/0.0/0.9929124846447832/","2/","no"
"3","90307500","373066/148646/390/","0.0/2.1280048386878752E-165/1.0/","2/","no"
"4","88730700","101165/151/343/","1.8819126691267422E-289/0.7795692427463742/0.22043075725362585/","1/","no"
"5","93881600","101165/40251/269/","5.1165545298797495E-163/4.886858009512802E-65/1.0/","2/","no"
"0","92824900","78/25963/502/","0.9953539851517411/4.9867460802054445E-143/0.004646014848258946/","0/","no"
"1","95662800","148646/246/113/","0.0/0.2374580283439025/0.7625419716560975/","2/","no"
"2","89776500","101165/101165/93/","0.0/0.0/1.0/","2/","no"
"3","91778100","58441/373066/411/","6.7582312237350634E-62/0.0/1.0/","2/","no"
"4","90070800","101165/15712/151/","2.414041711672565E-289/3.460209667344397E-45/1.0/","2/","no"
"5","89634300","101165/2351/107/","0.0/9.4694720055676E-10/0.9999999990530528/","2/","no"
"0","90948200","50/25963/25963/","1.0/2.1668323098208784E-221/2.1668323098208784E-221/","0/","no"
"1","92049600","148646/246/148/","0.0/0.3412523901848934/0.6587476098151066/","2/","no"
"2","93424000","40251/6089/6089/","0.001828058650999381/0.4990859706745003/0.4990859706745003/","1/2/","no"
"3","95045400","58441/373066/368/","4.4770646630869376E-69/0.0/1.0/","2/","no"
"4","89273400","101165/151/2268/","2.4140395536755434E-289/0.9999991060647333/8.939352668112665E-7/","1/","no"
"5","90672500","101165/2351/234/","2.97330168001187E-187/1.223489934672734E-4/0.9998776510065327/","2/","no"
"0","93283900","1468/25963/25963/","0.9999998853591353/5.732043231377761E-8/5.732043231377761E-8/","0/","no"
"1","90681500","148646/246/115/","0.0/0.24428839677943084/0.7557116032205692/","2/","no"
"2","91873000","15809/5961/5961/","0.08746865935913632/0.45626567032043186/0.45626567032043186/","1/2/","no"
"3","91564500","22523/373066/103/","2.3775621702500534E-94/0.0/1.0/","2/","no"
"4","91527900","101165/101165/354/","4.692209798773575E-124/4.692209798773575E-124/1.0/","2/","no"
"5","87995500","101165/15809/272/","3.141723078772783E-161/1.9204113593697141E-25/1.0/","2/","no"
"0","91124700","50/25963/25963/","1.0/2.1668323098208784E-221/2.1668323098208784E-221/","0/","yes"
"1","94428900","373066/246/128/","0.0/0.2860331780444577/0.7139668219555424/","2/","yes"
"2","95898000","6128/101165/102/","3.905391556881495E-26/0.0/1.0/","2/","yes"
"3","98380100","204/373066/357/","0.6783810003417331/0.0/0.32161899965826685/","0/","yes"
"4","98728800","101165/156/101165/15712/","3.8744328342590785E-280/1.0/3.8744328342590785E-280/9.30862643577065E-44/","1/","yes"
"5","104858500","101165/2351/201/753/15809/","7.994297560828422E-218/2.2396542396816673E-5/0.9389062811218485/0.06107132233575468/2.605245251589603E-34/","2/","yes"
