"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","129429600","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/","no"
"1","128089700","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","134124500","2147483647/2147483647/15314/30576/58400/","0.0/0.0/0.6997116311924967/0.2583018737432883/0.041986495064215/","2/","no"
"3","121703000","2147483647/35731/647/50/14010/","0.0/1.4310508644855784E-304/8.24510721760797E-6/0.9999917548927824/1.325947933388845E-119/","3/","no"
"4","127109400","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/","no"
"5","143761300","136882447/22509/3779205/201466/32016/","0.0/0.6039157666321445/2.0023028570591142E-73/2.129545890908032E-4/0.39587127877876466/","1/","no"
"6","125504600","2147483647/5436/36219/38296/4823/","0.0/0.46766261140574095/7.917799352272032E-4/5.147739838829898E-4/0.5310308346751489/","1/4/","no"
"7","119978600","44679314/2331/861860/922892/861860/","0.0/1.0/8.465603383094617E-161/3.643412451322868E-172/8.465603383094617E-161/","1/","no"
"0","131953400","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/","no"
"1","125422700","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","129462100","2147483647/2147483647/15314/30084/56882/","0.0/0.0/0.6908633003728192/0.2633616024941077/0.04577509713307316/","2/","no"
"3","122633700","1060013382/36746/647/50/13753/","0.0/3.2534439015E-313/8.24510721760797E-6/0.9999917548927824/2.046586176671085E-117/","3/","no"
"4","136431000","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/","no"
"5","134997400","136882447/22509/3779205/201466/32016/","0.0/0.6039157666321445/2.0023028570591142E-73/2.129545890908032E-4/0.39587127877876466/","1/","no"
"6","126201900","2147483647/5775/36948/38302/4945/","0.0/0.4574693258460477/8.378141441224089E-4/6.371720541837317E-4/0.5410556879556462/","1/4/","no"
"7","119268500","46004775/2562/860582/939676/845351/","0.0/1.0/4.078265289385816E-146/1.6150213282841305E-159/1.5535797470789433E-143/","1/","no"
"0","129335000","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/","no"
"1","128697000","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","129940300","2147483647/2147483647/15314/30084/56882/","0.0/0.0/0.6908633003728192/0.2633616024941077/0.04577509713307316/","2/","no"
"3","125576800","2147483647/35560/647/50/13941/","0.0/4.090900545668053E-303/8.24510721760797E-6/0.9999917548927824/5.129810923789663E-119/","3/","no"
"4","123048300","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/","no"
"5","130698300","136882447/22509/3779205/201466/32016/","0.0/0.6039157666321445/2.0023028570591142E-73/2.129545890908032E-4/0.39587127877876466/","1/","no"
"6","126301000","2147483647/5416/35940/36901/4812/","0.0/0.4679652868729412/8.239904633589299E-4/6.748506379276718E-4/0.5305358720257722/","1/4/","no"
"7","124994400","43892294/2183/879589/934959/850068/","0.0/1.0/3.352536693683108E-175/3.272614483387269E-186/2.4871764600037493E-169/","1/","no"
"0","130532100","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/","no"
"1","128445300","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","130970200","2147483647/2147483647/15314/30053/56823/","0.0/0.0/0.6903729206799588/0.26370791351292877/0.0459191658071123/","2/","no"
"3","129797700","2147483647/35731/647/50/14010/","0.0/1.4310508644855784E-304/8.24510721760797E-6/0.9999917548927824/1.325947933388845E-119/","3/","no"
"4","131122800","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/","no"
"5","138315200","136882447/22509/3779205/201466/32016/","0.0/0.6039157666321445/2.0023028570591142E-73/2.129545890908032E-4/0.39587127877876466/","1/","no"
"6","125282600","2147483647/5799/36690/38045/4904/","0.0/0.4538418594576696/8.351779049194399E-4/6.335861849146941E-4/0.5446893764524962/","1/4/","no"
"7","121516300","46004775/2562/878914/917494/863515/","0.0/1.0/3.1927142079217984E-149/9.265468319508013E-156/1.2986297214618552E-146/","1/","no"
"0","132417000","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/","no"
"1","130725500","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","130984000","2147483647/2147483647/15314/29560/55592/","0.0/0.0/0.6818697609969829/0.26898067104477075/0.0491495679582462/","2/","no"
"3","126646500","2147483647/35628/647/50/14010/","0.0/1.0783496761541228E-303/8.24510721760797E-6/0.9999917548927824/1.325947933388845E-119/","3/","no"
