"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","87868100","79/97/","0.55601389054462/0.44398610945538003/","0/","no"
"1","88556400","50/50/","0.5/0.5/","0/1/","no"
"2","85677700","8674/8282/","0.48817074575403946/0.5118292542459605/","0/1/","no"
"3","85442000","8674/8674/","0.5/0.5/","0/1/","no"
"4","86432400","8321/8282/","0.4988228924317995/0.5011771075682004/","0/1/","no"
"0","95691100","93/68/","0.4103983561505107/0.5896016438494892/","1/","no"
"1","89394800","123/68/","0.3106458881506613/0.6893541118493388/","1/","no"
"2","88629700","58441/58441/","0.5/0.5/","0/1/","no"
"3","87630700","8321/8282/","0.4988228924317995/0.5011771075682004/","0/1/","no"
"4","86699200","3787/3787/","0.5/0.5/","0/1/","no"
"0","87150900","54/50/","0.48040220212170437/0.5195977978782956/","0/1/","no"
"1","87247000","97/97/","0.5/0.5/","0/1/","no"
"2","89772700","8674/8674/","0.5/0.5/","0/1/","no"
"3","90533100","58441/58441/","0.5/0.5/","0/1/","no"
"4","94272700","11076/11076/","0.5/0.5/","0/1/","no"
"0","89188000","78/50/","0.3660918973606951/0.6339081026393049/","1/","no"
"1","90359200","51/79/","0.6314544598531285/0.36854554014687146/","0/","no"
"2","82812100","148646/148646/","0.5/0.5/","0/1/","no"
"3","88410000","58441/58441/","0.5/0.5/","0/1/","no"
"4","91104100","81670/80624/","0.496756634639527/0.503243365360473/","0/1/","no"
"0","88106500","122/68/","0.31375792494491594/0.6862420750550839/","1/","no"
"1","95626700","50/50/","0.5/0.5/","0/1/","no"
"2","87977300","22523/3041/","0.001651630583670713/0.9983483694163293/","1/","no"
"3","88409500","8321/8282/","0.4988228924317995/0.5011771075682004/","0/1/","no"
"4","89978900","3787/3787/","0.5/0.5/","0/1/","no"
"0","91201500","50/68/","0.5873306243819909/0.41266937561800915/","0/","no"
"1","88027400","50/50/","0.5/0.5/","0/1/","no"
"2","87650400","8282/8282/","0.5/0.5/","0/1/","no"
"3","88025500","58686/148646/","0.8224269819592961/0.17757301804070386/","0/","no"
"4","89489500","11636/11076/","0.48736389007696107/0.512636109923039/","0/1/","no"
"0","88584700","50/50/","0.5/0.5/","0/1/","no"
"1","89032100","51/50/","0.4950981962633707/0.5049018037366292/","0/1/","no"
"2","87705400","22425/22425/","0.5/0.5/","0/1/","no"
"3","84063600","8674/8842/","0.5048413472510851/0.4951586527489149/","0/1/","no"
"4","83858000","11675/207616/","0.999999948491433/5.150856695156652E-8/","0/","no"
"0","90047500","50/50/","0.5/0.5/","0/1/","no"
"1","93603500","65/55/","0.45547539583056906/0.5445246041694309/","0/1/","no"
"2","89619800","8282/8674/","0.5118292542459605/0.48817074575403946/","0/1/","no"
"3","83436500","58441/58441/","0.5/0.5/","0/1/","no"
"4","88237600","3803/3787/","0.49894403536087667/0.5010559646391234/","0/1/","no"
"0","91046400","93/93/","0.5/0.5/","0/1/","no"
"1","86833600","50/50/","0.5/0.5/","0/1/","no"
"2","89881000","22425/22425/","0.5/0.5/","0/1/","no"
"3","85163300","58686/148646/","0.8224269819592961/0.17757301804070386/","0/","no"
"4","84099200","81915/525508/","0.9955713325047729/0.004428667495227055/","0/","no"
"0","87200600","50/50/","0.5/0.5/","0/1/","yes"
"1","91977200","50/50/","0.5/0.5/","0/1/","yes"
"2","86040600","22425/373066/","0.9999998379673409/1.6203265909709733E-7/","0/","yes"
"3","96271700","5922/5922/60/","1.8408239126501917E-42/1.8408239126501917E-42/1.0/","2/","yes"
"4","94990000","525508/1317511/207616/80624/","0.003314695723833404/1.795732794086642E-7/0.1709228599590527/0.8257622647438345/","3/","yes"
