"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","112493800","50/50/914/914/373066/914/914/","0.49999995609231856/0.49999995609231856/2.1953840674203373E-8/2.1953840674203373E-8/0.0/2.1953840674203373E-8/2.1953840674203373E-8/","0/1/","no"
"1","113806700","50/78/78/78/5922/65/5922/","0.2875433910042668/0.16606082987107296/0.16606082987107296/0.16606082987107296/2.8525214881941826E-51/0.21427411938251426/2.8525214881941826E-51/","0/","no"
"2","139201800","612599560/612599560/1544/1547/338066/238184/7160/","0.0/0.0/0.49396245703243735/0.49300423724198017/1.2544482554612814E-95/1.496092821851255E-67/0.01303330572558243/","2/3/","no"
"3","130733000","535091056/535091056/1399/1399/273721/212779/6451/","0.0/0.0/0.4933178810438051/0.4933178810438051/1.6444682755024984E-85/1.3208828361439254E-66/0.013364237912389772/","2/3/","no"
"4","114155300","278324/278324/4840/4840/50/61/4824/","0.0/0.0/8.988063333209417E-42/8.988063333209417E-42/0.5537134980256039/0.4462865019743961/1.2300290634407424E-41/","4/5/","no"
"5","138017200","2147483647/2147483647/482/482/499662732/463576498/9345378/","0.0/0.0/0.5/0.5/0.0/0.0/0.0/","2/3/","no"
"6","129283800","6785651/6677220/50/50/2454/894/50/","0.0/0.0/0.3333333261121298/0.3333333261121298/1.1257165211238889E-21/2.1663610529012144E-8/0.3333333261121298/","2/3/6/","no"
"7","128485400","2155485/2155485/50/50/674/50/50/","0.0/0.0/0.2499996964999476/0.2499996964999476/1.214000209486732E-6/0.2499996964999476/0.2499996964999476/","2/3/5/6/","no"
"8","132604800","1776737262/1776737262/9757/9757/342675/295309/50/","0.0/0.0/2.184155784356697E-83/2.184155784356697E-83/0.0/0.0/1.0/","6/","no"
"9","133239300","2147483647/2147483647/35628/35628/1035778/911657/1859/","0.0/0.0/1.3038277663874597E-8/1.3038277663874597E-8/3.877390481121256E-242/3.713278221952143E-213/0.9999999739234446/","6/","no"
"0","117172000","51/98/97/98/58441/97/58441/","0.3793966743185792/0.15365904247732623/0.1566426203633841/0.15365904247732623/0.0/0.1566426203633841/0.0/","0/","no"
"1","110788700","97/97/97/97/101165/97/101165/","0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.0/0.19999999999999998/0.0/","0/1/2/3/5/","no"
"2","135812300","1571067938/1560479067/305/305/299126/263105/7160/","0.0/0.0/0.49999999995334565/0.49999999995334565/0.0/0.0/9.330868132586394E-11/","2/3/","no"
"3","135322200","539326604/535091056/50/50/273721/212779/6451/","0.0/0.0/0.5/0.5/0.0/0.0/1.5515105620857612E-55/","2/3/","no"
"4","121488700","278934/278934/710/713/78/188/435/","0.0/0.0/2.6623268754902984E-4/2.563121424245549E-4/0.7936284563608654/0.19719840410189796/0.008650594707263115/","4/","no"
"5","138219200","2147483647/2147483647/50/50/499918262/462722233/25211969/","0.0/0.0/0.5/0.5/0.0/0.0/0.0/","2/3/","no"
"6","132477500","1020275/976067/965/78/1077/965/78/","0.0/0.0/6.649225400127083E-6/0.49999254533602216/1.610877155490156E-6/6.649225400127083E-6/0.49999254533602216/","3/6/","no"
"7","134451500","2155485/2155485/50/50/669/64/50/","0.0/0.0/0.2659609898912789/0.2659609898912789/1.4245415184386361E-6/0.20211560578464463/0.2659609898912789/","2/3/6/","no"
"8","131545800","2147483647/2147483647/32114/32114/907658/822152/1698/","0.0/0.0/1.679313774556656E-8/1.679313774556656E-8/2.6338035133652176E-232/1.8942221563512593E-210/0.9999999664137246/","6/","no"
"9","131145400","2147483647/2147483647/293544/293544/7580742/6346815/31004/","0.0/0.0/2.1006643365223868E-4/2.1006643365223868E-4/1.773470661780896E-106/3.4098546492935735E-89/0.9995798671326955/","6/","no"
