"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","100734200","95/1366/561/561/561/561/561/","0.9624815874099653/1.7120421224712406E-6/0.007503340109582386/0.007503340109582386/0.007503340109582386/0.007503340109582386/0.007503340109582386/","0/","no"
"1","112148000","4494307/1467/711063/50/39911/1582/147/","0.0/7.464516219086486E-13/0.0/0.8701132868038333/0.0/7.829070200003802E-14/0.129886713195342/","3/","no"
"2","113554400","697/691/50/272/201/79/343/","1.8929010126692445E-6/2.129224094418855E-6/0.611937290301506/0.00787496416294382/0.03168506698005904/0.3465414233714582/0.001957233058925788/","2/","no"
"3","106503200","4494307/50/711063/50/122/122/545/","0.0/0.40201222102773304/0.0/0.40201222102773304/0.09797553286350792/0.09797553286350792/2.4492217518059536E-5/","1/3/","no"
"4","109268600","1317511/11794/11794/1287/1625/68/529/","0.0/1.5652011370791696E-74/1.5652011370791696E-74/2.1228521092046406E-8/1.583092132512111E-10/0.998747227152949/0.0012527514602208207/","5/","no"
"5","109023200","14902303/5951414/2364241/360971/360971/137249/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"6","107860600","19280164/7680747/3030195/455732/455732/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/","no"
"7","105850700","208227/81670/30903/3803/3803/302/133/","0.0/4.265366136769696E-265/1.4655002258861373E-100/9.935354079458392E-13/9.935354079458392E-13/0.2207684151125798/0.7792315848854332/","6/","no"
"8","104599100","58441/914/22425/2884/914/320/83/","1.79443584495323E-302/4.769093076171147E-5/2.9030681051922437E-116/3.11312216318316E-15/4.769093076171147E-5/0.056171782579724744/0.9437328355587487/","6/","no"
"9","106992100","80624/30484/11469/1377/1235/384/55/","0.0/1.0328036441190657E-236/3.021761221655779E-89/5.576092755694602E-11/7.040065688287219E-10/0.0028009269649929215/0.9971990722752396/","6/","no"
"0","100931200","952/6209/159/6209/6209/6209/6209/","0.006990070648957565/3.7600489098584626E-17/0.9930099293510424/3.7600489098584626E-17/3.7600489098584626E-17/3.7600489098584626E-17/3.7600489098584626E-17/","2/","no"
"1","107951200","4494307/97/711063/106872/14312/198/198/","0.0/0.5835746256423167/0.0/0.0/5.905254815133835E-64/0.20821268717884167/0.20821268717884167/","1/","no"
"2","107418800","3989/3989/502/68/203/157/214/","1.3598644329775207E-25/1.3598644329775207E-25/0.0012053197100970418/0.6497579596658307/0.09184277839454891/0.17888530590410384/0.07830863632541961/","3/","no"
"3","107544100","4494307/128/278324/151/151/151/561/","0.0/0.2820920867924754/0.0/0.23602529769382774/0.23602529769382774/0.23602529769382774/0.009832020126041565/","1/3/4/5/","no"
"4","107722300","712589/110371/41310/166/65/403/1557/","0.0/0.0/3.2480504481668666E-272/0.17708048253073472/0.8180368324990528/0.004882684845736512/1.244759586418736E-10/","4/","no"
"5","109988400","14902303/5951414/2364241/360971/360971/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/","no"
"6","109034600","48259941/19280164/7671210/1184063/1184063/2165/2165/","0.0/0.0/0.0/5.274190319407553E-238/5.274190319407553E-238/0.5/0.5/","5/6/","no"
"7","112364800","80624/4247/1350/82/78/82/125/","0.0/3.492750617892098E-24/2.945310240862928E-8/0.27531657101871726/0.28961559648135254/0.27531657101871726/0.15975123202811048/","3/4/5/","no"
"8","105399900","58441/249/8282/941/246/97/97/","1.1438103220607426E-259/0.08722575455313468/2.19680722386251E-37/7.481589982325335E-5/0.08993722100872743/0.41138110426915725/0.41138110426915725/","5/6/","no"
"9","107712900","373066/50/58441/50/2884/68/68/","0.0/0.29366531219099545/0.0/0.29366531219099545/2.1612468917815835E-25/0.20633468780900457/0.20633468780900457/","1/3/","no"
"0","103891400","123/348/60/2474/2474/2474/2474/","0.26083156242674466/0.0065231034642567265/0.7326453341089987/4.7667638316785544E-18/4.7667638316785544E-18/4.7667638316785544E-18/4.7667638316785544E-18/","2/","no"
"1","107396100","14902303/50/2364241/128/128/2290/6926/","0.0/0.6976779114967727/0.0/0.15116104425161364/0.15116104425161364/5.871648944474508E-20/1.9522710722279793E-59/","1/","no"
"2","106910400","1468/529/157/78/50/78/82/","2.9917935331092674E-13/2.965237152845513E-5/0.04363695898506165/0.2053927669184666/0.35564878685321294/0.2053927669184666/0.1898990679529647/","4/","no"
"3","105977900","4494307/50/711063/50/50/1467/4824/","0.0/0.33333333333323806/0.0/0.33333333333323806/0.33333333333323806/2.8595955386083826E-13/7.404726257811123E-42/","1/3/4/","no"
"4","105207300","1317511/181/207616/171/302/3787/11076/","0.0/0.3914324944420235/0.0/0.41486476823717466/0.19370273701345955/3.0734245990485975E-10/1.2109644904160148E-28/","1/3/","no"
"5","108519700","14902303/17994/2364241/17994/360971/17994/5996/","0.0/0.0962094788723952/1.1782596178305795E-171/0.0962094788723952/1.3973198050460667E-26/0.0962094788723952/0.7113715633828144/","6/","no"
"6","108927000","48259941/7671210/3030195/456342/456342/51/50/","0.0/0.0/0.0/0.0/0.0/0.4950981962633707/0.5049018037366292/","5/6/","no"
"7","106060000","1317511/207616/80624/11115/1179/485/122/","0.0/0.0/5.462000868408063E-285/1.4560152792626596E-39/1.7607027054139532E-4/0.04967015866887762/0.950153771060581/","6/","no"
"8","104154900","58441/249/8282/941/246/97/97/","1.1438103220607426E-259/0.08722575455313468/2.19680722386251E-37/7.481589982325335E-5/0.08993722100872743/0.41138110426915725/0.41138110426915725/","5/6/","no"
"9","108277000","1317511/302/207616/302/30484/302/50/","0.0/0.006996197752708686/0.0/0.006996197752708686/6.724880488736506E-260/0.006996197752708686/0.979011406741874/","6/","no"
"0","103111400","1484/502/157/231/160/231/228/","5.651191479093733E-5/0.028272400787669537/0.2509943415892745/0.15713038918428693/0.24627358537454372/0.15713038918428693/0.16014238196514752/","2/4/","no"
"1","108879500","4494307/710/711063/188/106872/289/150/","0.0/0.011139950065189521/0.0/0.35336142302119244/5.152017915523017E-308/0.18102175586816593/0.45447687104545215/","6/","no"
"2","106920700","50/55/50/103/55/103/1551/","0.22120513481052448/0.20054752821754057/0.22120513481052448/0.0782473369719167/0.20054752821754057/0.0782473369719167/3.655211497288334E-14/","0/1/2/4/","no"
"3","112034500","4494307/78/106872/78/50/78/435/","0.0/0.21130630452916455/0.0/0.21130630452916455/0.36588840000419814/0.21130630452916455/1.9268640830811574E-4/","4/","no"
"4","108596300","1317511/632/207616/93/50/3787/11076/","0.0/7.735446232427031E-6/0.0/0.300872126143538/0.6991201384102296/1.0515660110803068E-32/8.949276789476236E-95/","4/","no"
"5","106962700","14902303/5951414/2364241/360971/360971/50/93/","0.0/0.0/0.0/0.0/0.0/0.6991255464583039/0.30087445354169606/","5/","no"
"6","105235400","48259941/7671210/3030195/456342/456342/51/50/","0.0/0.0/0.0/0.0/0.0/0.4950981962633707/0.5049018037366292/","5/6/","no"
"7","109596500","80868/80624/11076/1362/1362/304/89/","0.0/0.0/8.793835024519266E-54/6.592185109808975E-7/6.592185109808975E-7/0.08402379703608122/0.9159748845268968/","6/","no"
"8","108055100","58441/292/8282/292/1029/914/1056/","2.836316888165829E-87/0.4397073455578884/6.311262516849112E-13/0.4397073455578884/0.03554327684615679/0.05262769424198496/0.032414337795450325/","1/3/","no"
"9","106564600","525508/561/80624/3787/302/181/181/","0.0/0.04697929249332237/4.196627311612745E-193/9.417106210525999E-10/0.1949579398949567/0.3790313833350052/0.3790313833350052/","5/6/","no"
"0","103984500","50/952/68/159/348/159/2474/","0.5150723573269294/1.073536507444564E-8/0.36189937876959366/0.060767340905816654/0.001493571356478648/0.060767340905816654/1.175187018539775E-21/","0/","no"
"1","106237000","4494307/150/711063/50/106872/229/669/","0.0/0.1202300014400546/0.0/0.854221818496306/0.0/0.025543604676674048/4.575386965214642E-6/","3/","no"
"2","100630300","15712/156/64/156/156/156/156/","1.2688356623208181E-105/0.10967233155865666/0.45163834220671667/0.10967233155865666/0.10967233155865666/0.10967233155865666/0.10967233155865666/","2/","no"
"3","110388700","207616/31982/11636/1262/1262/338/64/","0.0/5.43248873301957E-214/4.740816258639699E-78/9.75556518869558E-9/9.75556518869558E-9/0.014551760286305018/0.9854482202025646/","6/","no"
"4","105169500","1793938/108163/39911/156/55/377/1615/","0.0/0.0/6.9025601824055E-310/0.14103147892603865/0.8562432863842344/0.002725234689044069/6.829576198272155E-13/","4/","no"
"5","107048000","14902303/17994/2364241/1798/360971/17994/1798/","0.0/6.152607051780632E-5/0.0/0.4999384739294822/9.803553310127794E-88/6.152607051780632E-5/0.4999384739294822/","3/6/","no"
"6","105536800","14902303/5951414/2364241/360971/360971/137249/50724/","5.894890594002776E-128/2.5450658774336646E-51/1.312674883986955E-20/0.0018605561016113237/0.0018605561016113237/0.1531416557282914/0.843137232068486/","6/","no"
"7","107403500","30484/11115/4075/446/348/107/107/","3.266288984265239E-123/2.5208844503791258E-45/5.1418472068547186E-17/0.020147353576363315/0.04992292674328341/0.4649648598401766/0.4649648598401766/","5/6/","no"
"8","106977400","373066/2884/58441/246/246/1029/1029/","0.0/1.1034719663320635E-5/2.28113961541538E-103/0.4798402804196658/0.4798402804196658/0.0201542022205025/0.0201542022205025/","3/4/","no"
"9","103241300","1317511/11076/11076/1179/1632/304/122/","0.0/1.7136083319117272E-39/1.7136083319117272E-39/1.5091365442627486E-4/3.795366645651655E-6/0.18544784945318132/0.8143974415257468/","6/","no"
"0","102708900","50/25963/10317/10317/10317/10317/10317/","1.0/2.1668323098208784E-221/3.720145175813745E-88/3.720145175813745E-88/3.720145175813745E-88/3.720145175813745E-88/3.720145175813745E-88/","0/","no"
"1","105472300","14902303/50/505/434/887/5996/17994/","0.0/0.9993298420804148/1.3338925032156928E-4/5.366941669076569E-4/7.450235595840725E-8/2.3231733306408122E-51/1.5709987924321092E-153/","1/","no"
"2","105846800","50/51/50/150/50/150/15712/","0.23462727301795633/0.23007154818162961/0.23462727301795633/0.03302331638225062/0.23462727301795633/0.03302331638225062/9.986071202284356E-135/","0/1/2/4/","no"
"3","109728300","278324/51/106872/50/50/50/389/","0.0/0.24626128875573405/0.0/0.25113759214169046/0.25113759214169046/0.25113759214169046/3.2593481919439055E-4/","1/3/4/5/","no"
"4","106928300","207616/1356/1740/138/231/138/265/","0.0/5.370996483542349E-5/3.390605846301261E-6/0.3432411283490346/0.17580377355728763/0.3432411283490346/0.1376568691739615/","3/5/","no"
"5","109432800","14902303/2364241/930399/137493/137493/51/50/","0.0/0.0/0.0/0.0/0.0/0.4950981962633707/0.5049018037366292/","5/6/","no"
"6","107727600","14902303/5951414/2364241/360971/360971/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/","no"
"7","104813100","30582/11469/1173/158/110/98/167/","6.391569407050544E-135/4.474694543437294E-51/6.567340172885625E-6/0.18621070958523256/0.3023929603011193/0.34136063047177106/0.17002913230170416/","4/5/","no"
"8","108680100","58686/64/3108/285/65/124/123/","0.0/0.3547539308525457/1.6277307057341183E-21/0.011839298703828854/0.3493379463134615/0.14094186121382282/0.1431269629163412/","1/4/","no"
"9","106143500","1317511/11076/207616/1173/1173/4075/206/","0.0/1.5354697286024E-23/0.0/0.009186308753136212/0.009186308753136212/7.492489232295129E-9/0.9816273750012384/","6/","no"
"0","103111300","50/170/502/598/65/598/535/","0.5433197878167542/0.05166377701539261/7.691556450883252E-5/1.1708971164552653E-5/0.4048758299431822/1.1708971164552653E-5/4.027171783295997E-5/","0/","no"
"1","106358300","4494307/50/711063/50/106872/150/1736/","0.0/0.4671264464819688/0.0/0.4671264464819688/0.0/0.0657471070360603/2.0519643849189555E-15/","1/3/","no"
"2","104380500","140/201/691/2111/2111/691/2268/","0.5920748924899709/0.38414074965575096/0.011891593430071167/5.029145566501853E-7/5.029145566501853E-7/0.011891593430071167/1.651650225677068E-7/","0/","no"
