"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","96668200","2439/711/943/","0.04878090349331719/0.5524181107387023/0.3988009857679806/","1/","no"
"1","103511900","17994/50/2674/","1.5720523157415056E-153/1.0/4.519840685744167E-23/","1/","no"
"2","97024700","156/542/50/","0.11120453369273729/5.742610435252279E-5/0.8887380402029103/","2/","no"
"3","103230100","462/50/2364241/","3.100610074457176E-4/0.9996899389925543/0.0/","1/","no"
"4","94398100","109/6153/462/","0.9611749546126742/1.319151668438596E-24/0.038825045387325785/","0/","no"
"5","95560800","6283/434/883/","1.0669723504188076E-6/0.7373382861192939/0.2626606469083557/","1/","no"
"0","92638600","50/168/2359/","0.910007416671779/0.08999258332822105/1.979589552783712E-20/","0/","no"
"1","91742800","569/50/50724/","3.805383680766975E-5/0.9999619461631923/0.0/","1/","no"
"2","94613100","137249/2737/434/","2.539351052028266E-137/0.004995285669741026/0.9950047143302589/","2/","no"
"3","92844800","462/50/2364241/","3.100610074457176E-4/0.9996899389925543/0.0/","1/","no"
"4","90809200","5996/5996/250/","1.14273058781094E-10/1.14273058781094E-10/0.9999999997714539/","2/","no"
"5","92685600","83/26318/779/","0.9997479709870918/2.2930711095739896E-136/2.520290129081824E-4/","0/","no"
"0","94647200","434/5996/194/","0.22604682071329246/9.263678805456915E-14/0.7739531792866149/","2/","no"
"1","93027600","434/50/326/","5.343817363570949E-4/0.9950240735451802/0.004441544718462793/","1/","no"
"2","93259400","891/4824/50/","6.892849683844145E-8/2.2214177242249765E-41/0.9999999310715031/","2/","no"
"3","93269200","462/50/2364241/","3.100610074457176E-4/0.9996899389925543/0.0/","1/","no"
"4","93843400","2439/711/943/","0.04878090349331719/0.5524181107387023/0.3988009857679806/","1/","no"
"5","93081400","229/1155/1183/","0.9674522532813686/0.017263235360451185/0.015284511358180125/","0/","no"
"0","93427500","583/258/50724/","0.22186580923093302/0.778134190769067/1.8579166273027993E-85/","1/","no"
"1","91685300","1867/50/810/","3.3666230178517306E-16/0.9999996625880067/3.374119931328453E-7/","1/","no"
"2","94677000","156/542/50/","0.11120453369273729/5.742610435252279E-5/0.8887380402029103/","2/","no"
"3","93341000","133/5996/583/","0.9663726224854892/9.619234955046039E-20/0.03362737751451077/","0/","no"
"4","95352400","2067/17994/434/","0.02288722929660606/2.8735907317996205E-18/0.9771127707033939/","2/","no"
"5","94515000","1460/8207/107/","3.624546422439176E-6/2.6786272529640806E-33/0.9999963754535776/","2/","no"
"0","94345200","229/434/1135/","0.6995034097230293/0.2868806629590565/0.013615927317914145/","0/","no"
"1","93143000","17994/50/2674/","1.5720523157415056E-153/1.0/4.519840685744167E-23/","1/","no"
"2","95143800","2136/3115/50/","1.7238684937059027E-18/7.938769553307526E-27/1.0/","2/","no"
"3","92312600","542/50/50724/","6.461115805542396E-5/0.9999353888419446/0.0/","1/","no"
"4","96499800","434/50/326/","5.343817363570949E-4/0.9950240735451802/0.004441544718462793/","1/","no"
"5","94470600","3194/119/536/","7.210432460658438E-12/0.969968011603718/0.030031988389071618/","1/","no"
"0","94590300","122/128/2743/","0.5121927041528215/0.4878072955620262/2.8515237229805214E-10/","0/1/","no"
"1","93459600","61/50/93/","0.3604039732284768/0.4471579217292011/0.19243810504232203/","0/1/","no"
"2","91802500","2136/200/434/","4.9995389240959836E-5/0.7620531493314318/0.23789685527932736/","1/","no"
"3","94524600","17994/50/2674/","1.5720523157415056E-153/1.0/4.519840685744167E-23/","1/","no"
"4","92273400","97/7453/702/","0.9979203407327637/2.514318403373937E-33/0.002079659267236391/","0/","no"
"5","91880300","1115/222/383/","0.012123250517608606/0.6648819088024589/0.3229948406799324/","1/","no"
"0","96615000","50/150/6966/","0.8766178081047592/0.12338219189524073/1.1196242894292545E-59/","0/","no"
"1","92251000","186/50/200/","0.061912371691154065/0.8910376586308227/0.047049969678023114/","1/","no"
"2","91778000","2737/137249/60/","8.727299254487754E-20/0.0/1.0/","2/","no"
"3","93629600","93/50/415/","0.3007105765899011/0.6987447545295544/5.446688805445106E-4/","1/","no"
"4","92880900","542/111/1798/","0.02087280232052531/0.9791269163091084/2.8137036623867063E-7/","1/","no"
"5","95133100","3030195/28393/143/","0.0/6.3076453289927606E-86/1.0/","2/","no"
"0","92950200","434/111/2067/","0.05295377216162141/0.9470462031934109/2.4644967580217482E-8/","1/","no"
"1","91628700","1867/50/810/","3.3666230178517306E-16/0.9999996625880067/3.374119931328453E-7/","1/","no"
"2","92160700","3292/273/507/","1.1502751006166919E-5/0.7014005493247588/0.29858794792423493/","1/","no"
"3","94301700","61/50/93/","0.3604039732284768/0.4471579217292011/0.19243810504232203/","0/1/","no"
"4","94235600","109/6153/462/","0.9611749546126742/1.319151668438596E-24/0.038825045387325785/","0/","no"
"5","95547500","1336/445/383/","0.0432128142422519/0.43985695740203723/0.5169302283557109/","1/2/","no"
"0","91895800","1975/434/53592/","0.02812608242443603/0.971873917575564/8.238077254069748E-54/","1/","no"
"1","94605500","182/128/631/","0.3920603573409538/0.5958687662173067/0.012070876441739637/","1/","no"
"2","93620100","588/2192/93/","0.0051379115106424565/1.995535708250101E-10/0.994862088289804/","2/","no"
"3","91078600","462/50/2364241/","3.100610074457176E-4/0.9996899389925543/0.0/","1/","no"
"4","94033300","434/50/2737/","5.367658056863927E-4/0.9994632341943136/1.3134348375674421E-23/","1/","no"
"5","96545900","251/109/157/","0.14313530777124767/0.5204529457684919/0.33641174646026034/","1/","no"
"0","96752100","152/19311/553/","0.9321955657649016/3.8564429406559765E-55/0.06780443423509834/","0/","yes"
"1","96232500","434/50/930399/","5.367658056863927E-4/0.9994632341943136/0.0/","1/","yes"
"2","103942500","2067/19676/434/","0.02288722929660606/6.013854514579006E-20/0.9771127707033939/","2/","yes"
"3","95646300","50/64/369719/","0.5681997184824406/0.43180028151755934/0.0/","0/","yes"
"4","96980000","17994/171/150/883/","2.5397195197306303E-52/0.46335647196543384/0.5324928782871748/0.004150649747391383/","1/2/","yes"
"5","107369700","2463/315/109/311/2165/","3.870796313699498E-10/0.1170542295688547/0.7615566793321155/0.12138908489971015/5.81224016887631E-9/","2/","yes"
