"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","102386100","50/975/975/137/6039/975/137/","0.7335550641695852/9.73919359602888E-9/9.73919359602888E-9/0.13322245330641688/7.33897856526072E-52/9.73919359602888E-9/0.13322245330641688/","0/","no"
"1","104141400","6483/50/1645/6483/1645/6483/266/","1.6332198447585997E-55/0.9857309996017223/2.578762716140497E-14/1.6332198447585997E-55/2.578762716140497E-14/1.6332198447585997E-55/0.014269000398226053/","1/","no"
"2","107658500","2502/205/54/840/205/840/2502/","4.1444715498079176E-20/0.0569096585172845/0.8861795812009302/5.50882250414069E-7/0.0569096585172845/5.50882250414069E-7/4.1444715498079176E-20/","2/","no"
"3","101906400","236/395/1832/68/395/209/236/","0.06626073750856795/0.006614404039694823/5.968099778458106E-12/0.7562561458305997/0.006614404039694823/0.09799357106690659/0.06626073750856795/","3/","no"
"4","103345600","586/102/102/716/93/716/716/","0.0018663537653494106/0.32147598351338363/0.32147598351338363/4.6813804711718797E-4/0.353777265066532/4.6813804711718797E-4/4.6813804711718797E-4/","1/2/4/","no"
"5","103841100","395/395/2041/242/395/50/395/","0.0011225904817080236/0.0011225904817080236/1.0803882234413216E-17/0.022547832569965544/0.0011225904817080236/0.9729618055032023/0.0011225904817080236/","5/","no"
"6","101698300","202/2041/395/202/395/395/50/","0.04594804367338025/1.0048909672061208E-17/0.0010441441423220306/0.04594804367338025/0.0010441441423220306/0.0010441441423220306/0.9049714802262734/","6/","no"
"7","101122600","265/6483/6483/6483/265/1651/6483/","0.4986390146333879/3.5135373102956107E-11/3.5135373102956107E-11/3.5135373102956107E-11/0.4986390146333879/0.0027219705926825027/3.5135373102956107E-11/","0/4/","no"
"8","106358400","216/395/1953/50/395/228/216/","0.0347617909929672/0.001039474089459075/5.61749927554551E-17/0.9009238928474608/0.001039474089459075/0.02747357698768669/0.0347617909929672/","3/","no"
"9","102859400","202/395/2041/50/395/242/202/","0.04505027938209657/0.0010237429402035426/9.852567204598589E-18/0.8872895287300888/0.0010237429402035426/0.02056242662531096/0.04505027938209657/","3/","no"
"0","105123700","50/975/975/114/6400/975/114/","0.6368584491104896/8.455381241454912E-9/8.455381241454912E-9/0.1815707627616833/5.371828375089884E-55/8.455381241454912E-9/0.1815707627616833/","0/","no"
"1","112025200","975/50/177/975/177/975/657/","1.138854846093065E-8/0.8577843036678907/0.07110492443680014/1.138854846093065E-8/0.07110492443680014/1.138854846093065E-8/5.8132928634445525E-6/","1/","no"
"2","106197700","6483/1557/50/280/1557/280/6483/","1.6211933495657134E-55/1.4373827166789732E-13/0.978472399869277/0.010763800065217773/1.4373827166789732E-13/0.010763800065217773/1.6211933495657134E-55/","2/","no"
"3","103066200","241/395/1798/60/395/203/241/","0.042621608707948185/0.003413612816414596/3.503008383128137E-13/0.8284649131235383/0.003413612816414596/0.07946464382738588/0.042621608707948185/","3/","no"
"4","107741900","449/156/156/716/128/716/716/","0.030483499181930062/0.2954511045275832/0.2954511045275832/0.003847478831861703/0.3670718552673181/0.003847478831861703/0.003847478831861703/","1/2/4/","no"
"5","100734800","395/395/1941/226/395/50/395/","0.0011133395294648785/0.0011133395294648785/7.612791277918723E-17/0.030602740809607742/0.0011133395294648785/0.9649439010725327/0.0011133395294648785/","5/","no"
"6","102171800","232/1855/395/232/395/395/50/","0.02660236312612919/4.0191757662103464E-16/0.0010886317361781723/0.02660236312612919/0.0010886317361781723/0.0010886317361781723/0.9435293785392067/","6/","no"
"7","105158900","778/16776/16776/16776/778/229/16776/","0.07763776567293142/4.809051818444507E-32/4.809051818444507E-32/4.809051818444507E-32/0.07763776567293142/0.8447244686541371/4.809051818444507E-32/","5/","no"
"8","102832300","193/395/2097/50/395/251/193/","0.052999628743684336/0.0010095458688810979/3.2405010738473136E-18/0.8749847672237141/0.0010095458688810979/0.01699688355115495/0.052999628743684336/","3/","no"
"9","110781000","249/395/1746/68/395/195/249/","0.05492152186778334/0.0066191255042027265/2.0770193500263097E-11/0.7567959732330376/0.0066191255042027265/0.12012273200222001/0.05492152186778334/","3/","no"
"0","102732700","68/975/975/123/6259/975/123/","0.5259635658787271/1.0284570677966355E-6/1.0284570677966355E-6/0.23701667437503474/5.6759769797283185E-40/1.0284570677966355E-6/0.23701667437503474/","0/","no"
"1","103817600","975/93/181/975/181/975/648/","4.708068498458115E-5/0.5595239182027045/0.21940428173730137/4.708068498458115E-5/0.21940428173730137/4.708068498458115E-5/0.0015262762677391043/","1/","no"
"2","103548100","975/205/158/587/205/587/975/","0.0022270310136801048/0.2824316600490496/0.37956812538922885/0.025557246242655818/0.2824316600490496/0.025557246242655818/0.0022270310136801048/","2/","no"
"3","108727000","236/395/1832/68/395/209/236/","0.06626073750856795/0.006614404039694823/5.968099778458106E-12/0.7562561458305997/0.006614404039694823/0.09799357106690659/0.06626073750856795/","3/","no"
"4","101875700","489/140/140/716/50/716/716/","1.3604860437305163E-4/0.12753542675495402/0.12753542675495402/1.587295801965712E-6/0.744788335998313/1.587295801965712E-6/1.587295801965712E-6/","4/","no"
"5","102019100","395/395/1920/223/395/50/395/","0.0011112790394919015/0.0011112790394919015/1.1470082885299178E-16/0.032396832620354254/0.0011112790394919015/0.963158051221678/0.0011112790394919015/","5/","no"
"6","103161100","260/1678/395/260/395/395/79/","0.08222317600769669/1.6486351550480338E-9/0.015209758202728407/0.08222317600769669/0.015209758202728407/0.015209758202728407/0.7899243717277862/","6/","no"
"7","101397500","2050/2502/2502/2502/2050/122/2502/","1.5578373971830558E-7/3.9498279209380816E-9/3.9498279209380816E-9/3.9498279209380816E-9/1.5578373971830558E-7/0.9999996726332089/3.9498279209380816E-9/","5/","no"
"8","103905600","216/395/1953/50/395/228/216/","0.0347617909929672/0.001039474089459075/5.61749927554551E-17/0.9009238928474608/0.001039474089459075/0.02747357698768669/0.0347617909929672/","3/","no"
"9","106937000","202/395/2041/50/395/242/202/","0.04505027938209657/0.0010237429402035426/9.852567204598589E-18/0.8872895287300888/0.0010237429402035426/0.02056242662531096/0.04505027938209657/","3/","no"
"0","103358100","60/975/975/65/278324/975/65/","0.351789964831246/1.0761336657113383E-7/1.0761336657113383E-7/0.32410485616432716/0.0/1.0761336657113383E-7/0.32410485616432716/","0/3/6/","no"
"1","102560000","975/50/249/975/249/975/476/","1.2758207296506931E-8/0.960946866883727/0.019413298748602856/1.2758207296506931E-8/0.019413298748602856/1.2758207296506931E-8/2.2649734444513884E-4/","1/","no"
"2","107410100","16776/293/109/619/293/619/16776/","1.1270957805256076E-66/0.134590644039883/0.7169206594209367/0.0069490262496486295/0.134590644039883/0.0069490262496486295/1.1270957805256076E-66/","2/","no"
"3","102691300","210/395/1989/50/395/234/210/","0.03888276759693632/0.001033654085226759/2.7576793776305794E-17/0.8958796296738637/0.001033654085226759/0.0242875269618102/0.03888276759693632/","3/","no"
"4","103383400","459/231/231/12393/93/12393/12393/","0.013754287093534706/0.15553681858069035/0.15553681858069035/1.0035049051710591E-57/0.6751720757450845/1.0035049051710591E-57/1.0035049051710591E-57/","4/","no"
"5","107512600","395/395/2112/254/395/50/395/","0.0011279226406686036/0.0011279226406686036/2.6979367062424686E-18/0.017905061748347308/0.0011279226406686036/0.9775832476889782/0.0011279226406686036/","5/","no"
"6","101634200","241/1798/395/241/395/395/50/","0.02249232179653452/1.2395933083771188E-15/0.0010980832439168818/0.02249232179653452/0.0010980832439168818/0.0010980832439168818/0.9517211066751791/","6/","no"
"7","106381600","317/2502/2502/2502/317/559/2502/","0.4046378742868521/4.197581139291696E-4/4.197581139291696E-4/4.197581139291696E-4/0.4046378742868521/0.1890452189705792/4.197581139291696E-4/","0/4/","no"
"8","103284000","216/395/1953/50/395/228/216/","0.0347617909929672/0.001039474089459075/5.61749927554551E-17/0.9009238928474608/0.001039474089459075/0.02747357698768669/0.0347617909929672/","3/","no"
"9","103248600","191/395/2112/50/395/254/191/","0.05493976960469491/0.0010062569807098463/2.4069182994327867E-18/0.8721342508285186/0.0010062569807098463/0.015973696000671864/0.05493976960469491/","3/","no"
"0","103095100","181/975/975/82/107116/975/82/","0.13170692151814278/9.226404072228962E-6/9.226404072228962E-6/0.4341326996348202/0.0/9.226404072228962E-6/0.4341326996348202/","3/6/","no"
"1","101637500","2502/50/183/2502/183/2502/894/","1.148398836701313E-21/0.871545746224223/0.06422709856664655/1.148398836701313E-21/0.06422709856664655/1.148398836701313E-21/5.664248404033719E-8/","1/","no"
"2","102596200","2502/238/50/756/238/756/2502/","1.254753783096946E-21/0.023868618278981974/0.9522609108157103/9.263131628418694E-7/0.023868618278981974/9.263131628418694E-7/1.254753783096946E-21/","2/","no"
"3","102286100","207/395/2009/50/395/237/207/","0.04110196824199178/0.0010302294038747983/1.8569103010216175E-17/0.892911419800565/0.0010302294038747983/0.0228241849077018/0.04110196824199178/","3/","no"
"4","103659900","489/140/140/716/50/716/716/","1.3604860437305163E-4/0.12753542675495402/0.12753542675495402/1.587295801965712E-6/0.744788335998313/1.587295801965712E-6/1.587295801965712E-6/","4/","no"
"5","100939900","395/395/1832/209/395/68/395/","0.007510331515801375/0.007510331515801375/6.776484712244635E-12/0.11126689580996121/0.007510331515801375/0.8586917781200568/0.007510331515801375/","5/","no"
"6","102742900","235/1834/395/235/395/395/50/","0.025159122864289906/6.085358264479692E-16/0.0010919506313935002/0.025159122864289906/0.0010919506313935002/0.0010919506313935002/0.9464059023772391/","6/","no"
"7","102604300","866/975/975/975/41803/93/975/","2.681379558272957E-4/8.409332050104974E-5/8.409332050104974E-5/8.409332050104974E-5/1.9638640734573447E-193/0.9993954887621684/8.409332050104974E-5/","5/","no"
"8","100856300","199/395/2061/50/395/246/199/","0.04759379659233602/0.0010197578265466246/6.6304647673446725E-18/0.8838355858702928/0.0010197578265466246/0.01893730529194193/0.04759379659233602/","3/","no"
"9","107032000","241/395/1798/60/395/203/241/","0.042621608707948185/0.003413612816414596/3.503008383128137E-13/0.8284649131235383/0.003413612816414596/0.07946464382738588/0.042621608707948185/","3/","no"
"0","102211900","60/975/975/65/278324/975/65/","0.351789964831246/1.0761336657113383E-7/1.0761336657113383E-7/0.32410485616432716/0.0/1.0761336657113383E-7/0.32410485616432716/","0/3/6/","no"
"1","106665600","2502/50/227/2502/227/2502/784/","1.2405008509338277E-21/0.9414440395328468/0.02927771579171465/1.2405008509338277E-21/0.02927771579171465/1.2405008509338277E-21/5.288837238359766E-7/","1/","no"
"2","101904400","975/199/54/602/199/602/975/","4.670542550427267E-8/0.06264229487049461/0.874632959274698/4.117878673090812E-5/0.06264229487049461/4.117878673090812E-5/4.670542550427267E-8/","2/","no"
"3","103219000","249/395/1746/68/395/195/249/","0.05492152186778334/0.0066191255042027265/2.0770193500263097E-11/0.7567959732330376/0.0066191255042027265/0.12012273200222001/0.05492152186778334/","3/","no"
"4","101803300","216/497/497/4773/128/4773/4773/","0.3120479469292104/0.035334586733848775/0.035334586733848775/1.420745403080383E-16/0.6172828796030915/1.420745403080383E-16/1.420745403080383E-16/","4/","no"
"5","103754000","395/395/1746/195/395/68/395/","0.007326943347623552/0.007326943347623552/2.2991259343697392E-11/0.13296808643123692/0.007326943347623552/0.8377241401552775/0.007326943347623552/","5/","no"
"6","105192700","241/1798/395/241/395/395/50/","0.02249232179653452/1.2395933083771188E-15/0.0010980832439168818/0.02249232179653452/0.0010980832439168818/0.0010980832439168818/0.9517211066751791/","6/","no"
"7","104159400","355/2502/2502/2502/355/463/2502/","0.3639091478979114/8.74594758008617E-4/8.74594758008617E-4/8.74594758008617E-4/0.3639091478979114/0.2686833251721428/8.74594758008617E-4/","0/4/","no"
"8","103768200","235/395/1834/50/395/209/235/","0.024172937112235074/0.0010491484176423991/5.846824765162152E-16/0.9093087419706745/0.0010491484176423991/0.04024708696956996/0.024172937112235074/","3/","no"
"9","103109300","199/395/2061/50/395/246/199/","0.04759379659233602/0.0010197578265466246/6.6304647673446725E-18/0.8838355858702928/0.0010197578265466246/0.01893730529194193/0.04759379659233602/","3/","no"
