"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","113492400","50/153196043/1517427/1923/153196043/403/1923/153196043/24409196/","0.9990146901749106/0.0/0.0/1.121744986226678E-16/0.0/9.85309825089085E-4/1.121744986226678E-16/0.0/0.0/","0/","no"
"1","114948000","478056859/50/16768/6052/128/478056859/6544/50/17698/","0.0/0.45112854975811556/1.9537366742925095E-143/3.497846098100358E-52/0.09774290048376891/0.0/2.2601449015585776E-56/0.45112854975811556/2.3516810396722275E-151/","1/7/","no"
"2","115426800","151/101165/2111/15809/101165/5922/15809/101165/272/","0.6891282755883816/1.6635844019633397E-289/1.7305614043160004E-6/1.2596620127984893E-45/1.6635844019633397E-289/2.2356085411285985E-17/1.2596620127984893E-45/1.6635844019633397E-289/0.3108699938502141/","0/","no"
"3","117538600","2421/32368/12063026/268/12063026/6259/2267/12063026/76233608/","3.3390844432370874E-4/1.495773654841626E-52/0.0/0.9990741795990824/0.0/2.1245270566281308E-10/5.919117441411435E-4/0.0/0.0/","3/","no"
"4","126650600","478056859/128/15536/6544/50/478056859/6052/128/17698/","0.0/0.15116104425161364/9.362953795176026E-133/3.4953522126784894E-56/0.6976779114967727/0.0/5.409477989739869E-52/0.15116104425161364/3.6369143942337316E-151/","4/","no"
"5","115312900","10169/153196043/572115/4838/153196043/50/89886/153196043/571505/","6.774315880367009E-87/0.0/0.0/1.6881544175473168E-41/0.0/1.0/0.0/0.0/0.0/","5/","no"
"6","116027900","2421/1864415/4713220/900/40600/115097/50/12063026/76233608/","6.45006892415509E-21/0.0/0.0/5.7777481855953726E-8/0.0/0.0/0.9999999422225182/0.0/0.0/","6/","no"
"7","114926000","478056859/50/16768/6052/128/478056859/6544/50/17698/","0.0/0.45112854975811556/1.9537366742925095E-143/3.497846098100358E-52/0.09774290048376891/0.0/2.2601449015585776E-56/0.45112854975811556/2.3516810396722275E-151/","1/7/","no"
"8","110469800","22942/373066/58686/373066/373066/22942/3410/373066/50/","1.1518254547264252E-195/0.0/0.0/0.0/0.0/1.1518254547264252E-195/2.4415052519926676E-29/0.0/1.0/","8/","no"
"9","121726800","263/3115/520/17994/5951414/56884/252/5951414/521/","0.361370978467176/4.594836063900643E-6/0.13085564841897845/1.3221824243782901E-31/0.0/2.3095898021920862E-98/0.3774293250398457/0.0/0.13033945323793603/","0/6/","no"
"10","116302000","5514/377/92753/601256/1517427/5514/601256/1517427/92753/","1.2530254186775637E-6/0.9999974939491625/7.356983979461489E-107/0.0/0.0/1.2530254186775637E-6/0.0/0.0/7.356983979461489E-107/","1/","no"
"11","133544300","1774/492/36267/153196043/590038/232770/153196043/590038/36228/","0.06911231606303776/0.9308876839369623/2.8439200669588944E-32/0.0/0.0/2.2393767647083812E-205/0.0/0.0/3.078033474506309E-32/","1/","no"
"0","116998300","50/153196043/1517427/1923/153196043/403/1923/153196043/24409196/","0.9990146901749106/0.0/0.0/1.121744986226678E-16/0.0/9.85309825089085E-4/1.121744986226678E-16/0.0/0.0/","0/","no"
"1","114190400","478056859/50/16768/6052/128/478056859/6544/50/17698/","0.0/0.45112854975811556/1.9537366742925095E-143/3.497846098100358E-52/0.09774290048376891/0.0/2.2601449015585776E-56/0.45112854975811556/2.3516810396722275E-151/","1/7/","no"
"2","119216400","2351/151/54/2351/15809/234/5961/15809/234/","5.8389929902546E-19/0.13744129230705648/0.8017791729698485/5.8389929902546E-19/3.1508400986245055E-125/0.03038976736154749/1.8231710429214983E-47/3.1508400986245055E-125/0.03038976736154749/","2/","no"
"3","120525000","743/32368/12063026/50/12063026/6259/681/12063026/76233608/","1.2551684359271329E-6/6.216491426007133E-276/0.0/0.9999945116407003/0.0/1.3389776849279244E-53/4.233190863683258E-6/0.0/0.0/","3/","no"
"4","116091600","478056859/128/15536/6544/50/478056859/6052/128/17698/","0.0/0.15116104425161364/9.362953795176026E-133/3.4953522126784894E-56/0.6976779114967727/0.0/5.409477989739869E-52/0.15116104425161364/3.6369143942337316E-151/","4/","no"
"5","114443800","10169/153196043/1931/4838/153196043/596/89886/153196043/1929/","8.942668642166085E-8/0.0/0.08796188189742757/6.754047262921759E-4/0.0/0.8231055682283652/9.12900047212861E-66/0.0/0.08825705572122855/","5/","no"
"6","116441100","743/1864415/4713220/2267/40600/972/687/12063026/76233608/","0.34354591588794575/0.0/0.0/0.037494883901164795/2.3799794799773586E-26/0.24628069849644144/0.3726785017144481/0.0/0.0/","0/6/","no"
"7","116555000","478056859/50/16768/6052/128/478056859/6544/50/17698/","0.0/0.45112854975811556/1.9537366742925095E-143/3.497846098100358E-52/0.09774290048376891/0.0/2.2601449015585776E-56/0.45112854975811556/2.3516810396722275E-151/","1/7/","no"
"8","111452000","148646/373066/3410/373066/373066/3395/58686/373066/93/","0.0/0.0/4.730956705409777E-16/0.0/0.0/5.549467146095795E-16/1.9557484662247143E-271/0.0/0.999999999999999/","8/","no"
"9","116689400","263/3115/520/17994/5951414/56884/252/5951414/521/","0.361370978467176/4.594836063900643E-6/0.13085564841897845/1.3221824243782901E-31/0.0/2.3095898021920862E-98/0.3774293250398457/0.0/0.13033945323793603/","0/6/","no"
"10","128818900","5514/380/92753/601256/1522442/5514/601256/1522442/92753/","1.4055688974154973E-6/0.9999971888622051/5.079425418451481E-106/0.0/0.0/1.4055688974154973E-6/0.0/0.0/5.079425418451481E-106/","1/","no"
"11","115641300","1774/492/36267/153196043/590038/232770/153196043/590038/36228/","0.06911231606303776/0.9308876839369623/2.8439200669588944E-32/0.0/0.0/2.2393767647083812E-205/0.0/0.0/3.078033474506309E-32/","1/","no"
"0","121096300","50/153196043/1517427/580/153196043/8989/580/153196043/24409196/","0.9999386595476306/0.0/0.0/3.067022618470003E-5/0.0/7.57218007141203E-77/3.067022618470003E-5/0.0/0.0/","0/","no"
"1","118238900","478056859/50/16768/6052/128/478056859/6544/50/17698/","0.0/0.45112854975811556/1.9537366742925095E-143/3.497846098100358E-52/0.09774290048376891/0.0/2.2601449015585776E-56/0.45112854975811556/2.3516810396722275E-151/","1/7/","no"
"2","107418700","6128/356/209/6128/101165/697/146/101165/209/","8.27184081353135E-19/0.09339162826803746/0.2538647660512083/8.27184081353135E-19/1.3860791837505185E-299/0.00918042791110835/0.38969841171843767/1.3860791837505185E-299/0.2538647660512083/","6/","no"
