"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101738300","50/80868/293/","0.9915466726150103/0.0/0.008453327384989776/","0/","no"
"1","96934900","1104/50/3395/","1.0582315535961399E-9/0.9999999989417685/3.2763578755702513E-29/","1/","no"
"2","96618400","2899/112/50/","4.230029294584342E-25/0.2286964769263984/0.7713035230736016/","2/","no"
"3","96215600","1746/4757/4533/","0.7239649896823731/0.12918131882755707/0.14685369149007002/","0/","no"
"4","97094000","219/1317511/11076/","1.0/0.0/3.6945990827292343E-22/","0/","no"
"5","93600600","4246/1317511/4246/","0.5/2.5447610294714062E-135/0.5/","0/2/","no"
"0","94987600","50/1317511/1377/","0.99999999999499/0.0/5.009886563308684E-12/","0/","no"
"1","92059100","430/50/214/","5.581503012644731E-4/0.9608837139472058/0.03855813575152969/","1/","no"
"2","95982700","54/58686/107/","0.7238492746709875/0.0/0.2761507253290125/","0/","no"
"3","91203900","1538/4757/4011/","0.7552882095286497/0.09326841110498926/0.151443379366361/","0/","no"
"4","91650200","109/83/22425/","0.42323097581505653/0.5767690241849434/1.774230688055708E-116/","1/","no"
"5","94865000","50/1317511/1377/","0.99999999999499/0.0/5.009886563308684E-12/","0/","no"
"0","102401400","50/1317511/155/","0.8868361556633126/0.0/0.11316384433668741/","0/","no"
"1","92414200","1125/50/214/","6.740108213772128E-10/0.9614203303465846/0.03857966897940464/","1/","no"
"2","90766800","941/58686/941/","0.5/1.1927072244761615E-27/0.5/","0/2/","no"
"3","92513700","4549/1830/1740/","0.09270253701138684/0.4419257860391537/0.46537167694945936/","1/2/","no"
"4","96204200","219/1317511/11076/","1.0/0.0/3.6945990827292343E-22/","0/","no"
"5","89261600","4246/1317511/4246/","0.5/2.5447610294714062E-135/0.5/","0/2/","no"
"0","96580600","50/1317511/155/","0.8868361556633126/0.0/0.11316384433668741/","0/","no"
"1","93576600","182/50/509/","0.06989140314953418/0.9299938264945363/1.1477035592951216E-4/","1/","no"
"2","99484000","51/148646/107/","0.745911262710304/0.0/0.254088737289696/","0/","no"
"3","91851800","1538/4757/4011/","0.7552882095286497/0.09326841110498926/0.151443379366361/","0/","no"
"4","94499800","200/1317511/3787/","0.9999999822303015/0.0/1.7769698494197425E-8/","0/","no"
"5","93810100","50/1317511/155/","0.8868361556633126/0.0/0.11316384433668741/","0/","no"
"0","96445200","82/1317511/11076/","1.0/0.0/2.980538736843341E-58/","0/","no"
"1","92771300","2899/50/509/","5.483583576876164E-25/0.9998766054240138/1.2339457598623172E-4/","1/","no"
"2","95297700","54/58686/181/","0.9096271507600855/0.0/0.09037284923991452/","0/","no"
"3","98089500","1746/4757/4533/","0.7239649896823731/0.12918131882755707/0.14685369149007002/","0/","no"
"4","99161700","140/22523/82/","0.332079405883098/2.5293466133683555E-118/0.6679205941169021/","2/","no"
"5","92932900","50/1317511/11076/","1.0/0.0/1.280077099456257E-94/","0/","no"
"0","96070600","50/1317511/1377/","0.99999999999499/0.0/5.009886563308684E-12/","0/","no"
"1","92993800","1125/50/214/","6.740108213772128E-10/0.9614203303465846/0.03857966897940464/","1/","no"
"2","96985000","2951/58686/246/","1.7532845735320373E-5/1.7630702720606367E-103/0.9999824671542648/","2/","no"
"3","95150800","1538/4690/4011/","0.7521666431103051/0.09701588503962581/0.15081747185006905/","0/","no"
"4","90622900","109/22523/142/","0.5744425168116589/1.8442665569815925E-89/0.425557483188341/","0/","no"
"5","93350100","4246/1317511/4246/","0.5/2.5447610294714062E-135/0.5/","0/2/","no"
"0","97551100","50/80868/12354/","1.0/0.0/1.6762058280030353E-105/","0/","no"
"1","93073400","716/3854/31465/","0.9875875976574244/0.012412402342575611/2.3419691642491597E-19/","0/","no"
"2","95377400","257/58686/79/","0.09752783704079253/6.2622E-319/0.9024721629592075/","2/","no"
"3","93707100","1746/4757/4533/","0.7239649896823731/0.12918131882755707/0.14685369149007002/","0/","no"
"4","94255200","140/373066/155/","0.5265706902823603/0.0/0.4734293097176397/","0/2/","no"
"5","94753500","678/1317511/678/","0.5/0.0/0.5/","0/2/","no"
"0","95244400","50/80868/155/","0.8868361556633126/0.0/0.11316384433668741/","0/","no"
"1","96792300","430/50/214/","5.581503012644731E-4/0.9608837139472058/0.03855813575152969/","1/","no"
"2","88950400","51/148646/50/","0.4950981962633707/0.0/0.5049018037366292/","0/2/","no"
"3","92631500","430/246/1302/","0.3189174403893166/0.6717401156011994/0.00934244400948389/","1/","no"
"4","92046400","109/143/474/","0.5648655907258517/0.4146757548509623/0.020458654423185955/","0/","no"
"5","93608300","302/1317511/384/","0.5672468414642741/0.0/0.432753158535726/","0/","no"
"0","96813500","1173/1317511/80624/","1.0/0.0/4.063661059178121E-30/","0/","no"
"1","95569500","322/50/214/","0.00462024354615055/0.9569783349151767/0.03840142153867289/","1/","no"
"2","91420200","365/58686/365/","0.5/3.129317073933699E-70/0.5/","0/2/","no"
"3","93652000","920/82/22425/","4.1226604503919145E-5/0.9999587733954961/1.2332384166056809E-117/","1/","no"
"4","93383400","246/22523/328/","0.5822419888846003/3.944219895987358E-40/0.41775801111539973/","0/","no"
"5","96157500","50/1317511/11076/","1.0/0.0/1.280077099456257E-94/","0/","no"
"0","97658200","50/1317511/155/","0.8868361556633126/0.0/0.11316384433668741/","0/","yes"
"1","94226100","2899/50/1302/","5.484260304731511E-25/0.999999999978198/2.1801995625591433E-11/","1/","yes"
"2","101759400","156/4773/30484/","0.9999999999998307/1.692087369752601E-13/1.2778427303727032E-84/","0/","yes"
"3","99212300","1538/4757/1531/","0.47016955656060944/0.05750767709347232/0.4723227663459182/","0/2/","yes"
"4","104086200","200/8321/148646/201/","0.5012437785290422/1.423165885658661E-18/9.04E-322/0.4987562214709579/","0/3/","yes"
"5","106320100","80624/459/11076/459/409/","3.884486973601972E-86/0.3195195455476907/1.812962654984618E-12/0.3195195455476907/0.36096090890280547/","1/3/4/","yes"
