"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","104699000","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/","no"
"1","101001900","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/","no"
"2","105311200","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","101662800","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/","no"
"4","96283100","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","99534200","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/","no"
"0","99791000","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/","no"
"1","99080500","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/","no"
"2","97276400","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","97154000","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/","no"
"4","97517600","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","100846100","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/","no"
"0","100368300","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/","no"
"1","99582900","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/","no"
"2","99259600","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","99033800","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/","no"
"4","99920500","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","97883600","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/","no"
"0","102846100","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/","no"
"1","98923100","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/","no"
"2","97121300","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","97659700","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/","no"
"4","99071100","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","98828500","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/","no"
"0","97594200","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/","no"
"1","99893400","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/","no"
"2","105135100","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","99525400","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/","no"
"4","100984900","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","100025000","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/","no"
"0","98268000","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/","no"
"1","99061000","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/","no"
"2","97344200","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","98472800","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/","no"
"4","100218000","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","102036300","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/","no"
"0","97784200","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/","no"
"1","97926200","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/","no"
"2","100013400","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","99019900","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/","no"
