"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","96336500","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"1","97332000","691/50/5922/","3.4794687619070422E-6/0.999996520531238/9.920282128454289E-51/","1/","no"
"2","99783900","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","91190400","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"4","88298000","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"5","91037600","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"0","91416600","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"1","88871500","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"2","90414200","5922/691/691/","2.60565487993874E-4/0.4998697172560031/0.4998697172560031/","1/2/","no"
"3","90837800","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"4","88505500","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"5","89795400","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"0","91211000","50/2111/2111/","1.0/2.8144503022469383E-18/2.8144503022469383E-18/","0/","no"
"1","90637000","2111/50/691/","2.8144405094550296E-18/0.999996520531238/3.4794687619070422E-6/","1/","no"
"2","91937100","2111/2111/691/","0.10221152604377126/0.10221152604377126/0.7955769479124575/","2/","no"
"3","90035400","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"4","89578800","140/2111/2111/","0.9999983011821353/8.494089323310916E-7/8.494089323310916E-7/","0/","no"
"5","88073900","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"0","87989400","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"1","91428300","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"2","91429200","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","88383200","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"4","89650100","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"5","90022800","2111/691/272/","9.756616999742152E-4/0.17711970969537605/0.8219046286046497/","2/","no"
"0","96519700","50/2111/79/","0.6384464063437728/1.796875681302703E-18/0.36155359365622713/","0/","no"
"1","89421900","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"2","89343600","2111/2111/691/","0.10221152604377126/0.10221152604377126/0.7955769479124575/","2/","no"
"3","90771300","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"4","91495500","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"5","88402900","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"0","90028800","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"1","89874600","2111/691/272/","9.756616999742152E-4/0.17711970969537605/0.8219046286046497/","2/","no"
"2","88477200","79/2111/50/","0.36155359365622713/1.796875681302703E-18/0.6384464063437728/","2/","no"
"3","91495500","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"4","89660300","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"5","94668800","5922/691/691/","2.60565487993874E-4/0.4998697172560031/0.4998697172560031/","1/2/","no"
"0","88465900","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"1","89645400","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"2","92102300","691/272/5922/","0.17729268723024227/0.8227073119242853/8.454725001275671E-10/","1/","no"
"3","89807800","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"4","90277700","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"5","89659200","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"0","89521900","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"1","91877900","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"2","90025200","2111/2111/691/","0.10221152604377126/0.10221152604377126/0.7955769479124575/","2/","no"
"3","87924400","50/691/5922/","0.999996520531238/3.4794687619070422E-6/9.920282128454289E-51/","0/","no"
"4","92040600","140/2111/2111/","0.9999983011821353/8.494089323310916E-7/8.494089323310916E-7/","0/","no"
"5","90166500","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"0","91283500","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"1","87086400","691/50/5922/","3.4794687619070422E-6/0.999996520531238/9.920282128454289E-51/","1/","no"
"2","91136200","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","88537700","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"4","87973800","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"5","90374300","50/691/5922/","0.999996520531238/3.4794687619070422E-6/9.920282128454289E-51/","0/","no"
"0","92743800","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","yes"
"1","96749100","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","yes"
"2","97013300","2111/272/691/","9.756616999742153E-4/0.8219046286046497/0.17711970969537608/","1/","yes"
"3","91785600","50/2111/2111/","1.0/2.8144503022469383E-18/2.8144503022469383E-18/","0/","yes"
"4","99657100","50/2111/2111/50/","0.5/1.4072251511234692E-18/1.4072251511234692E-18/0.5/","0/3/","yes"
"5","103455400","79/691/691/79/79/","0.33322757931149366/1.5863103275953907E-4/1.5863103275953907E-4/0.33322757931149366/0.33322757931149366/","0/3/4/","yes"
