"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101228000","14312/238/40009/4494307/278934/293/","1.485116983735169E-26/0.5572788237504261/2.998656829515734E-73/0.0/0.0/0.44272117624957386/","1/","no"
"1","111061400","975/50/965/712589/4494307/394/","1.3261100349924876E-8/0.998824720161113/1.6133750712612743E-8/0.0/0.0/0.0011752504440359797/","1/","no"
"2","100831900","15069/293/4824/110371/278934/110371/","1.4893926833692354E-22/0.9999997973052792/2.026947207357719E-7/2.475404876088317E-163/0.0/2.475404876088317E-163/","1/","no"
"3","101834400","14902303/936940/936940/50/370329/8412/","0.0/0.0/0.0/1.0/0.0/6.204919107116478E-72/","3/","no"
"4","99898300","936940/14902303/936940/941/50/20458/","0.0/0.0/0.0/2.5859488040401394E-8/0.999999974140512/1.6371278737118869E-174/","4/","no"
"5","99196600","43203/711063/711063/16569/4494307/50/","0.0/0.0/0.0/2.1437086172663736E-141/0.0/1.0/","5/","no"
"0","99837800","14479/252/40427/4494307/108163/293/","2.0462872951062024E-25/0.5404254019286899/5.877264533128373E-70/0.0/3.1259459115314284E-186/0.4595745980713101/","1/5/","no"
"1","103616600","975/50/965/712589/4494307/394/","1.3261100349924876E-8/0.998824720161113/1.6133750712612743E-8/0.0/0.0/0.0011752504440359797/","1/","no"
"2","101655500","15069/293/4824/110371/278934/110371/","1.4893926833692354E-22/0.9999997973052792/2.026947207357719E-7/2.475404876088317E-163/0.0/2.475404876088317E-163/","1/","no"
"3","100033800","14902303/936940/936940/50/2368056/8412/","0.0/0.0/0.0/1.0/0.0/6.204919107116478E-72/","3/","no"
"4","100279300","931925/14902303/931925/949/50/20458/","0.0/0.0/0.0/2.21052433148497E-8/0.9999999778947567/1.6371278798580656E-174/","4/","no"
"5","100171700","110615/711063/711063/6400/4494307/50/","0.0/0.0/0.0/8.434885935160007E-55/0.0/1.0/","5/","no"
"0","99626700","14312/256/41803/4494307/278934/276/","9.179996500752367E-25/0.5194454402651469/3.212564429340403E-71/0.0/0.0/0.48055455973485317/","1/5/","no"
"1","99143000","975/50/973/1793938/4494307/390/","1.325982892706224E-8/0.9987289567213178/1.3790152762544314E-8/0.0/0.0/0.0012710162287003922/","1/","no"
"2","100274800","15498/293/4824/43105/278934/43105/","3.461734836826322E-23/0.9999997973052792/2.026947207357719E-7/5.733912628355475E-64/0.0/5.733912628355475E-64/","1/","no"
"3","104397000","14902303/931925/931925/50/5951414/8361/","0.0/0.0/0.0/1.0/0.0/1.6866718855933043E-71/","3/","no"
"4","99155300","936940/14902303/936940/941/50/20458/","0.0/0.0/0.0/2.5859488040401394E-8/0.999999974140512/1.6371278737118869E-174/","4/","no"
"5","98646500","975/711063/711063/42687/4494307/150/","0.004220483542942767/0.0/0.0/4.53466072581096E-123/0.0/0.9957795164570572/","5/","no"
"0","100824700","14312/247/106872/4494307/711063/265/","1.2133710045240787E-25/0.5181371998340714/9.864733718884104E-188/0.0/0.0/0.4818628001659286/","1/5/","no"
"1","98961300","975/50/973/1793938/4494307/390/","1.325982892706224E-8/0.9987289567213178/1.3790152762544314E-8/0.0/0.0/0.0012710162287003922/","1/","no"
"2","100949900","15498/293/4824/43105/278934/43105/","3.461734836826322E-23/0.9999997973052792/2.026947207357719E-7/5.733912628355475E-64/0.0/5.733912628355475E-64/","1/","no"
"3","101021700","14902303/364198/364198/50/5951414/8141/","0.0/0.0/0.0/1.0/0.0/1.260253124263358E-69/","3/","no"
"4","101890000","936940/14902303/936940/982/50/20458/","0.0/0.0/0.0/1.1573940027150973E-8/0.9999999884260601/1.6371278970991564E-174/","4/","no"
"5","99682300","1793938/278934/278934/6259/4494307/50/","0.0/0.0/0.0/1.3389850337588866E-53/0.0/1.0/","5/","no"
"0","99449100","14312/252/42124/4494307/280941/276/","3.836897220064496E-25/0.5236976469482262/6.95801848335741E-73/0.0/0.0/0.4763023530517739/","1/5/","no"
"1","103193100","975/50/950/281551/4494307/394/","1.3261100276765993E-8/0.9988247146507935/2.1650553866690854E-8/0.0/0.0/0.001175250437552354/","1/","no"
"2","101022700","15069/293/4824/110371/278934/110371/","1.4893926833692354E-22/0.9999997973052792/2.026947207357719E-7/2.475404876088317E-163/0.0/2.475404876088317E-163/","1/","no"
"3","99459800","14902303/369719/369719/50/938466/8282/","0.0/0.0/0.0/1.0/0.0/7.938917228035864E-71/","3/","no"
"4","99896200","936940/14902303/936940/941/50/20458/","0.0/0.0/0.0/2.5859488040401394E-8/0.999999974140512/1.6371278737118869E-174/","4/","no"
"5","103548300","6483/711063/711063/16569/4494307/109/","6.832959388813869E-26/0.0/0.0/1.0321741556012415E-65/0.0/1.0/","5/","no"
"0","110600400","15459/227/42687/4494307/711063/276/","5.3606319613479865E-30/0.5535222247115547/7.333508681226483E-82/0.0/0.0/0.4464777752884453/","1/5/","no"
"1","100405200","975/50/973/1793938/4494307/390/","1.325982892706224E-8/0.9987289567213178/1.3790152762544314E-8/0.0/0.0/0.0012710162287003922/","1/","no"
"2","99759200","15851/284/4824/42222/711063/42222/","1.8983583370747697E-24/0.9999998792839426/1.207160573935162E-7/1.2393271828957322E-64/0.0/1.2393271828957322E-64/","1/","no"
