"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","152652000","305/364272/1165/1367/7092/402991/346242/378069/","0.9163583085279602/0.0/0.05514410988999596/0.028497581368480195/2.1356361046020743E-10/0.0/0.0/0.0/","0/","no"
"1","153741600","42924/10538/16892/43368/12767/16406/3404/3342/","3.284129356887164E-6/0.05293432294875141/0.007911868316687493/2.875673028953999E-6/0.027174677841280172/0.009149894538022195/0.44722567031647703/0.45559740623639583/","6/7/","no"
"2","156392000","1566/1990/175/1210/52327/116509/1565/1122/","3.6648691932912776E-4/3.294606797735656E-5/0.9918943918973425/0.002770242395177226/2.0282159025881398E-129/8.565408129637231E-288/3.685751582498125E-4/0.004567357561923963/","2/","no"
"3","190423100","3025800/1316837/1013875/4960/8494/18970/1198625/18106/","2.1918575456189544E-265/8.83844483727022E-116/2.9389417537657132E-89/0.61708819687754/0.30267377599385353/0.03663428477990419/1.971777354123045E-105/0.04360374234870225/","3/","no"
"4","183108000","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","192731300","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","194022200","14548/32298/5734053/14645/105598/30011085/50/6601/","3.476554535529416E-124/2.4526647416970212E-275/0.0/5.189648850473069E-125/0.0/0.0/1.0/1.6385059417900945E-56/","6/","no"
"7","194881800","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","159083700","50/371428/1247/1407/7269/407438/353719/386109/","0.9999999999331187/0.0/6.409926392090973E-11/2.782021936450031E-12/3.3576998050808783E-62/0.0/0.0/0.0/","0/","no"
"1","154055500","48264/8694/16620/48264/15047/19078/4316/4112/","8.983123194244582E-6/0.13540999066219472/0.019712374865330326/8.983123194244582E-6/0.028895691689482236/0.010844188271709385/0.39257868975777116/0.41254109850712367/","6/7/","no"
"2","162761000","776/1718/50/804/51260/115635/1496/697/","6.57186332436365E-7/6.251928098660929E-15/0.9999958699980389/3.795354411143124E-7/0.0/0.0/4.858165523923182E-13/3.09327969545982E-6/","2/","no"
"3","175737500","3025800/1316837/1013875/4960/8494/18970/1198625/18106/","2.1918575456189544E-265/8.83844483727022E-116/2.9389417537657132E-89/0.61708819687754/0.30267377599385353/0.03663428477990419/1.971777354123045E-105/0.04360374234870225/","3/","no"
"4","174575200","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","181007300","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","183301500","14529/31903/5724862/14715/105328/30045915/50/6545/","5.045974248960644E-124/5.6661951516859633E-272/0.0/1.3153687129615455E-125/0.0/0.0/1.0/4.912701681917751E-56/","6/","no"
"7","186430300","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","154256200","50/367863/1202/1367/7184/402991/349834/381661/","0.999999999839004/0.0/1.5490094090063296E-10/6.095139827423167E-12/1.7777308208792592E-61/0.0/0.0/0.0/","0/","no"
"1","150242500","42438/8809/16782/43341/12653/17497/3285/3136/","1.6546750412004146E-6/0.07488578754869951/0.005896528955397454/1.2407921442129766E-6/0.021990038568609278/0.004694722926157786/0.4356687447151667/0.4568612818187838/","6/7/","no"
"2","158371300","798/1698/50/653/49651/110819/1364/552/","4.268950953616194E-7/9.253390631993122E-15/0.9999391363072646/7.329595136842957E-6/0.0/0.0/6.464039086709695E-12/5.3107196029759264E-5/","2/","no"
"3","185968900","3025800/1316837/1013875/4960/8494/18970/1198625/18106/","2.1918575456189544E-265/8.83844483727022E-116/2.9389417537657132E-89/0.61708819687754/0.30267377599385353/0.03663428477990419/1.971777354123045E-105/0.04360374234870225/","3/","no"
"4","177147300","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","211828500","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","187925400","14519/32254/5736980/14627/105598/29984566/54/6584/","6.0332491370142885E-115/5.499478441568985E-255/0.0/8.467492531356293E-116/0.0/0.0/1.0/2.7377929645156734E-52/","6/","no"
"7","182674400","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","162246800","50/373050/1216/1367/7620/401104/369750/383075/","0.9999999998761888/0.0/1.1771612641652892E-10/6.0951398276498134E-12/3.4440857873340505E-65/0.0/0.0/0.0/","0/","no"
"1","157742500","15869/3071/5076/15869/4391/6090/1029/868/","1.6433579443921893E-8/0.04089831801520069/0.004070798718641665/1.6433579443921893E-8/0.008954011069742855/0.0012674167420367352/0.42876814817207615/0.5160412744151429/","6/7/","no"
"2","153541500","720/1846/213/768/50779/113451/1446/641/","0.07156760639892727/3.711905649862105E-4/0.7649430797482014/0.057187965424617314/1.837840238432173E-103/1.1937323470219583E-230/0.0024063695056579953/0.10352378835760968/","2/","no"
"3","196438300","3025800/1316740/1011982/4960/8491/18978/1198206/17727/","2.1840261695963813E-265/8.980756386842263E-116/4.288969633934085E-89/0.6148833776279957/0.30177477378741924/0.03644457553411828/2.1378802190239716E-105/0.04689727305046668/","3/","no"
"4","187375300","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","186101600","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","182490100","14537/31924/5724862/14675/105328/30057106/68/6552/","8.517955792019664E-92/3.1219077444525623E-201/0.0/1.1527799597099268E-92/0.0/0.0/1.0/1.5449233848128749E-41/","6/","no"
"7","190162800","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","157823700","50/411943/1407/1348/7584/401703/353719/401703/","0.9999999999883713/0.0/2.7820219366037448E-12/8.84666652090993E-12/6.9764545843381776E-65/0.0/0.0/0.0/","0/","no"
"1","149216900","17152/1859/5415/17152/4925/6888/1242/1164/","4.2840577308888957E-7/0.21520668309058563/0.010167927137902976/4.2840577308888957E-7/0.015484495398241071/0.0028715750743731976/0.36548038698294116/0.3907880755044098/","6/7/","no"
"2","164861500","1578/2001/406/1252/52985/117726/1767/1134/","0.040009271647880665/0.014151196504545407/0.7124559588260598/0.08912982542050008/5.593364212163275E-57/4.623519819887554E-126/0.025146978598440575/0.11910676900257335/","2/","no"
"3","177202000","3025800/1316740/1011982/4960/8491/18978/1198206/17727/","2.1840261695963813E-265/8.980756386842263E-116/4.288969633934085E-89/0.6148833776279957/0.30177477378741924/0.03644457553411828/2.1378802190239716E-105/0.04689727305046668/","3/","no"
"4","190722400","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","184738600","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","208809800","14549/32298/5734053/14699/105598/30012610/50/6816/","3.409050763957519E-124/2.4526647416970212E-275/0.0/1.8001005178783237E-125/0.0/0.0/1.0/2.418793173118499E-58/","6/","no"
"7","184773700","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","153822800","50/388774/1406/1336/7546/400863/364434/385763/","0.9999999999859693/0.0/2.837109697478105E-12/1.1193517783339303E-11/1.4696933810910902E-64/0.0/0.0/0.0/","0/","no"
"1","149619900","43376/11092/17446/43376/12954/16954/3479/3267/","2.2175352774970892E-6/0.04327028038773935/0.006191377440268364/2.2175352774970892E-6/0.024476135761700362/0.007197317478967066/0.44453349111131707/0.4743269627494528/","6/7/","no"
"2","149553300","914/1907/268/914/53431/121024/1635/854/","0.06952681692252974/0.0017337084362258404/0.7675468515751904/0.06952681692252974/1.1340462397621513E-86/8.457547794718608E-196/0.004765560388718645/0.08690024575480562/","2/","no"
"3","197264900","3025800/1317158/1013312/4960/8500/18955/1198625/18091/","2.1921268900612636E-265/8.285683265824562E-116/3.2925344898064016E-89/0.6171640272053712/0.30234508227891416/0.036749734644079934/1.9720196542090457E-105/0.043741155871634546/","3/","no"
"4","190488600","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","186082400","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","199506000","14548/32298/5734053/14645/105598/30011085/50/6601/","3.476554535529416E-124/2.4526647416970212E-275/0.0/5.189648850473069E-125/0.0/0.0/1.0/1.6385059417900945E-56/","6/","no"
"7","181144400","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","160201100","383/363291/1135/1446/7264/403972/345261/370985/","0.830656912302323/0.0/0.11720019195967248/0.052142882023464746/1.371453985023334E-8/0.0/0.0/0.0/","0/","no"
"1","151166500","42675/8694/17160/43119/12667/16673/3364/3155/","1.6692616674216765E-6/0.07918100233409375/0.005415292495722124/1.4501935100051837E-6/0.02248535954802629/0.006318843159635579/0.42862527048950977/0.45797111251783496/","6/7/","no"
"2","156232000","1384/1809/68/1019/49970/110149/1418/940/","5.2111355072492914E-9/1.1013620882105189E-11/0.9999957108454831/1.0334446813350239E-6/8.14096481E-315/0.0/3.1837003630717977E-9/3.247303986223596E-6/","2/","no"
"3","178715500","3025800/1317158/1013312/4960/8500/18955/1198625/18091/","2.1921268900612636E-265/8.285683265824562E-116/3.2925344898064016E-89/0.6171640272053712/0.30234508227891416/0.036749734644079934/1.9720196542090457E-105/0.043741155871634546/","3/","no"
"4","179533200","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","184095200","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","195161400","14528/31903/5724862/14667/105328/30044389/50/6544/","5.1458912982051955E-124/5.6661951516859633E-272/0.0/3.371283346982166E-125/0.0/0.0/1.0/5.009979755815529E-56/","6/","no"
"7","195923200","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","159235200","50/388774/1406/1336/7546/400863/364434/385763/","0.9999999999859693/0.0/2.837109697478105E-12/1.1193517783339303E-11/1.4696933810910902E-64/0.0/0.0/0.0/","0/","no"
"1","149337100","43983/8694/16144/44427/13329/15048/3629/3482/","3.867226182660489E-6/0.09718002324201488/0.011445589989452352/3.4043743828188467E-6/0.02568265378801186/0.015678271336649986/0.4160357991763003/0.4339703908670052/","6/7/","no"
"2","152537200","880/1842/50/880/52903/119704/1666/820/","8.552045479075583E-8/5.496470382360678E-16/0.9999995516240694/8.552045479075583E-8/0.0/0.0/1.7331080264613525E-14/2.773350030877592E-7/","2/","no"
"3","189247600","3025800/1319045/1011426/4960/8490/18907/1200512/18043/","2.1890783241860627E-265/5.656303571806709E-116/4.8087215684051884E-89/0.6163057442285645/0.3025338244926141/0.037055426943170114/1.3462187071261384E-105/0.04410500433565103/","3/","no"
"4","179806700","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","180339400","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","195493200","14537/31924/5724862/14675/105328/30057106/68/6552/","8.517955792019664E-92/3.1219077444525623E-201/0.0/1.1527799597099268E-92/0.0/0.0/1.0/1.5449233848128749E-41/","6/","no"
"7","190741200","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","158211100","305/365085/1157/1385/7113/402177/347056/377256/","0.9165116321452953/0.0/0.056614267738608406/0.026874099916663986/1.9943225066585994E-10/0.0/0.0/0.0/","0/","no"
