"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105782200","64/502/3989/3989/3989/3989/3989/3989/3989/3989/","0.9988169332905957/0.0011830667094042291/5.953613577369064E-27/5.953613577369064E-27/5.953613577369064E-27/5.953613577369064E-27/5.953613577369064E-27/5.953613577369064E-27/5.953613577369064E-27/5.953613577369064E-27/","0/","no"
"1","120475500","4494307/50/711063/50/188/513/1467/1467/4824/1839/","0.0/0.48381038677835525/0.0/0.48381038677835525/0.03232402346046066/5.520298199850607E-5/4.150506070692528E-13/4.150506070692528E-13/1.0747450424341397E-41/2.820369496449456E-16/","1/3/","no"
"2","113766900","198/15712/97/155/141/155/155/112/112/155/","0.06022292638006766/1.0672997901439963E-70/0.1687916917721051/0.09339414229095389/0.10773621327509719/0.09339414229095389/0.09339414229095389/0.14483629970445724/0.14483629970445724/0.09339414229095389/","2/7/8/","no"
"3","111959800","525508/31001/11283/3870/1173/73/73/55/55/50/","0.0/6.651406926442139E-265/5.408564726507054E-97/7.2287351443874395E-34/6.69231516450794E-11/0.15585196037822055/0.15585196037822055/0.2218159005935765/0.2218159005935765/0.24466427798948276/","7/8/9/","no"
"4","113002300","80624/207616/1442/1173/202/202/245/107/202/202/","0.0/0.0/1.4571966248531306E-6/1.758867467780928E-5/0.14120894493667055/0.14120894493667055/0.09483063625631133/0.3403145381257039/0.14120894493667055/0.14120894493667055/","7/","no"
"5","113678200","2364241/2364241/930399/5996/137249/2317/6063/1798/631/434/","0.0/0.0/0.0/1.6538740754308923E-6/1.507922928427154E-137/0.00778996561385727/1.4177873779551762E-6/0.02568584068613372/0.37566527269338723/0.5908558493451684/","9/","no"
"6","117146300","14902303/2364241/2364241/930399/360971/50/50/17994/5996/5996/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/7.860261578707528E-154/1.162365633855388E-51/1.162365633855388E-51/","5/6/","no"
"7","110852200","8449/8449/2884/257/54/69/132/50/54/50/","6.316052076941788E-73/6.316052076941788E-73/1.5475250869317546E-25/0.0036312931060664363/0.19441226260330596/0.14487384398227166/0.042121959354263716/0.21027418917539312/0.19441226260330596/0.21027418917539312/","4/7/8/9/","no"
"8","111409200","58441/50/22425/8282/2884/257/54/50/50/246/","0.0/0.252317466004832/7.343242188671355E-192/2.003127477800114E-71/1.856945020426793E-25/0.004357352076527325/0.23328402621691105/0.252317466004832/0.252317466004832/0.0054062236920656296/","1/6/7/8/","no"
"9","112155600","148646/50/22425/8282/2884/249/50/50/50/246/","0.0/0.2474250146916621/7.200856267245679E-192/1.964286711782663E-71/1.8209387413232394E-25/0.0049985445539393/0.2474250146916621/0.2474250146916621/0.2474250146916621/0.005301396679412331/","1/6/7/8/","no"
"0","109438800","68/65/136/161/952/161/161/136/161/136/","0.2442203621922334/0.2555774479787077/0.08716195250013627/0.05967899001254911/3.7227845361477E-7/0.05967899001254911/0.05967899001254911/0.08716195250013627/0.05967899001254911/0.08716195250013627/","0/1/","no"
"1","113344400","4494307/97/711063/97/150/198/364/484/484/1765/","0.0/0.32860259532696234/0.0/0.32860259532696234/0.1913363314591397/0.11724161123637285/0.021549644239120865/0.00633360454115832/0.00633360454115832/1.3329125103694865E-8/","1/3/","no"
"2","111631500","15712/64/64/234/201/310/308/198/64/50/","1.242270602343786E-134/0.22181042278023258/0.22181042278023258/0.00791286354661326/0.015112898066419236/0.0017829934295892377/0.001854303845388742/0.01602855926581082/0.22181042278023258/0.2918771135054809/","9/","no"
"3","114844800","4494307/128/711063/150/229/150/607/364/561/1467/","0.0/0.29733079524022044/0.0/0.250711448944398/0.13589731601464042/0.250711448944398/0.007254826801842317/0.047721782189985115/0.010363149126704854/9.23273781089051E-6/","1/3/5/","no"
"4","112260000","373066/58441/8282/914/366/97/140/93/50/97/","0.0/0.0/3.308679490311034E-71/1.8299278519878568E-8/8.491232904150696E-4/0.1658292955347468/0.07136600704691462/0.1793591628077815/0.4167670974861167/0.1658292955347468/","8/","no"
"5","112370800","14902303/5996/2364241/5996/5996/883/18712/883/50/229/","0.0/2.2572333576145715E-51/0.0/2.2572333576145715E-51/2.2572333576145715E-51/7.829376266350937E-8/1.1735068755967683E-159/7.829376266350937E-8/0.9709652848767025/0.029034558535772102/","8/","no"
"6","114123600","48259941/7671210/7671210/3030195/1184063/50/2165/62940/22128/22128/","0.0/0.0/0.0/0.0/0.0/1.0/9.76230491231732E-19/0.0/9.841634367802605E-189/9.841634367802605E-189/","5/","no"
"7","111879800","207616/11283/11469/3870/55/193/55/193/193/188/","0.0/3.574513946937843E-88/1.2904432055616448E-89/1.1039490697848965E-30/0.4258538888472593/0.03622721345199298/0.4258538888472593/0.03622721345199298/0.03622721345199298/0.0396105819495025/","4/6/","no"
