"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","100511200","95/1366/561/561/561/561/561/561/561/561/","0.9412930614611655/1.674352415559509E-6/0.0073381580233022915/0.0073381580233022915/0.0073381580233022915/0.0073381580233022915/0.0073381580233022915/0.0073381580233022915/0.0073381580233022915/0.0073381580233022915/","0/","no"
"1","123991300","4494307/1467/711063/50/39911/1582/147/364/561/364/","0.0/7.436806044975955E-13/0.0/0.8668832059833819/0.0/7.800006709216421E-14/0.12940454083056308/0.001836830463488751/3.859225825587672E-5/0.001836830463488751/","3/","no"
"2","116374500","697/691/50/272/201/79/343/50/78/50/","7.344574474404465E-7/8.261522831615827E-7/0.2374355009693265/0.0030555354131512344/0.012294004419881434/0.13446024252629724/7.594186842753162E-4/0.2374355009693265/0.13712273543868456/0.2374355009693265/","2/7/9/","no"
"3","111110500","4494307/50/711063/50/122/122/545/545/364/1467/","0.0/0.4016602413241506/0.0/0.4016602413241506/0.09788975089666258/0.09788975089666258/2.4470773484741234E-5/2.4470773484741234E-5/8.510740110595551E-4/3.445757502381707E-13/","1/3/","no"
"4","112044700","1317511/11794/11794/1287/1625/68/529/68/483/68/","0.0/5.217451071041734E-75/5.217451071041734E-75/7.076328242069712E-9/5.277089024958504E-11/0.3329230133152875/4.1759294016840536E-4/0.3329230133152875/8.133599848701119E-4/0.3329230133152875/","5/7/9/","no"
"5","109890400","14902303/5951414/2364241/360971/360971/137249/50/17994/5996/434/","0.0/0.0/0.0/0.0/0.0/0.0/0.9994632341943136/1.5712084918136655E-153/2.323483431458859E-51/5.367658056863927E-4/","6/","no"
"6","111448300","19280164/7680747/3030195/455732/455732/50/50/22128/7304/2165/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/4.9208171839013024E-189/8.452139126677698E-63/4.88115245615866E-19/","5/6/","no"
"7","112422800","208227/81670/30903/3803/3803/302/133/50/128/54/","0.0/0.0/7.920689375338397E-264/4.68736589753913E-33/4.68736589753913E-33/0.003047668329340467/0.08377229181944607/0.4264748030078311/0.09240134381115944/0.394303893032223/","7/9/","no"
"8","110931300","58441/914/22425/2884/914/320/83/50/50/50/","0.0/1.2443356575122957E-8/8.247789000488478E-192/2.08568508575353E-25/1.2443356575122957E-8/0.0014229542064974165/0.14838258337769805/0.28339814584303047/0.28339814584303047/0.28339814584303047/","7/8/9/","no"
"9","111350500","80624/30484/11469/1377/1235/384/55/50/55/60/","0.0/1.8888634797583445E-260/1.5845928614793807E-98/1.3776269924087252E-12/2.230199583485721E-11/3.936413145988203E-4/0.24930205630145832/0.2749816737351426/0.24930205630145832/0.22602057232366218/","6/7/8/9/","no"
"0","101188700","952/6209/159/6209/6209/6209/6209/6209/159/6209/","0.0035072934389411945/1.8866182523650536E-17/0.4982463532805294/1.8866182523650536E-17/1.8866182523650536E-17/1.8866182523650536E-17/1.8866182523650536E-17/1.8866182523650536E-17/0.4982463532805294/1.8866182523650536E-17/","2/8/","no"
"1","110025000","4494307/97/711063/106872/14312/198/198/198/364/198/","0.0/0.40116603557017144/0.0/0.0/4.0594425444928464E-64/0.14313140873630767/0.14313140873630767/0.14313140873630767/0.02630832948459785/0.14313140873630767/","1/","no"
"2","108202200","3989/3989/502/68/203/157/214/157/157/157/","8.849505066833776E-26/8.849505066833776E-26/7.843784000073714E-4/0.4228389401793699/0.059767952822697853/0.11641207627691853/0.050960423490250956/0.11641207627691853/0.11641207627691853/0.11641207627691853/","3/","no"
"3","115306400","4494307/128/278324/151/151/151/561/1467/561/4824/","0.0/0.2793431325724043/0.0/0.2337252589174253/0.2337252589174253/0.2337252589174253/0.009736208245869297/8.674183581388271E-6/0.009736208245869297/4.329843589001986E-17/","1/3/4/5/","no"
"4","111203300","712589/110371/41310/166/65/403/1557/400/1473/400/","0.0/0.0/3.2151928065885436E-272/0.17528911656571555/0.8097614804166089/0.004833291059783568/1.23216745923524E-10/0.0050580556973601615/4.399549077585473E-10/0.0050580556973601615/","4/","no"
"5","110393700","14902303/5951414/2364241/360971/360971/50/50/17994/5996/1798/","0.0/0.0/0.0/0.0/0.0/0.4999999999999997/0.4999999999999997/7.860261578707523E-154/1.1623656338553874E-51/6.512376891102139E-16/","5/6/","no"
"6","113692300","48259941/19280164/7671210/1184063/1184063/2165/2165/62940/22128/826/","0.0/0.0/0.0/0.0/0.0/0.14187273192536753/0.14187273192536753/1.7228338030613066E-33/4.660577682716531E-12/0.7162545361446044/","9/","no"
"7","111731500","80624/4247/1350/82/78/82/125/54/54/82/","0.0/1.6466810242060937E-34/1.2361873132762926E-11/0.12721729467687293/0.13681421065245256/0.12721729467687293/0.058211237732545724/0.21166133378601057/0.21166133378601057/0.12721729467687293/","7/8/","no"
