"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","102359200","1467/1793938/42124/1793938/106872/719/394/394/","0.026387354829021503/0.0/5.246258098513487E-47/0.0/3.394204234440885E-118/0.17530999340201409/0.39915132588448216/0.39915132588448216/","6/7/","no"
"1","109705600","437/50/20394/5951414/1295/1295/171/20251/","4.629707653274233E-4/0.9142864503722694/5.250031323963067E-174/0.0/2.2865862011676763E-11/2.2865862011676763E-11/0.08525057881667152/8.667414366487374E-173/","1/","no"
"2","107111500","936940/360971/7599/2737/936940/883/360971/50724/","0.0/1.1073082148752145E-177/4.467336628617245E-4/0.1093121231731082/0.0/0.89024114316403/1.1073082148752145E-177/2.9070612750811373E-25/","5/","no"
"3","109379100","394/5951414/311/152/394/289/1295/7953/","0.09458447999087943/0.0/0.16271123469455276/0.4599844799665617/0.09458447999087943/0.18787332135121085/2.620040059157167E-4/3.3067522191360715E-23/","3/","no"
"4","109752600","215087/5514/343/5514/50/796/819/515/","0.0/2.947452006995129E-47/0.0031878727400090202/2.947452006995129E-47/0.9967020521397826/4.4253141597329796E-7/2.818939866299281E-7/1.0935069480569813E-4/","4/","no"
"5","105334900","659/19280164/9893/48259941/25600/50/65154/925/","6.516435575211794E-6/0.0/1.5176168758290508E-84/0.0/2.6728666923584265E-218/0.999993448175584/0.0/3.538884084236467E-8/","5/","no"
"6","109993100","13141/91642/13533/4159/743739/11916807/50/3890/","3.330944527045953E-112/0.0/1.5291876928449538E-115/1.0220912809705331E-35/0.0/0.0/1.0/1.9960903087783612E-33/","6/","no"
"7","109443600","521/1245/1048/11041/3194/10178/1184063/2165/","0.6013042737476955/0.15022405887890503/0.21909875000974804/1.063276244912065E-9/0.003590930748653329/5.554517960272134E-9/0.0/0.025781979997204038/","0/","no"
"0","106196300","1467/1793938/350/4494307/1828/42124/395/711063/","0.021430118956753445/0.0/0.5165300891663972/0.0/0.007662262701128361/1.0613674089427972E-52/0.454377529175721/0.0/","2/6/","no"
"1","108502100","477/50/68/2920/477/7572/50/394/","8.546732931979599E-5/0.3697872833043092/0.25981939469483634/1.3435161532660742E-25/8.546732931979599E-5/3.2641768496928396E-65/0.3697872833043092/4.3510403790581706E-4/","1/6/","no"
"2","111124000","3050/1062/2662/935/3050/2185/520/8345/","0.004145294882036422/0.1882390864348263/0.00872939107658705/0.2402007152515755/0.004145294882036422/0.02180725345383005/0.5327328041529917/1.598661164792372E-7/","6/","no"
"3","105563000","233/5951414/2192/50/56786/361/2364241/142783/","0.02684457533001744/0.0/5.58263309791625E-19/0.9709733854908666/0.0/0.0021820391791160135/0.0/0.0/","3/","no"
"4","108284100","215087/5514/343/521/50/343/819/700/","0.0/2.9381140918687704E-47/0.0031777731404195484/9.690584933515732E-5/0.9935443691148986/0.0031777731404195484/2.8100090945156047E-7/2.897754017372128E-6/","4/","no"
"5","110734000","5067/29182/80424/332/211891/55/77091/487/","1.3408340795694041E-39/1.2862155926078568E-226/0.0/0.00705544704184655/0.0/0.9925014961111261/0.0/4.430568470273887E-4/","5/","no"
"6","112409100","859/687/3502/17615/17009/5162/3010/16039/","0.42530017554742783/0.5460962351246555/0.00912689407305713/1.1261725912655695E-11/2.717300025603053E-11/8.174502371139541E-4/0.018659244868024484/1.1128645620553898E-10/","1/","no"
"7","108401900","21934/6523/6523/145479/20993/1043/5996/50/","4.4166132559589826E-187/7.562460322380866E-56/7.562460322380866E-56/0.0/4.552483093345862E-179/3.4997012165540945E-9/2.3247312595749112E-51/0.9999999965002987/","7/","no"
"0","113136800","1467/1793938/1678/1678/1828/1582/6400/289/","0.016387759179316033/0.0/0.007916494211301415/0.007916494211301415/0.004719519900504889/0.011022988332349186/6.714608245120395E-10/0.9520367434937663/","7/","no"
"1","106183000","16737/1467/5112/1793938/16737/16737/50/278324/","7.953323302384542E-143/8.578786615820239E-13/7.836890462092623E-44/0.0/7.953323302384542E-143/7.953323302384542E-143/0.9999999999991421/0.0/","6/","no"
"2","114848200","175/477/50/137249/360971/360971/515/190/","0.07491278733826422/2.0084053861210507E-4/0.8689668642020208/0.0/0.0/0.0/9.533654531925587E-5/0.05582417137578354/","2/","no"
"3","105985200","2804/1032/1032/50/2008/17994/3292/6350/","3.5326285415225895E-24/4.342125034126663E-9/4.342125034126663E-9/0.9999999913157499/2.1207922240517414E-17/1.57205230208941E-153/2.4688566387282794E-28/2.248319949711959E-54/","3/","no"
"4","106723100","674/92753/416/279/50/157/400/346/","4.264345139405666E-6/0.0/6.712302050044651E-4/0.009851575449034883/0.8781588193244003/0.10774725458868195/9.185879424816727E-4/0.0026482681452573466/","4/","no"
"5","108568500","31113/1472529/3793268/637/633/76575/615/680/","8.209510207031581E-23/0.0/0.0/0.2515438624552163/0.2531825789093174/7.286826926783672E-55/0.26068992218677983/0.23458363644868638/","3/4/6/7/","no"
"6","108731900","1077/91642/253666/109186/720071/3398/3010/4774/","0.760474326338999/2.4837664671130696E-37/1.3194969997013383E-102/2.1239747926949893E-44/1.6578948627518445E-290/0.0883124529534606/0.12657144308462553/0.024641777622914824/","0/","no"
"7","105636400","967/293/194/1939/771/5996/50/434/","1.4536404169655827E-8/0.007979149700718407/0.0555902775956192/7.679184449003419E-17/6.784381989766009E-7/2.1757793102734812E-51/0.9359272361901977/5.026435388615803E-4/","6/","no"
"0","107556400","1645/813/39911/1793938/278324/5523/280941/278324/","0.26402005175673665/0.7337277712753196/1.0128100728960702E-21/0.0/6.378654811448367E-149/0.0022521769679436504/2.5614015996505467E-150/6.378654811448367E-149/","1/","no"
"1","106997700","477/50/50/2920/477/6966/50/137249/","7.703001705605135E-5/0.3332819799886293/0.3332819799886293/1.2108845920986974E-25/7.703001705605135E-5/4.2567079584099794E-60/0.3332819799886293/0.0/","1/2/6/","no"
"2","105951400","583/505/434/846/518/491/3319/3292/","0.15263190473064117/0.18260758680683056/0.21498277462185608/0.08338191756576505/0.17723108722737205/0.18858020820827773/2.8319317949241485E-4/3.0132765976507417E-4/","1/2/4/5/","no"
"3","108264000","991/5951414/360971/686/991/50/56786/2947/","9.701510426947793E-9/0.0/0.0/3.837873608299814E-6/9.701510426947793E-9/0.9999961427233708/0.0/2.139777601155718E-25/","5/","no"
"4","108496400","588/61218842/327/153196043/50/138/796/210600/","2.217285969555359E-5/0.0/0.0037015838091096712/0.0/0.8456734850209247/0.15060238283488703/3.7547538301335655E-7/0.0/","4/","no"
"5","109845100","1480596/61218842/1480596/215/580680/50/14064/29182/","0.0/0.0/0.0/0.037858932961968725/0.0/0.9621410670380313/4.425145830938061E-120/8.080127735631923E-249/","5/","no"
"6","114951000","696017/4654732/719685/93856/17615/5162/3010/3124/","4.4929636925382304E-101/0.0/1.732830797138213E-104/3.2048232838420223E-14/0.003180519584827126/0.19891544711701467/0.40650351079839625/0.3914005224997299/","6/7/","no"
"7","107673900","183465/19280164/66232/458/178978/458/62940/2165/","3.4436822181440985E-174/0.0/2.8840110343116287E-63/0.4940078517787977/6.060547046568317E-170/0.4940078517787977/3.756696783436602E-60/0.011984296442404618/","3/5/","no"
"0","105083200","1467/813/2097/519/1467/1855/6400/394/","0.02944302910204535/0.15418503109309165/0.00597461983828348/0.32455570297220965/0.02944302910204535/0.011025146378978327/1.1098112505347508E-7/0.44537333053222117/","7/","no"
"1","107754900","477/50/68/5951414/477/6966/50/21934/","8.550453268722744E-5/0.3699482492813877/0.25993249237185023/0.0/8.550453268722744E-5/4.725012906397306E-60/0.3699482492813877/1.633918347513221E-187/","1/6/","no"
"2","107601800","6669/376/188/137249/6669/17994/3050/935/","9.223394817313215E-16/0.2662493454499413/0.7199215540209447/8.1482255E-316/9.223394817313215E-16/8.743588321001995E-42/1.9090876970856134E-7/0.013828909620342517/","2/","no"
"3","108227800","1149/22140/53592/152/2953/8502/2953/2008/","0.0014768803979363378/3.85341270363924E-63/2.0348151872288823E-152/0.9985177138958384/1.1185216026308628E-8/1.9845564680566473E-24/1.1185216026308628E-8/5.383335793185201E-6/","3/","no"
"4","107814700","588/61218842/327/153196043/50/138/796/210600/","2.217285969555359E-5/0.0/0.0037015838091096712/0.0/0.8456734850209247/0.15060238283488703/3.7547538301335655E-7/0.0/","4/","no"
"5","108808200","4721/61218842/216/153196043/394/50/82735/77091/","1.609908458074607E-40/0.0/0.03710909959326434/0.0/0.0011316379915255505/0.9617592624152101/0.0/0.0/","5/","no"
"6","109393900","13141/91642/253666/3890/743739/16039/50/3398/","3.330944527045953E-112/0.0/0.0/1.9960903087783612E-33/0.0/6.989114160101435E-137/1.0/3.0891898538016696E-29/","6/","no"
"7","107512800","19311/2920/20394/1939/360971/394/83/50/","6.284187714573518E-165/2.3828099329191265E-25/3.76598072129509E-174/5.3811053531676065E-17/0.0/7.716842263897038E-4/0.343387439143536/0.6558408766300742/","7/","no"
"0","104981800","50/1677/476/4494307/6400/394/6243/241/","0.9755663100693038/1.3627345395250642E-14/2.2994318018581606E-4/0.0/8.228790547619518E-55/0.0011478838238110011/1.787647007037917E-53/0.02305586292668571/","0/","no"
"1","109537300","936940/50/273/5951414/56786/515/5996/351/","0.0/0.9847726335792247/0.012426878728502701/0.0/0.0/1.0804188822159967E-4/2.2893317328675106E-51/0.0026924458040511186/","1/","no"
"2","108561100","6966/137249/5996/6966/2405/5996/360971/1045/","0.002683339047385294/2.16651453034451E-57/0.006782896264783724/0.002683339047385294/0.2100787756072384/0.006782896264783724/2.8015367801888734E-150/0.7709887537684236/","7/","no"
"3","109199800","210/7829/235/109/360971/360971/56367/272/","0.20531472057019498/1.704531451356217E-31/0.16357495029848082/0.5142583894564283/0.0/0.0/3.955403681630789E-223/0.11685193967489572/","3/","no"
"4","106520700","216134/61218842/11008/1278/2683/82218/637/2956/","1.4199597427001144E-147/0.0/6.082447582605089E-8/0.25551098733548844/0.028249367123184915/2.0443330081665305E-56/0.6978244775742942/0.01841510714255645/","6/","no"
"5","106595100","11108/293/1120/19280164/3686/511/1038/23445/","6.54312561070405E-17/0.6188964403939108/0.037151820988751826/0.0/6.018733828312021E-6/0.29484251271496753/0.04910320716854153/3.905405477255715E-35/","1/","no"
"6","108847200","13981/91642/13820/4468/1890933/17615/50/3890/","2.3414334357350522E-119/0.0/5.5016110817403585E-118/2.3887794697348337E-38/0.0/2.653817695874233E-150/1.0/1.9960903087783612E-33/","6/","no"
"7","109487600","521/1245/1048/11041/3194/10178/1184063/2165/","0.6013042737476955/0.15022405887890503/0.21909875000974804/1.063276244912065E-9/0.003590930748653329/5.554517960272134E-9/0.0/0.025781979997204038/","0/","no"
