"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","117049400","50/110615/712589/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42687/4494307/107919/108163/1793938/278934/110371/108163/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","118037400","716/50/229/4075/716/31465/1317511/716/1317511/234/451/234/1317511/1317511/716/716/1317511/1317511/451/657/","1.9644055213514634E-6/0.9217351407729983/0.02756244050748955/4.891075728507547E-35/1.9644055213514634E-6/2.803631112367294E-268/0.0/1.9644055213514634E-6/0.0/0.024988476511427958/3.546984873773707E-4/0.024988476511427958/0.0/0.0/1.9644055213514634E-6/1.9644055213514634E-6/0.0/0.0/3.546984873773707E-4/6.246694294742326E-6/","1/","no"
"2","113582700","512/175/50/1056/373066/941/373066/373066/373066/211/3238/211/512/373066/373066/373066/373066/512/3238/941/","9.93105295592276E-5/0.07357751391234592/0.8534780751314285/2.314839178054668E-9/0.0/2.207050664733798E-8/0.0/0.0/0.0/0.036323216455847844/6.074764706273573E-28/0.036323216455847844/9.93105295592276E-5/0.0/0.0/0.0/0.0/9.93105295592276E-5/6.074764706273573E-28/2.207050664733798E-8/","2/","no"
"3","111624100","6128/223/140/50/101165/343/101165/101165/101165/101165/223/101165/146/101165/101165/101165/101165/146/223/343/","1.103657023050124E-52/0.021248225815353065/0.10817219777631869/0.6317098960895217/0.0/0.002020474175822495/0.0/0.0/0.0/0.0/0.021248225815353065/0.0/0.09616614016822773/0.0/0.0/0.0/0.0/0.09616614016822773/0.021248225815353065/0.002020474175822495/","3/","no"
"4","114729100","716/716/1317511/1317511/51/1317511/525508/293/4533/1317511/716/293/1317511/293/716/716/1442/1317511/716/716/","2.7151737939469222E-6/2.7151737939469222E-6/0.0/0.0/0.9722006598408253/0.0/0.0/0.009260111313423497/3.5884946097754877E-38/0.0/2.7151737939469222E-6/0.009260111313423497/0.0/0.009260111313423497/2.7151737939469222E-6/2.7151737939469222E-6/2.3462728792115274E-12/0.0/2.7151737939469222E-6/2.7151737939469222E-6/","4/","no"
"5","112519400","713/234/234/234/1317511/50/31465/1317511/1317511/31465/234/1317511/3787/1317511/451/716/31465/716/4246/567/","2.0384043616355787E-6/0.0244485011135216/0.0244485011135216/0.0244485011135216/0.0/0.9018173879169749/2.743047513971816E-268/0.0/0.0/2.743047513971816E-268/0.0244485011135216/0.0/1.3564485719023298E-32/0.0/3.4703381615298505E-4/1.921956728902828E-6/2.743047513971816E-268/1.921956728902828E-6/1.6739905251212277E-36/3.5691494966399086E-5/","5/","no"
"6","121230600","512/373066/373066/373066/977/512/60/977/204/512/373066/109/512/8282/512/22942/453/22942/512/373066/","3.911424976014756E-4/0.0/0.0/0.0/1.9130641256939325E-7/3.911424976014756E-4/0.6462282206784827/1.9130641256939325E-7/0.060977014791800954/3.911424976014756E-4/0.0/0.28941858628588635/3.911424976014756E-4/1.875795218308961E-59/3.911424976014756E-4/7.945443326437037E-164/0.0010289406453959401/7.945443326437037E-164/3.911424976014756E-4/0.0/","6/","no"
"7","114617700","713/3787/1317511/1317511/3787/1317511/1836/50/1836/1317511/3944/234/716/234/31465/3787/1836/1317511/31465/31465/","2.144067546979175E-6/1.4267617440871505E-32/0.0/0.0/1.4267617440871505E-32/0.0/5.864679501351185E-16/0.9485641961553024/5.864679501351185E-16/0.0/6.567584935519912E-34/0.02571581909672016/2.021583708657465E-6/0.02571581909672016/2.8852367396868423E-268/1.4267617440871505E-32/5.864679501351185E-16/0.0/2.8852367396868423E-268/2.8852367396868423E-268/","7/","no"
"8","115293700","186/373066/373066/373066/1275/373066/3395/1275/50/373066/373066/3328/373066/246/373066/3410/79/3410/373066/373066/","0.041927921701373244/0.0/0.0/0.0/2.2337718328552108E-11/0.0/1.9770301302028293E-29/2.2337718328552108E-11/0.6034231311701781/0.0/0.0/7.354565483706236E-29/0.0/0.012929110614998685/0.0/1.47326074392585E-29/0.3417198364687746/1.47326074392585E-29/0.0/0.0/","8/","no"
"9","115871800","691/1235/12187/1317511/1317511/691/284/1317511/1317511/50/1317511/12187/284/1317511/691/716/284/716/284/716/","3.3434043255175104E-6/7.793174958522076E-11/4.2569968826928084E-104/0.0/0.0/3.3434043255175104E-6/0.009773028767430761/0.0/0.0/0.9608917110708992/0.0/4.2569968826928084E-104/0.009773028767430761/0.0/3.3434043255175104E-6/2.0478561564502574E-6/0.009773028767430761/2.0478561564502574E-6/0.009773028767430761/2.0478561564502574E-6/","9/","no"
"10","113043700","567/128/12187/3787/234/12187/1317511/567/1317511/1317511/50/1317511/716/1317511/234/234/1317511/1317511/128/200/","2.524800155137238E-5/0.13821837533273673/2.8262446866925416E-104/9.595455634455345E-33/0.01729475872680711/2.8262446866925416E-104/0.0/2.524800155137238E-5/0.0/0.0/0.6379415272635058/0.0/1.3595834671170942E-6/0.0/0.01729475872680711/0.01729475872680711/0.0/0.0/0.13821837533273673/0.033685590304029636/","10/","no"
"11","114460600","512/512/512/373066/941/373066/109/941/181/512/373066/50/373066/8282/373066/58686/8449/58686/373066/373066/","8.36171905322473E-5/8.36171905322473E-5/8.36171905322473E-5/0.0/1.8582860927884512E-8/0.0/0.22598183787540022/1.8582860927884512E-8/0.05507467142843353/8.36171905322473E-5/0.0/0.7186089847683155/0.0/5.704977249398541E-71/0.0/0.0/2.158501615701909E-72/0.0/0.0/0.0/","11/","no"
"12","117993500","688/1317511/284/284/1317511/1235/31465/716/1317511/31465/716/1317511/50/1317511/1235/1317511/31465/284/1235/1317511/","3.581002506234725E-6/0.0/0.00986956855135777/0.00986956855135777/0.0/7.870157380707138E-11/2.951604497739652E-268/2.0680852579460138E-6/0.0/2.951604497739652E-268/2.0680852579460138E-6/0.0/0.9703835769367997/0.0/7.870157380707138E-11/0.0/2.951604497739652E-268/0.00986956855135777/7.870157380707138E-11/0.0/","12/","no"
"13","112164600","15809/101165/101165/101165/40251/101165/122/40251/140/101165/101165/122/101165/50/101165/69/40251/69/101165/101165/","2.0922589025156915E-135/0.0/0.0/0.0/0.0/0.0/0.08025806984908924/0.0/0.05639080646915058/0.0/0.0/0.08025806984908924/0.0/0.3293141049855791/0.0/0.22688947442354596/0.0/0.22688947442354596/0.0/0.0/","13/","no"
"14","116786100","211/215/373066/373066/215/249/1219/215/373066/1219/215/373066/249/373066/50/214/1219/148646/249/214/","0.03174115827584112/0.029346780136237715/0.0/0.0/0.029346780136237715/0.015067139310430074/8.277897976993056E-11/0.029346780136237715/0.0/8.277897976993056E-11/0.029346780136237715/0.0/0.015067139310430074/0.0/0.745814531613306/0.02992788569313748/8.277897976993056E-11/0.0/0.015067139310430074/0.02992788569313748/","14/","no"
"15","113892900","670/716/1317511/1317511/716/276/80624/716/80624/276/716/80624/1317511/1287/197/50/1317511/147/716/197/","4.087020931251691E-6/1.6584037472218233E-6/0.0/0.0/1.6584037472218233E-6/0.009258585128517505/0.0/1.6584037472218233E-6/0.0/0.009258585128517505/1.6584037472218233E-6/0.0/0.0/2.2766443334966848E-11/0.04357880249967403/0.7781534895871853/0.0/0.11615935609399779/1.6584037472218233E-6/0.04357880249967403/","15/","no"
"16","119974500","716/1317511/1317511/1317511/80624/716/678/80624/128/716/1317511/80624/716/3787/716/1317511/50/1317511/716/1317511/","1.751654725293852E-6/0.0/0.0/0.0/0.0/1.751654725293852E-6/3.6901198518612603E-6/0.0/0.17807723919106444/1.751654725293852E-6/0.0/0.0/1.751654725293852E-6/1.236255486327831E-32/1.751654725293852E-6/0.0/0.8219085607607319/0.0/1.751654725293852E-6/0.0/","16/","no"
"17","111642400","567/1317511/234/234/1317511/716/80624/1317511/80624/716/1317511/80624/234/3787/716/451/1317511/50/1317511/716/","3.658589931025095E-5/0.0/0.025061163755341086/0.025061163755341086/0.0/1.9701196441476036E-6/0.0/0.0/0.0/1.9701196441476036E-6/0.0/0.0/0.025061163755341086/1.3904402412359693E-32/1.9701196441476036E-6/3.557302451740425E-4/0.0/0.9244163121109159/0.0/1.9701196441476036E-6/","17/","no"
"18","114859200","705/312/4600/1199/716/4600/290/716/1317511/290/312/1317511/290/1317511/705/716/290/1317511/50/581/","2.523206919408438E-6/0.005604992696535559/1.713074533208667E-39/1.5676795645640267E-10/2.0336748044533216E-6/1.713074533208667E-39/0.008628151629712127/2.0336748044533216E-6/0.0/0.008628151629712127/0.005604992696535559/0.0/0.008628151629712127/0.0/2.523206919408438E-6/2.0336748044533216E-6/0.008628151629712127/0.0/0.9542375603178235/2.8700175236754025E-5/","18/","no"
"19","113224300","501/411/941/1056/512/914/373066/512/373066/211/411/373066/373066/373066/151/151/373066/211/411/50/","1.0583820960019173E-4/6.180797447334026E-4/1.8957808451701507E-8/1.988367482236645E-9/8.530433971020592E-5/3.2189092948500156E-8/0.0/8.530433971020592E-5/0.0/0.03120039747717851/6.180797447334026E-4/0.0/0.0/0.0/0.10118003174613542/0.10118003174613542/0.0/0.03120039747717851/6.180797447334026E-4/0.7331084022948824/","19/","no"
"0","114088400","50/110615/712589/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42687/4494307/107919/108163/1793938/278934/110371/108163/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","115229400","716/50/229/3787/716/12187/1317511/716/1317511/234/451/234/1317511/1317511/716/716/1317511/1317511/451/629/","1.9643965444563788E-6/0.9217309286489923/0.027562314553284062/1.3864010814118834E-32/1.9643965444563788E-6/4.083504566365013E-104/0.0/1.9643965444563788E-6/0.0/0.024988362319663823/3.5469686648439665E-4/0.024988362319663823/0.0/0.0/1.9643965444563788E-6/1.9643965444563788E-6/0.0/0.0/3.5469686648439665E-4/1.0816442705111196E-5/","1/","no"
"2","116633800","512/181/50/1092/373066/1029/373066/373066/373066/197/3328/197/512/373066/373066/373066/373066/512/3328/1029/","9.786395063951313E-5/0.06445833556296078/0.8410461266018691/1.1261272283230902E-9/0.0/3.873190679667494E-9/0.0/0.0/0.0/0.04710096855537159/1.0250732021021053E-28/0.04710096855537159/9.786395063951313E-5/0.0/0.0/0.0/0.0/9.786395063951313E-5/1.0250732021021053E-28/3.873190679667494E-9/","2/","no"
"3","110729100","2351/244/132/68/101165/343/101165/101165/101165/101165/244/101165/137/101165/101165/101165/101165/137/244/343/","1.777661396064619E-15/0.03247626277010223/0.16462955884381886/0.4162283732786605/0.0/0.0077347784221539345/0.0/0.0/0.0/0.0/0.03247626277010223/0.0/0.15312186136145217/0.0/0.0/0.0/0.0/0.15312186136145217/0.03247626277010223/0.0077347784221539345/","3/","no"
"4","119546200","716/716/1317511/1317511/51/1317511/525508/293/4533/1317511/716/293/1317511/293/716/716/1442/1317511/716/716/","2.7151737939469222E-6/2.7151737939469222E-6/0.0/0.0/0.9722006598408253/0.0/0.0/0.009260111313423497/3.5884946097754877E-38/0.0/2.7151737939469222E-6/0.009260111313423497/0.0/0.009260111313423497/2.7151737939469222E-6/2.7151737939469222E-6/2.3462728792115274E-12/0.0/2.7151737939469222E-6/2.7151737939469222E-6/","4/","no"
"5","114664800","705/293/293/293/1317511/50/4549/1317511/1317511/4549/293/1317511/1179/1317511/304/716/4549/716/1173/713/","2.5401133169484605E-6/0.008189761581997515/0.008189761581997515/0.008189761581997515/0.0/0.9606312965660326/4.6878204058231455E-39/0.0/0.0/4.6878204058231455E-39/0.008189761581997515/0.0/2.33597980059846E-10/0.0/0.006600850550811313/2.0473011600434035E-6/4.6878204058231455E-39/2.0473011600434035E-6/2.6276199559406615E-10/2.1713431688945415E-6/","5/","no"
"6","114411300","512/373066/373066/373066/977/512/60/977/204/512/373066/109/512/3171/512/22942/425/22942/512/373066/","3.9090819698013807E-4/0.0/0.0/0.0/1.9119181696394068E-7/3.9090819698013807E-4/0.6458411196230891/1.9119181696394068E-7/0.06094048858321805/3.9090819698013807E-4/0.0/0.28924521991682844/3.9090819698013807E-4/4.5825489772266453E-23/3.9090819698013807E-4/7.94068387861533E-164/0.0016273403113497196/7.94068387861533E-164/3.9090819698013807E-4/0.0/","6/","no"
"7","112899800","713/3787/1317511/1317511/3787/1317511/1836/50/1836/1317511/3787/234/716/234/80624/3787/1836/1317511/80624/80624/","2.144067546979175E-6/1.4267617440871505E-32/0.0/0.0/1.4267617440871505E-32/0.0/5.864679501351185E-16/0.9485641961553024/5.864679501351185E-16/0.0/1.4267617440871505E-32/0.02571581909672016/2.021583708657465E-6/0.02571581909672016/0.0/1.4267617440871505E-32/5.864679501351185E-16/0.0/0.0/0.0/","7/","no"
"8","109363800","156/373066/373066/373066/22425/373066/474/22425/50/373066/373066/474/373066/914/373066/512/109/512/373066/373066/","0.086873948568202/0.0/0.0/0.0/2.0206047753691372E-191/0.0/1.7019066413852287E-4/2.0206047753691372E-191/0.6942898839765081/0.0/0.0/1.7019066413852287E-4/0.0/3.048466166608444E-8/0.0/8.078742507205466E-5/0.21833418079220698/8.078742507205466E-5/0.0/0.0/","8/","no"
"9","116603800","567/3787/31465/1317511/1317511/567/234/1317511/1317511/50/1317511/31465/234/1317511/567/716/234/716/234/716/","3.570134022766657E-5/1.3568227392102235E-32/2.743804165366486E-268/0.0/0.0/3.570134022766657E-5/0.024455245069785907/0.0/0.0/0.90206614823951/0.0/2.743804165366486E-268/0.024455245069785907/0.0/3.570134022766657E-5/1.9224868878709144E-6/0.024455245069785907/1.9224868878709144E-6/0.024455245069785907/1.9224868878709144E-6/","9/","no"
"10","113338800","567/128/31465/4075/234/31465/1317511/567/1317511/1317511/50/1317511/716/1317511/234/234/1317511/1317511/128/211/","2.541409293281355E-5/0.13912763069906176/1.9531842111077632E-268/3.407428261911018E-35/0.017408530518320288/1.9531842111077632E-268/0.0/2.541409293281355E-5/0.0/0.0/0.6421381599881314/0.0/1.3685273471219563E-6/0.0/0.017408530518320288/0.017408530518320288/0.0/0.0/0.13912763069906176/0.02732879034557152/","10/","no"
"11","113531300","512/512/512/373066/1029/373066/127/1029/196/512/373066/50/373066/3041/373066/8881/3328/8881/373066/373066/","9.101056933027036E-5/9.101056933027036E-5/9.101056933027036E-5/0.0/3.6019523693631784E-9/0.0/0.17281816547473222/3.6019523693631784E-9/0.04466985094920038/9.101056933027036E-5/0.0/0.7821479340948416/0.0/2.649688834133732E-26/0.0/4.922876135824654E-76/9.532876520810362E-29/4.922876135824654E-76/0.0/0.0/","11/","no"
"12","117325900","705/1317511/293/293/1317511/1179/11833/716/1317511/11833/716/1317511/50/1317511/1179/1317511/11833/293/1448/1317511/","2.5782528532246432E-6/0.0/0.008312729997172443/0.008312729997172443/0.0/2.3710542934373804E-10/4.4665548479165715E-101/2.0780411732312997E-6/0.0/4.4665548479165715E-101/2.0780411732312997E-6/0.0/0.9750550751978582/0.0/2.3710542934373804E-10/0.0/4.4665548479165715E-101/0.008312729997172443/1.2140903191465777E-12/0.0/","12/","no"
"13","113222800","356/101165/101165/101165/868/101165/269/868/93/101165/101165/269/101165/50/101165/356/93/356/101165/101165/","0.0013077379517569823/0.0/0.0/0.0/5.7087990009744186E-8/0.0/0.007200721599921845/5.7087990009744186E-8/0.2270480423434627/0.0/0.0/0.007200721599921845/0.0/0.52757914408198/0.0/0.0013077379517569823/0.2270480423434627/0.0013077379517569823/0.0/0.0/","13/","no"
"14","118643700","155/215/373066/373066/215/246/22425/215/373066/22425/215/373066/914/373066/50/156/22425/512/914/156/","0.08196589317521764/0.02527542641076924/0.0/0.0/0.02527542641076924/0.013763077986379475/1.8694308758234206E-191/0.02527542641076924/0.0/1.8694308758234206E-191/0.02527542641076924/0.0/2.820391619989009E-8/0.0/0.6423457777092657/0.08037437292922535/1.8694308758234206E-191/7.474321977704898E-5/2.820391619989009E-8/0.08037437292922535/","14/","no"
"15","115029500","713/716/1317511/1317511/716/293/4549/716/4549/293/716/4549/1317511/1448/214/50/1317511/129/716/214/","1.7257381204606545E-6/1.6271521271089404E-6/0.0/0.0/1.6271521271089404E-6/0.006509051154144719/3.725781577087621E-39/1.6271521271089404E-6/3.725781577087621E-39/0.006509051154144719/1.6271521271089404E-6/3.725781577087621E-39/0.0/9.506595301140547E-13/0.030637149280299075/0.7634896555920972/0.0/0.1622080820393085/1.6271521271089404E-6/0.030637149280299075/","15/","no"
"16","115387000","716/1317511/1317511/1317511/12187/716/629/12187/128/716/1317511/12187/716/3787/716/1317511/50/1317511/716/1317511/","1.7516442944011102E-6/0.0/0.0/0.0/3.641244174970594E-104/1.7516442944011102E-6/9.644977335962353E-6/3.641244174970594E-104/0.17807617876257076/1.7516442944011102E-6/0.0/3.641244174970594E-104/1.7516442944011102E-6/1.2362481245754301E-32/1.7516442944011102E-6/0.0/0.8219036663943268/0.0/1.7516442944011102E-6/0.0/","16/","no"
"17","111458300","567/1317511/234/234/1317511/716/31465/1317511/31465/716/1317511/31465/234/3787/716/451/1317511/50/1317511/716/","3.658589931025095E-5/0.0/0.025061163755341086/0.025061163755341086/0.0/1.9701196441476036E-6/2.8117864002022234E-268/0.0/2.8117864002022234E-268/1.9701196441476036E-6/0.0/2.8117864002022234E-268/0.025061163755341086/1.3904402412359693E-32/1.9701196441476036E-6/3.557302451740425E-4/0.0/0.9244163121109159/0.0/1.9701196441476036E-6/","17/","no"
"18","114118800","567/451/12187/3787/716/12187/234/716/1317511/234/451/1317511/234/1317511/567/716/234/1317511/50/629/","3.5677466885314966E-5/3.468974189940398E-4/3.993712176153983E-104/1.355915437311834E-32/1.9212013286356606E-6/3.993712176153983E-104/0.024438891945950208/1.9212013286356606E-6/0.0/0.024438891945950208/3.468974189940398E-4/0.0/0.024438891945950208/0.0/3.5677466885314966E-5/1.9212013286356606E-6/0.024438891945950208/0.0/0.9014629402410599/1.0578599394717363E-5/","18/","no"
"19","115773400","404/453/2884/3041/512/2884/373066/512/373066/172/453/373066/373066/373066/113/113/373066/172/453/50/","5.474307809750851E-4/2.0944301812925897E-4/4.165772833843807E-25/1.9175638134210805E-26/6.586379960484402E-5/4.165772833843807E-25/0.0/6.586379960484402E-5/0.0/0.051753929162893245/2.0944301812925897E-4/0.0/0.0/0.0/0.16457445803243698/0.16457445803243698/0.0/0.051753929162893245/2.0944301812925897E-4/0.566035738174767/","19/","no"
"0","119148500","50/110615/712589/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42687/4494307/107919/108163/1793938/278934/110371/108163/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","115292800","716/50/229/3787/716/12187/1317511/716/1317511/234/451/234/1317511/1317511/716/716/1317511/1317511/451/629/","1.9643965444563788E-6/0.9217309286489923/0.027562314553284062/1.3864010814118834E-32/1.9643965444563788E-6/4.083504566365013E-104/0.0/1.9643965444563788E-6/0.0/0.024988362319663823/3.5469686648439665E-4/0.024988362319663823/0.0/0.0/1.9643965444563788E-6/1.9643965444563788E-6/0.0/0.0/3.5469686648439665E-4/1.0816442705111196E-5/","1/","no"
"2","112239300","512/175/50/1056/373066/941/373066/373066/373066/211/3238/211/512/373066/373066/373066/373066/512/3238/941/","9.93105295592276E-5/0.07357751391234592/0.8534780751314285/2.314839178054668E-9/0.0/2.207050664733798E-8/0.0/0.0/0.0/0.036323216455847844/6.074764706273573E-28/0.036323216455847844/9.93105295592276E-5/0.0/0.0/0.0/0.0/9.93105295592276E-5/6.074764706273573E-28/2.207050664733798E-8/","2/","no"
