"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","103042600","50/4494307/6483/753/6483/79/902/6483/180/902/","0.6081017715178506/0.0/1.0075404763339027E-55/6.273716371675485E-7/1.0075404763339027E-55/0.34436936071124513/3.3783430498277114E-8/1.0075404763339027E-55/0.047528172832405936/3.3783430498277114E-8/","0/","no"
"1","110364100","101165/93/101165/155/201/101165/101165/198/101165/155/","0.0/0.3733614696157851/0.0/0.19305450719640052/0.11834580239530788/0.0/0.0/0.12218371359610597/0.0/0.19305450719640052/","1/","no"
"2","103223100","101165/101165/50/356/51/40251/51/356/354/101165/","0.0/0.0/0.3368475885114321/8.349616932275261E-4/0.33030706615314326/0.0/0.33030706615314326/8.349616932275261E-4/8.683557958263394E-4/0.0/","2/4/6/","no"
"3","109091900","753/711063/6483/50/6483/4494307/753/239/6483/364/","1.0048593373602381E-6/0.0/1.613774667888148E-55/0.9739948492632016/1.613774667888148E-55/0.0/1.0048593373602381E-6/0.023939352726852797/1.613774667888148E-55/0.0020637882912707844/","3/","no"
"4","107628500","4494307/186/5283/16776/50/4494307/5283/186/16776/4494307/","0.0/0.0610056807389274/2.406959714536219E-45/3.25034894676187E-143/0.877988638522145/0.0/2.406959714536219E-45/0.0610056807389274/3.25034894676187E-143/0.0/","4/","no"
"5","104435100","149/373066/411/373066/373066/246/373066/373066/149/373066/","0.3706252796782541/0.0/0.06462005798362802/0.0/0.0/0.19412938265986376/0.0/0.0/0.3706252796782541/0.0/","0/8/","no"
"6","106958700","670/1317511/147/562/147/1317511/50/4773/4773/670/","4.044495706713815E-6/0.0/0.11495072448110329/3.3616060061221944E-5/0.11495072448110329/0.0/0.7700568459863188/4.649941945105666E-41/4.649941945105666E-41/4.044495706713815E-6/","6/","no"
"7","106905300","4494307/781/2502/223/794/4494307/4494307/50/2502/223/","0.0/5.582604213004167E-7/1.2346019804026388E-21/0.03151587764215534/4.326476249790493E-7/0.0/0.0/0.936967253807643/1.2346019804026388E-21/0.03151587764215534/","7/","no"
"8","105764700","223/4494307/597/2502/2502/122/4494307/2502/50/4494307/","0.026332251332420467/0.0/1.720528183245568E-5/1.0315387695242687E-21/1.0315387695242687E-21/0.19079253455438233/0.0/1.0315387695242687E-21/0.7828580088313647/0.0/","8/","no"
"9","114494800","215/711063/16776/188/16776/4494307/215/4824/16776/50/","0.034350357453152854/0.0/3.23178704164394E-143/0.05832461340089682/3.23178704164394E-143/0.0/0.034350357453152854/1.9392415421668647E-41/3.23178704164394E-143/0.8729746716927975/","9/","no"
