"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","117401600","596/1523968/153196043/596/153196043/403/9658374/153196043/8989/596/1522442/78072/","0.21680694267108497/0.0/0.0/0.21680694267108497/0.0/0.3495791717808182/0.0/0.0/2.0592677699934627E-10/0.21680694267108497/0.0/1.1231335567655048E-84/","5/","no"
"1","119842900","2502/103/4494307/712589/42222/2502/395/42222/2502/712589/2440/2141/","9.047919674391229E-11/0.9430900860529688/0.0/0.0/1.2287510929932614E-176/9.047919674391229E-11/0.05690991060029911/1.2287510929932614E-176/9.047919674391229E-11/0.0/1.6423097156341738E-10/2.911063624841279E-9/","1/","no"
"2","122159100","17698/45260/50/744/191073762/604/4919/191073762/1770/744/16467/294112/","5.212771830956718E-151/0.0/0.9999783799963052/1.230777151648525E-6/0.0/1.915844938924544E-5/3.44858516634282E-42/0.0/2.255258450528322E-15/1.230777151648525E-6/1.583964077224627E-140/0.0/","2/","no"
"3","123151200","554/76233608/191073762/50/191073762/43578/845/746356/17025/50/16467/1892459/","2.5533334087960856E-5/0.0/0.0/0.499987190866667/0.0/0.0/8.493257816419607E-8/0.0/1.4028816324237656E-145/0.499987190866667/7.919788719913923E-141/0.0/","3/9/","no"
"4","124737700","478056859/518/746966/16768/50/478056859/5090/128/478056859/16768/76174004/6096/","0.0/8.501630145265123E-5/0.0/3.5592497550483296E-143/0.8218503554494274/0.0/9.914692324189422E-44/0.17806462824912/0.0/3.5592497550483296E-143/0.0/2.689104606097487E-52/","4/","no"
"5","120015400","10169/24409196/153196043/5021/153196043/234/1523968/153196043/605/5021/1517427/85443/","3.6147200731112157E-19/0.0/0.0/1.180037793755987E-9/0.0/0.8290236429440431/0.0/0.0/0.17097635469588135/1.180037793755987E-9/0.0/2.7995221081104777E-158/","5/","no"
"6","124016800","107821/478056859/34847/102537/191073762/115515/50/191073762/15448/102537/107821/1892459/","0.0/0.0/4.824248503896289E-297/0.0/0.0/0.0/1.0/0.0/7.535789827576015E-132/0.0/0.0/0.0/","6/","no"
"7","124965100","478056859/518/746966/15536/128/478056859/6916/50/478056859/15536/76174004/6096/","0.0/8.501630145265123E-5/0.0/1.1029368678325394E-132/0.17806462824912/0.0/2.7979095706125805E-59/0.8218503554494274/0.0/1.1029368678325394E-132/0.0/2.689104606097487E-52/","7/","no"
"8","118633100","415/2368056/14902303/1224/14902303/415/1297/14902303/50/1224/1287/137249/","7.782828621899633E-4/0.0/0.0/1.004696301335478E-10/0.0/7.782828621899633E-4/2.4010300963696195E-11/0.0/0.998443434021459/1.004696301335478E-10/2.921146813320619E-11/0.0/","8/","no"
"9","120864400","5021/24409196/61218842/50/61218842/13473/5021/236269/5245/50/5021/601256/","2.3336267042809023E-43/0.0/0.0/0.5/0.0/2.4795078239151563E-115/2.3336267042809023E-43/0.0/2.8876323379804065E-45/0.5/2.3336267042809023E-43/0.0/","3/9/","no"
