"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105147800","50/1798/2185/931925/2554/2096/","0.9999999999999987/1.3024753782204269E-15/6.595394938088723E-19/0.0/4.753270132790319E-22/3.776828419844669E-18/","0/","no"
"1","113917500","2931/60/1981/3115/19701/2008/","3.628114828489634E-21/0.9999999999999654/2.1051527361182157E-14/1.7769614103437023E-22/1.4598102503923711E-140/1.35224351007967E-14/","1/","no"
"2","105024200","2185/112/1798/2537/367102/1981/","1.0784745537669456E-8/0.9999995918827962/3.31262610671749E-7/4.785897299220732E-10/0.0/6.559125767892033E-8/","1/","no"
"3","106338600","476308/476308/73208/50/50/1357/","0.0/0.0/0.0/0.49999999999814615/0.49999999999814615/3.7077415883587385E-12/","3/4/","no"
"4","106585000","2165/778/997/1098/434/312/","0.0012792407127954343/0.10750922017372416/0.05340455819421954/0.038675734802437856/0.32266613358483476/0.47646511253198826/","5/","no"
"5","106211700","2657/6915/363588/5951414/107/50/","4.7533652471476083E-23/2.616192743623424E-59/0.0/0.0/0.24644799076279764/0.7535520092372023/","5/","no"
"0","103877900","50/1981/2374/931925/2468/1912/","0.9999999999999999/3.600963623576086E-17/1.6210505211115317E-20/0.0/2.5664464735684403E-21/1.3931363417249154E-16/","0/","no"
"1","108591700","2994/50/1975/3115/20026/2071/","8.514088157484244E-26/1.0/4.05053326039071E-17/7.938769553307526E-27/7.812901394024829E-171/6.166187227492802E-18/","1/","no"
"2","103546900","2185/112/1798/2537/367102/1981/","1.0784745537669456E-8/0.9999995918827962/3.31262610671749E-7/4.785897299220732E-10/0.0/6.559125767892033E-8/","1/","no"
"3","107720000","1185589/456342/66135/140/140/1651/","0.0/0.0/2.6766213533373817E-204/0.4999944550197996/0.4999944550197996/1.1089960400814387E-5/","3/4/","no"
"4","106384900","963/766/841/2649/434/361/","0.07288535132352389/0.12559803032515005/0.10209505094230831/6.917221739046548E-4/0.3142577922834086/0.3844720529517044/","4/5/","no"
"5","106874900","3121/8074/56786/2689/50724/50/","7.057643658172625E-27/4.688150163644368E-69/0.0/3.3681347336990856E-23/0.0/1.0/","5/","no"
