"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99396300","50/1317511/1317511/1317511/1317511/1317511/80624/1317511/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","112481600","2502/50/280941/4494307/4494307/4494307/712589/712589/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/0.0/0.0/0.0/","1/","no"
"2","100641100","4494307/278324/68/4494307/316/316/4494307/316/","0.0/0.0/0.9238321266550595/0.0/0.025389291114980166/0.025389291114980166/0.0/0.025389291114980166/","2/","no"
"3","103779500","4494307/4494307/108163/50/283/283/4494307/283/","0.0/0.0/0.0/0.9698224622704641/0.010059179243178583/0.010059179243178583/0.0/0.010059179243178583/","3/","no"
"4","102457700","14902303/14902303/931925/14902303/50/405/14902303/405/","0.0/0.0/0.0/0.0/0.9981068857253993/9.465571373003857E-4/0.0/9.465571373003857E-4/","4/","no"
"5","103349400","14902303/14902303/364198/283/283/50/14902303/254/","0.0/0.0/0.0/0.009982278378303074/0.009982278378303074/0.9624083199909267/0.0/0.017627123252467146/","5/","no"
"6","100415500","278324/4494307/4494307/4494307/4494307/4494307/50/4494307/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0/","6/","no"
"7","103197700","1317511/525508/11675/1317511/177/114/525508/50/","0.0/0.0/7.418558975346531E-100/0.0/0.060594928525699775/0.2084095886308891/0.0/0.7309954828434112/","7/","no"
"0","100916000","375/1317511/1317511/1317511/1317511/1317511/80624/1317511/","1.0/0.0/0.0/0.0/0.0/0.0/2.038516136437213E-93/0.0/","0/","no"
"1","104675800","2502/50/711063/4494307/4494307/4494307/6483/6483/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/0.0/1.6568616036408418E-55/1.6568616036408418E-55/","1/","no"
"2","100723900","4494307/278324/50/2130/335/335/4494307/335/","0.0/0.0/0.9888997244736124/1.9175639512600398E-18/0.0037000918421292227/0.0037000918421292227/0.0/0.0037000918421292227/","2/","no"
"3","102709200","4494307/4494307/107919/51/283/283/4494307/283/","0.0/0.0/0.0/0.9665255791265811/0.011158140291139668/0.011158140291139668/0.0/0.011158140291139668/","3/","no"
"4","103004900","14902303/14902303/931925/14902303/50/405/14902303/405/","0.0/0.0/0.0/0.0/0.9981068857253993/9.465571373003857E-4/0.0/9.465571373003857E-4/","4/","no"
"5","102255200","14902303/14902303/364198/283/283/50/14902303/254/","0.0/0.0/0.0/0.009982278378303074/0.009982278378303074/0.9624083199909267/0.0/0.017627123252467146/","5/","no"
"6","100229100","278324/4494307/4494307/4494307/4494307/4494307/50/4494307/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0/","6/","no"
"7","104945100","1317511/525508/11675/1317511/177/114/525508/50/","0.0/0.0/7.418558975346531E-100/0.0/0.060594928525699775/0.2084095886308891/0.0/0.7309954828434112/","7/","no"
"0","103976100","302/1317511/1317511/1317511/1317511/1317511/80624/1317511/","1.0/0.0/0.0/0.0/0.0/0.0/7.469005639420289E-116/0.0/","0/","no"
"1","108657200","2502/50/711063/4494307/4494307/4494307/281551/281551/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/0.0/0.0/0.0/","1/","no"
"2","106415200","4494307/278324/68/4494307/316/316/4494307/316/","0.0/0.0/0.9238321266550595/0.0/0.025389291114980166/0.025389291114980166/0.0/0.025389291114980166/","2/","no"
"3","105703500","4494307/4494307/108163/50/283/283/4494307/283/","0.0/0.0/0.0/0.9698224622704641/0.010059179243178583/0.010059179243178583/0.0/0.010059179243178583/","3/","no"
"4","102200200","14902303/14902303/931925/14902303/50/405/14902303/405/","0.0/0.0/0.0/0.0/0.9981068857253993/9.465571373003857E-4/0.0/9.465571373003857E-4/","4/","no"
"5","109421300","14902303/14902303/364198/283/283/50/14902303/254/","0.0/0.0/0.0/0.009982278378303074/0.009982278378303074/0.9624083199909267/0.0/0.017627123252467146/","5/","no"
"6","100442900","278324/4494307/4494307/4494307/4494307/4494307/50/4494307/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0/","6/","no"
"7","100305500","1317511/525508/11675/1317511/177/114/525508/50/","0.0/0.0/7.418558975346531E-100/0.0/0.060594928525699775/0.2084095886308891/0.0/0.7309954828434112/","7/","no"
"0","107039300","409/1317511/1317511/1317511/1317511/1317511/80624/1317511/","1.0/0.0/0.0/0.0/0.0/0.0/1.0761517044628044E-85/0.0/","0/","no"
"1","107228500","2502/50/711063/4494307/4494307/4494307/6483/6483/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/0.0/1.6568616036408418E-55/1.6568616036408418E-55/","1/","no"
"2","102684900","4494307/278324/50/2319/365/365/4494307/365/","0.0/0.0/0.9938053681815903/4.736468819531498E-20/0.0020648772728032276/0.0020648772728032276/0.0/0.0020648772728032276/","2/","no"
"3","106111600","4494307/4494307/107919/51/283/283/4494307/283/","0.0/0.0/0.0/0.9665255791265811/0.011158140291139668/0.011158140291139668/0.0/0.011158140291139668/","3/","no"
"4","102790400","14902303/14902303/931925/14902303/50/405/14902303/405/","0.0/0.0/0.0/0.0/0.9981068857253993/9.465571373003857E-4/0.0/9.465571373003857E-4/","4/","no"
"5","102657500","14902303/14902303/364198/283/283/50/14902303/254/","0.0/0.0/0.0/0.009982278378303074/0.009982278378303074/0.9624083199909267/0.0/0.017627123252467146/","5/","no"
"6","105071700","278324/4494307/4494307/4494307/4494307/4494307/50/4494307/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0/","6/","no"
"7","102453500","1317511/525508/11675/1317511/177/114/525508/50/","0.0/0.0/7.418558975346531E-100/0.0/0.060594928525699775/0.2084095886308891/0.0/0.7309954828434112/","7/","no"
"0","102216400","11076/1317511/1317511/1317511/1317511/1317511/80624/1317511/","0.9981274788807742/5.997369667857436E-52/5.997369667857436E-52/5.997369667857436E-52/5.997369667857436E-52/5.997369667857436E-52/0.001872521119225762/5.997369667857436E-52/","0/","no"
"1","102102000","2502/50/711063/4494307/4494307/4494307/6483/6483/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/0.0/1.6568616036408418E-55/1.6568616036408418E-55/","1/","no"
"2","101972500","4494307/278324/50/2319/365/365/4494307/365/","0.0/0.0/0.9938053681815903/4.736468819531498E-20/0.0020648772728032276/0.0020648772728032276/0.0/0.0020648772728032276/","2/","no"
"3","103329600","4494307/4494307/107919/51/283/283/4494307/283/","0.0/0.0/0.0/0.9665255791265811/0.011158140291139668/0.011158140291139668/0.0/0.011158140291139668/","3/","no"
"4","100766200","14902303/14902303/931925/14902303/50/405/14902303/405/","0.0/0.0/0.0/0.0/0.9981068857253993/9.465571373003857E-4/0.0/9.465571373003857E-4/","4/","no"
"5","101246900","14902303/14902303/364198/283/283/50/14902303/254/","0.0/0.0/0.0/0.009982278378303074/0.009982278378303074/0.9624083199909267/0.0/0.017627123252467146/","5/","no"
"6","99907600","278324/4494307/4494307/4494307/4494307/4494307/50/4494307/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0/","6/","no"
"7","101559500","1317511/525508/11675/1317511/177/114/525508/50/","0.0/0.0/7.418558975346531E-100/0.0/0.060594928525699775/0.2084095886308891/0.0/0.7309954828434112/","7/","no"
"0","100452800","128/1317511/1317511/1317511/1317511/1317511/80624/1317511/","1.0/0.0/0.0/0.0/0.0/0.0/1.0005603583284803E-271/0.0/","0/","no"
"1","103448100","2502/50/711063/4494307/4494307/4494307/6483/6483/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/0.0/1.6568616036408418E-55/1.6568616036408418E-55/","1/","no"
"2","103617700","4494307/278324/50/2319/365/365/4494307/365/","0.0/0.0/0.9938053681815903/4.736468819531498E-20/0.0020648772728032276/0.0020648772728032276/0.0/0.0020648772728032276/","2/","no"
