"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","124861300","188/568196/463537580/2147483647/1174886586/2147483647/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","127249200","5125746/82/21496/2147483647/1572665005/2147483647/","0.0/1.0/8.954135640771536E-113/0.0/0.0/0.0/","1/","no"
"2","118980300","2228338/5615712/39149/960/5797843/234390286/","0.0/0.0/5.516358431781089E-18/1.0/0.0/0.0/","3/","no"
"3","120827600","682183/11916807/682183/50/11916807/76174004/","0.0/0.0/0.0/1.0/0.0/0.0/","3/","no"
"4","118949900","50/1286209/156530707/1005298862/50/2147483647/","0.5/0.0/0.0/0.0/0.5/0.0/","0/4/","no"
"5","122950700","304547/5670385/304547/722/5670385/64/","0.0/0.0/0.0/4.014080882532224E-5/0.0/0.9999598591911747/","5/","no"
"0","119402800","64/537926/71209976/465673244/182721308/2147483647/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","122036200","35567335/50/145613/2147483647/2147483647/2147483647/","0.0/1.0/0.0/0.0/0.0/0.0/","1/","no"
"2","127074300","304547/5670385/37844/747/5670385/37166506/","4.087072075056717E-177/0.0/2.892011439259881E-22/1.0/0.0/0.0/","3/","no"
"3","118729600","94418/1839584/94418/759/1839584/76174004/","3.016413991732458E-54/0.0/3.016413991732458E-54/1.0/0.0/0.0/","3/","no"
"4","118944200","50/1286209/156530707/1005298862/50/2147483647/","0.5/0.0/0.0/0.0/0.5/0.0/","0/4/","no"
"5","126715600","2155485/36824800/2155485/514/36824800/50/","0.0/0.0/0.0/1.1187245900815378E-4/0.0/0.9998881275409918/","5/","no"
"0","119301200","340/463537580/4524/28075784/2147483647/2147483647/","0.9999953086933585/0.0/4.6913066414244085E-6/0.0/0.0/0.0/","0/","no"
"1","123588500","11945988/50/48932/2147483647/2147483647/2147483647/","0.0/1.0/0.0/0.0/0.0/0.0/","1/","no"
"2","123095600","14449899/36824800/787/611/36824800/234390286/","0.0/0.0/0.4285960099163076/0.5714039900836925/0.0/0.0/","3/","no"
"3","123039100","682183/11916807/682183/50/11916807/76174004/","0.0/0.0/0.0/1.0/0.0/0.0/","3/","no"
"4","118698100","388/199524/156530707/1005298862/397743778/2147483647/","1.0/4.752819155770085E-223/0.0/0.0/0.0/0.0/","0/","no"
"5","123811100","2155485/36824800/2155485/987/36824800/329/","0.0/0.0/0.0/0.1198407167715848/0.0/0.8801592832284153/","5/","no"
"0","112672200","152/2147483647/28363416/28363416/2147483647/2147483647/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","121180800","1775085/229/5460/2147483647/2147483647/2147483647/","0.0/0.9999999998673726/1.3262728886096709E-10/0.0/0.0/0.0/","1/","no"
"2","128838500","5615712/131516/814132/641/14449899/234390286/","0.0/2.9297968599611728E-89/0.0/1.0/0.0/0.0/","3/","no"
"3","121135500","682183/11916807/682183/50/11916807/76174004/","0.0/0.0/0.0/1.0/0.0/0.0/","3/","no"
"4","114745700","113/172636/24327388/160290380/62696974/2147483647/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"5","134825800","2155485/36824800/2155485/514/36824800/50/","0.0/0.0/0.0/1.1187245900815378E-4/0.0/0.9998881275409918/","5/","no"
"0","119659200","203/2147483647/33850/181867042/2147483647/2147483647/","1.0/0.0/2.3393010443801985E-72/0.0/0.0/0.0/","0/","no"
"1","123710400","1682755/78/7122/1370491557/539326604/2147483647/","0.0/1.0/1.889404433273663E-39/0.0/0.0/0.0/","1/","no"
"2","120795200","14449899/36824800/21298/14449899/36824800/234390286/","6.244431982285849E-295/0.0/1.0/6.244431982285849E-295/0.0/0.0/","2/","no"
"3","120690700","210600/3793268/210600/2568/3793268/24385354/","6.788642324906923E-36/0.0/6.788642324906923E-36/1.0/0.0/0.0/","3/","no"
"4","142076100","50/1286209/156530707/1005298862/397743778/2147483647/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"5","117762100","309278/5635880/309278/741/5744310/83/","0.0/0.0/0.0/3.961452753285982E-4/0.0/0.9996038547246714/","5/","no"
"0","113041000","1261/2147483647/181867042/181867042/2147483647/2147483647/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","118033300","6029577/675/19135/1600019736/2147483647/2147483647/","0.0/0.9999999999986183/1.3817195970033707E-12/0.0/0.0/0.0/","1/","no"
"2","124222600","5615712/18895/301048/971/36824800/234390286/","0.0/9.805432894282458E-9/8.396325156462256E-135/0.9999999901945672/0.0/0.0/","3/","no"
"3","119064700","253666/112223/682183/1137/11916807/76174004/","4.240913206700128E-97/4.039192368667952E-43/1.237910287161465E-260/1.0/0.0/0.0/","3/","no"
"4","118569500","50/1286209/156530707/1005298862/50/2147483647/","0.5/0.0/0.0/0.0/0.5/0.0/","0/4/","no"
"5","119737900","2155485/36824800/2155485/514/36824800/50/","0.0/0.0/0.0/1.1187245900815378E-4/0.0/0.9998881275409918/","5/","no"
"0","117362000","302/468560966/4427/27435462/468560966/2147483647/","0.9999987765827737/0.0/1.2234172263045103E-6/0.0/0.0/0.0/","0/","no"
"1","118714900","35567335/50/120895/2147483647/2147483647/2147483647/","0.0/1.0/0.0/0.0/0.0/0.0/","1/","no"
"2","124522300","14449899/36824800/787/611/36824800/234390286/","0.0/0.0/0.4285960099163076/0.5714039900836925/0.0/0.0/","3/","no"
"3","119544500","682183/11916807/682183/50/11916807/76174004/","0.0/0.0/0.0/1.0/0.0/0.0/","3/","no"
"4","118298000","65/167973/23872060/157444578/61558653/1011010552/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"5","124047000","814132/352500/2155485/887/36824800/229/","0.0/0.0/0.0/0.05412216760160778/0.0/0.9458778323983923/","5/","no"
"0","114835300","1261/2147483647/181867042/181867042/2147483647/2147483647/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","122493400","1949812/515/5861/550119485/2147483647/2147483647/","0.0/0.9999683412749857/3.16587250143488E-5/0.0/0.0/0.0/","1/","no"
"2","125216300","2155485/36824800/301048/6359/36824800/234390286/","1.7631739901483224E-147/0.0/7.534846989239503E-21/1.0/0.0/0.0/","3/","no"
"3","121843600","682183/11916807/682183/50/11916807/76174004/","0.0/0.0/0.0/1.0/0.0/0.0/","3/","no"
"4","119894300","50/1286209/156530707/1005298862/50/2147483647/","0.5/0.0/0.0/0.0/0.5/0.0/","0/4/","no"
"5","119698800","2155485/36824800/2155485/987/36824800/388/","0.0/0.0/0.0/0.17655769809393435/0.0/0.8234423019060656/","5/","no"
