"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99383400","50/25963/3989/94/25963/231/","0.6892963253579063/1.493589548826316E-221/1.9748945886026035E-34/0.29088446500520404/1.493589548826316E-221/0.0198192096368896/","0/","no"
"1","104567200","25963/50/112/10317/1468/1468/","1.6712853944723846E-221/0.7713035230726007/0.22869647692610165/2.8693610804466817E-88/6.488369924752227E-13/6.488369924752227E-13/","1/","no"
"2","100961600","25963/214/157/571/4028/571/","6.332989912542988E-72/0.37832570516453484/0.5426773650438464/0.03949846488959648/1.242587272684006E-11/0.03949846488959648/","2/","no"
"3","100296100","108/25963/193/50/1535/168/","0.21666417840328314/1.4639152856029572E-221/0.04092257730922516/0.6756015585368358/1.5277672608429818E-13/0.0668116857505033/","3/","no"
"4","102330100","1317511/606/525508/207616/1442/595/","0.0/0.4415861858317158/0.0/6.31758682276709E-152/0.10860187240301006/0.44981194176527406/","1/5/","no"
"5","101532700","1317511/30903/1561/554/30484/50/","0.0/1.8571518989057417E-263/1.3581237638748747E-13/5.106536864391028E-5/6.86870146141958E-260/0.9999489346312204/","5/","no"
"0","100135900","68/25963/10317/94/25963/228/","0.5604021283852877/5.783444919683642E-164/1.7379365070847031E-65/0.38446125561119504/5.783444919683642E-164/0.055136616003517366/","0/","no"
"1","98979500","25963/502/508/25963/25963/25963/","5.2276723870871346E-23/0.502982071996669/0.49701792800333106/5.2276723870871346E-23/5.2276723870871346E-23/5.2276723870871346E-23/","1/2/","no"
"2","101710300","25963/102/50/185/4028/185/","1.4421944710724135E-221/0.2400979563824139/0.665577333573927/0.047162355021829694/8.876237929166765E-35/0.047162355021829694/","2/","no"
"3","102766700","113/3989/206/50/3989/214/","0.2110212176904376/2.0794357211731243E-34/0.03407041029921782/0.7257842568887743/2.0794357211731243E-34/0.029124115121570315/","3/","no"
"4","100291300","1317511/565/525508/207616/3787/1803/","0.0/0.8963846097818206/0.0/1.205815917087596E-159/0.003021610802676921/0.10059377941550252/","1/","no"
"5","103867000","1317511/30903/713/554/31465/50/","0.0/1.8571477013547917E-263/2.2602088738709297E-6/5.106525322551785E-5/3.0415262296407357E-268/0.9999466745379005/","5/","no"
"0","101422500","79/25963/3989/83/25963/571/","0.5119376418942769/1.5604053973936027E-141/3.041405035374958E-22/0.4869701484793456/1.5604053973936027E-141/0.0010922096263775323/","0/3/","no"
"1","99112000","25963/61/1468/4028/4028/4028/","3.6557211411845574E-182/0.9999999998605825/1.3941745820613722E-10/1.6298885462577883E-28/1.6298885462577883E-28/1.6298885462577883E-28/","1/","no"
"2","102947300","25963/206/157/592/10317/592/","6.271421923532379E-72/0.3941056561552349/0.5374015704336021/0.03424638670558148/6.360840787764398E-29/0.03424638670558148/","2/","no"
"3","105432400","84/25963/193/50/3989/182/","0.3113238309651104/1.3139151593221255E-221/0.03672944412420442/0.6063760233622973/1.7373206314059036E-34/0.04557070154838782/","3/","no"
"4","100628800","1317511/1803/208227/207616/558/1803/","0.0/0.08870136833151751/3.75317467042199E-162/1.1196769692974085E-161/0.8225972633369649/0.08870136833151751/","4/","no"
"5","101255800","12001/214/30903/3787/703/68/","6.962618166346737E-76/0.10754729936513405/7.434658576346689E-195/3.488978507516093E-24/8.990283734796443E-5/0.892362797797518/","5/","no"
"0","102626200","60/25963/3989/103/25963/231/","0.6431860499951804/2.4536499508789287E-185/6.846998502709927E-29/0.31782979269925016/2.4536499508789287E-185/0.03898415730556936/","0/","no"
"1","98493800","25963/83/10317/3989/502/502/","1.5490149871954005E-134/0.9865461932966983/1.209408583527467E-53/6.301210915261159E-21/0.006726903351650761/0.006726903351650761/","1/","no"
"2","98872100","598/108/68/193/10317/10317/","2.6766948175896925E-4/0.3248770940855921/0.5800748133101019/0.09478042312254699/1.7989460493248844E-65/1.7989460493248844E-65/","2/","no"
"3","104352500","112/1484/535/79/1484/185/","0.3427987889852396/1.2214871831814036E-8/0.0017326354901246329/0.5178282657568376/1.2214871831814036E-8/0.1376402853380545/","3/","no"
"4","101437500","1317511/11794/208227/207616/1173/1557/","0.0/6.842073883462835E-5/1.4766806973587435E-77/2.4849181641989815E-77/0.581010646211895/0.4189209330492703/","4/","no"
"5","103125900","12001/210/30582/3787/703/72/","9.34064326749016E-72/0.13117753711103508/2.676443273100958E-182/6.87748828674777E-23/1.5306800078905843E-4/0.8686693948881758/","5/","no"
"0","103919800","54/25963/1484/108/25963/216/","0.7006689684866444/1.8248486644716036E-205/3.579780139199567E-12/0.2624911497251953/1.8248486644716036E-205/0.03683988178458057/","0/","no"
"1","100081700","25963/72/10317/3989/203/203/","6.975918615711617E-155/0.7505173448233533/8.421748736027438E-62/3.734132271863328E-24/0.1247413275883234/0.1247413275883234/","1/","no"
"2","98163700","25963/228/157/535/1551/535/","6.408517020368618E-72/0.35037475454781597/0.5491493241706118/0.05019750550159704/8.091027837835156E-5/0.05019750550159704/","2/","no"
"3","105656600","103/25963/193/60/3989/182/","0.2835880879354291/2.189303564411432E-185/0.06485233748899127/0.5738917694146828/6.109330396592602E-29/0.07766780516089691/","3/","no"
"4","104308600","1317511/30484/208227/207616/11076/1625/","0.0/1.9527380692334958E-8/6.555332621470808E-56/9.545287877788397E-56/0.0029812611663910162/0.9970187193062283/","5/","no"
"5","99726500","31001/703/11833/4075/703/3854/","1.0092812440834371E-19/0.49512426341854715/6.740102566125346E-8/0.0041166348309379696/0.49512426341854715/0.005634770930942042/","1/4/","no"
"0","104569300","50/25963/4028/228/25963/98/","0.7038964859152375/1.5252256484505133E-221/9.387267821965362E-35/0.021465247453958565/1.5252256484505133E-221/0.274638266630804/","0/","no"
"1","98792400","25963/64/1468/10317/10317/10317/","9.058036134788248E-174/0.9999999995838602/4.1613973924924255E-10/3.126486586362792E-69/3.126486586362792E-69/3.126486586362792E-69/","1/","no"
"2","101607100","25963/206/157/592/10317/592/","6.271421923532379E-72/0.3941056561552349/0.5374015704336021/0.03424638670558148/6.360840787764398E-29/0.03424638670558148/","2/","no"
"3","103431700","103/25963/193/60/3989/228/","0.2957524400357969/2.2832125138527595E-185/0.06763414216030596/0.5985085352368524/6.371386700094861E-29/0.038104882567044765/","3/","no"
"4","103394700","1317511/30903/525508/207616/11076/1625/","0.0/1.5091475474826194E-8/1.1825349268189961E-140/9.54528792013039E-56/0.002981261179615608/0.9970187237289089/","5/","no"
"5","102005800","4616/713/4600/4246/703/4231/","0.0019211730496367255/0.49125829755553635/0.001965336024541526/0.003249509768973348/0.49828619424476395/0.0033194893565480304/","1/4/","no"
"0","100930600","79/25963/3989/83/25963/571/","0.5119376418942769/1.5604053973936027E-141/3.041405035374958E-22/0.4869701484793456/1.5604053973936027E-141/0.0010922096263775323/","0/3/","no"
