"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","92834000","502/25963/25963/","1.0/1.03933572946945E-22/1.03933572946945E-22/","0/","no"
"1","98102600","148646/246/103/","0.0/0.20181322226037882/0.7981867777396212/","2/3/5/","no"
"2","94734500","101165/6128/83/","0.0/5.575808122354844E-32/1.0/","2/3/5/","no"
"3","87328400","373066/22942/331/","0.0/2.643572185403759E-30/1.0/","2/3/5/","no"
"4","91651200","101165/895/155/","6.173874394406526E-282/0.008632169747422067/0.9913678302525779/","2/3/5/","no"
"5","88935100","101165/6128/94/","0.0/2.6028139029203537E-28/1.0/","2/3/5/","no"
"0","90989200","97/25963/25963/","1.0/2.3596426406329447E-115/2.3596426406329447E-115/","0/","no"
"1","91822400","148646/246/137/","0.0/0.31219978901659606/0.6878002109834039/","2/3/5/","no"
"2","92552200","15809/101165/97/","2.350024837709538E-70/0.0/1.0/","2/3/5/","no"
"3","91995600","58441/373066/403/","4.0732655209034137E-63/0.0/1.0/","2/3/5/","no"
"4","92299300","101165/145/812/","3.1581443654914678E-301/0.9897329269299694/0.010267073070030696/","1/4/","no"
"5","88883700","101165/6128/112/","0.0/7.561761598784622E-24/1.0/","2/3/5/","no"
"0","92608200","203/25963/25963/","1.0/1.4443657686019753E-55/1.4443657686019753E-55/","0/","no"
"1","91108600","148646/246/140/","0.0/0.3204350849823294/0.6795649150176707/","2/3/5/","no"
"2","92468000","299/101165/55/","0.012652804483989626/0.0/0.9873471955160104/","2/3/5/","no"
"3","96255900","58441/373066/411/","6.7582312237350634E-62/0.0/1.0/","2/3/5/","no"
"4","88849300","101165/155/895/","6.173874394406526E-282/0.9913678302525779/0.008632169747422067/","1/4/","no"
"5","93451100","101165/40251/255/","6.455603381420456E-172/1.4069318261179164E-68/1.0/","2/3/5/","no"
"0","91207500","203/25963/25963/","1.0/1.4443657686019753E-55/1.4443657686019753E-55/","0/","no"
"1","94806400","148646/292/72/","0.0/0.04681083744635436/0.9531891625536457/","2/3/5/","no"
"2","91660400","40251/2335/2335/","4.465446168876072E-8/0.49999997767276916/0.49999997767276916/","1/2/3/4/5/","no"
"3","90023500","373066/22942/322/","0.0/3.8542565327092035E-31/1.0/","2/3/5/","no"
"4","90395100","101165/2335/155/","6.2276270612365294E-282/8.531249412101411E-7/0.9999991468750588/","2/3/5/","no"
"5","92497800","101165/6128/115/","0.0/3.074831928330863E-23/1.0/","2/3/5/","no"
"0","91026100","1468/25963/25963/","0.9999998853591353/5.732043231377761E-8/5.732043231377761E-8/","0/","no"
"1","90143300","148646/246/113/","0.0/0.2374580283439025/0.7625419716560975/","2/3/5/","no"
"2","91518200","40251/244/97/","9.268527214334302E-179/0.18242552380635638/0.8175744761936437/","2/3/5/","no"
"3","91307100","373066/58686/348/","0.0/2.537346031679064E-73/1.0/","2/3/5/","no"
"4","89038300","101165/141/832/","1.05601345764043E-309/0.992356275317889/0.007643724682111138/","1/4/","no"
"5","90745700","101165/15809/122/","0.0/4.088506898094409E-56/1.0/","2/3/5/","no"
"0","92112400","54/4028/4028/","1.0/4.1710905369138125E-32/4.1710905369138125E-32/","0/","no"
"1","91507400","58686/320/98/","8.741159185644559E-258/0.09600494042300449/0.9039950595769956/","2/3/5/","no"
"2","92224100","308/101165/51/","0.007087515355216834/0.0/0.9929124846447832/","2/3/5/","no"
"3","98216700","373066/148646/390/","0.0/2.1280048386878752E-165/1.0/","2/3/5/","no"
"4","94691900","101165/151/343/","1.8819126691267422E-289/0.7795692427463742/0.22043075725362585/","1/4/","no"
"5","89530200","101165/40251/269/","5.1165545298797495E-163/4.886858009512802E-65/1.0/","2/3/5/","no"
"0","91704300","78/25963/502/","0.9953539851517411/4.9867460802054445E-143/0.004646014848258946/","0/","no"
"1","93192900","148646/246/113/","0.0/0.2374580283439025/0.7625419716560975/","2/3/5/","no"
"2","93155700","101165/101165/93/","0.0/0.0/1.0/","2/3/5/","no"
"3","90516500","58441/373066/411/","6.7582312237350634E-62/0.0/1.0/","2/3/5/","no"
"4","89831400","101165/15712/151/","2.414041711672565E-289/3.460209667344397E-45/1.0/","2/3/5/","no"
"5","90640500","101165/2351/107/","0.0/9.4694720055676E-10/0.9999999990530528/","2/3/5/","no"
"0","90337000","50/25963/25963/","1.0/2.1668323098208784E-221/2.1668323098208784E-221/","0/","no"
"1","90939500","148646/246/148/","0.0/0.3412523901848934/0.6587476098151066/","2/3/5/","no"
"2","91336100","40251/6089/6089/","0.001828058650999381/0.4990859706745003/0.4990859706745003/","1/2/3/4/5/","no"
"3","92322000","58441/373066/368/","4.4770646630869376E-69/0.0/1.0/","2/3/5/","no"
"4","90074300","101165/151/2268/","2.4140395536755434E-289/0.9999991060647333/8.939352668112665E-7/","1/4/","no"
"5","93219300","101165/2351/234/","2.97330168001187E-187/1.223489934672734E-4/0.9998776510065327/","2/3/5/","no"
"0","93273100","1468/25963/25963/","0.9999998853591353/5.732043231377761E-8/5.732043231377761E-8/","0/","no"
"1","89088900","148646/246/115/","0.0/0.24428839677943084/0.7557116032205692/","2/3/5/","no"
"2","91764800","15809/5961/5961/","0.08746865935913632/0.45626567032043186/0.45626567032043186/","1/2/3/4/5/","no"
"3","91998100","22523/373066/103/","2.3775621702500534E-94/0.0/1.0/","2/3/5/","no"
"4","88602200","101165/101165/354/","4.692209798773575E-124/4.692209798773575E-124/1.0/","2/3/5/","no"
"5","91294100","101165/15809/272/","3.141723078772783E-161/1.9204113593697141E-25/1.0/","2/3/5/","no"
"0","91029900","50/25963/25963/","1.0/2.1668323098208784E-221/2.1668323098208784E-221/","0/","yes"
"1","97079300","373066/246/128/","0.0/0.2860331780444577/0.7139668219555424/","2/3/5/","yes"
"2","100317200","6128/101165/102/","3.905391556881495E-26/0.0/1.0/","2/3/5/","yes"
"3","94581700","204/373066/357/","0.6783810003417331/0.0/0.32161899965826685/","0/","yes"
"4","100014900","101165/156/101165/15712/","3.8744328342590785E-280/1.0/3.8744328342590785E-280/9.30862643577065E-44/","1/4/","yes"
"5","104424600","101165/2351/201/753/15809/","7.994297560828422E-218/2.2396542396816673E-5/0.9389062811218485/0.06107132233575468/2.605245251589603E-34/","2/5/","yes"
