"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105180300","80/182/50/320/320/","0.3384980391488722/0.045810728003250645/0.6095698799907041/0.003060676428586554/0.003060676428586554/","2/","no"
"1","103423200","1239/914/154/914/914/","8.912236825946669E-4/0.007254444802457953/0.9773454419100315/0.007254444802457953/0.007254444802457953/","2/","no"
"2","103001700","246/411/50/257/257/","0.020274520747446366/7.977746175793115E-4/0.9462456588627516/0.01634102288611133/0.01634102288611133/","2/","no"
"3","100957700","328/198/2351/198/198/","0.14780956542007959/0.28406158315591595/5.6851121726679885E-6/0.28406158315591595/0.28406158315591595/","1/3/4/5/6/","no"
"4","97840100","282/198/6128/198/198/","0.1793551019940455/0.2735482993353077/3.129643973305803E-14/0.2735482993353077/0.2735482993353077/","1/3/4/5/6/","no"
"5","97848300","400/1092/3410/137/78/","0.011386910695897898/1.7873357786064627E-6/3.2302520759561027E-19/0.3178496382326825/0.6707616637356411/","4/5/","no"
"6","99325700","126/1442/146/1173/1173/","0.5391269069746397/1.7038943983823684E-5/0.4605726825230431/1.4168577916662562E-4/1.4168577916662562E-4/","0/2/5/7/","no"
"7","96872400","143/3787/162/3787/3787/","0.5329383387437169/5.452727878972028E-12/0.467061661239925/5.452727878972028E-12/5.452727878972028E-12/","0/2/5/7/","no"
"0","99248200","109/1239/914/113/113/","0.34138115647883294/1.179915147802049E-5/2.2646107475981142E-4/0.32919029164746455/0.32919029164746455/","0/3/4/5/6/7/","no"
"1","96138900","204/109/8881/152/152/","0.15196420141140696/0.3604240805627516/8.390791571616788E-36/0.2438058590129207/0.2438058590129207/","1/5/","no"
"2","98129200","246/1056/109/257/257/","0.15911348356506702/1.0086032067930293E-4/0.552841988826809/0.14397183364372232/0.14397183364372232/","2/","no"
"3","100097000","832/691/73/691/691/","3.509331744324875E-5/2.3590192143823792E-4/0.999257200918242/2.3590192143823792E-4/2.3590192143823792E-4/","2/","no"
"4","100651800","1239/1098/103/914/914/","1.8020770039685188E-5/6.991597854037267E-5/0.9990917615802042/4.101508356078043E-4/4.101508356078043E-4/","2/","no"
"5","97345000","280/93/901/111/111/","0.04905376130758546/0.35862546407134416/6.630658187925085E-5/0.29612723401959556/0.29612723401959556/","1/3/4/5/6/","no"
"6","97530400","180/3787/173/302/302/","0.32969789123297866/3.275227549793891E-10/0.34323201226594/0.1635350480867793/0.1635350480867793/","0/2/5/7/","no"
"7","98079400","194/11076/152/128/128/","0.17479937563907355/4.045187887941394E-38/0.24206838931430918/0.29156611752330863/0.29156611752330863/","2/3/4/5/6/","no"
"0","101985100","50/411/109/257/257/","0.7408214332432861/6.245825595760466E-4/0.23296701345277607/0.012793485372180948/0.012793485372180948/","0/5/7/","no"
"1","98378200","1239/914/154/914/914/","8.912236825946669E-4/0.007254444802457953/0.9773454419100315/0.007254444802457953/0.007254444802457953/","2/","no"
"2","97991500","109/1239/914/113/113/","0.34138115647883294/1.179915147802049E-5/2.2646107475981142E-4/0.32919029164746455/0.32919029164746455/","0/3/4/5/6/7/","no"
"3","103492500","115/122/6128/79/50/","0.13379127800503546/0.11663227735095355/8.360973135996395E-53/0.2710120572811002/0.4785643873629108/","4/5/","no"
"4","96160800","282/198/6128/198/198/","0.1793551019940455/0.2735482993353077/3.129643973305803E-14/0.2735482993353077/0.2735482993353077/","1/3/4/5/6/","no"
"5","101421900","3395/246/3410/1029/1029/","2.6801053345285727E-6/0.9225011965138584/2.5221894476418423E-6/0.03874680059567969/0.03874680059567969/","1/5/","no"
"6","98760100","102/1625/146/1442/1173/","0.6051890183966481/2.2921114912550134E-7/0.39479094448103336/1.3547099568798252E-6/1.845320121257518E-5/","0/5/7/","no"
"7","98847700","115/1356/146/1625/1442/","0.5664041324617859/1.279158144937699E-5/0.43357572295176966/1.2583756694182742E-6/6.094629325568311E-6/","0/5/7/","no"
"0","98298800","246/411/50/257/257/","0.020274520747446366/7.977746175793115E-4/0.9462456588627516/0.01634102288611133/0.01634102288611133/","2/","no"
"1","97900900","1092/64/3328/282/282/","1.2650938806051957E-7/0.9346672436038461/1.4534248374421482E-22/0.03266631494338285/0.03266631494338285/","1/5/","no"
"2","98380200","61/182/60/320/320/","0.45813843444656827/0.0630271029656278/0.4657107995661023/0.006561831510850882/0.006561831510850882/","0/2/5/7/","no"
"3","95354700","115/122/6128/79/50/","0.13379127800503546/0.11663227735095355/8.360973135996395E-53/0.2710120572811002/0.4785643873629108/","4/5/","no"
"4","98730900","832/691/6128/691/50/","2.19187017259377E-7/3.4794558925945764E-6/1.7470821776307377E-52/3.4794558925945764E-6/0.9999928219011976/","4/5/","no"
"5","102108900","22425/282/1035/64/64/","1.938487608436388E-150/0.017174708698451058/1.598655341815007E-7/0.49141256571800734/0.49141256571800734/","3/4/5/6/","no"
"6","99127300","180/3787/173/302/302/","0.32969789123297866/3.275227549793891E-10/0.34323201226594/0.1635350480867793/0.1635350480867793/","0/2/5/7/","no"
"7","100797200","161/3787/103/79/79/","0.11575518306077717/2.3941042293291645E-21/0.23900332644790048/0.32262074524566114/0.32262074524566114/","3/4/5/6/","no"
"0","103203900","246/1056/50/257/257/","0.020290708107272022/2.568496400030897E-9/0.9470011499125417/0.01635406970584492/0.01635406970584492/","2/","no"
"1","98691900","832/79/6128/2111/691/","8.165091068331021E-5/0.9994425703121207/1.450996386712517E-33/9.304177853266602E-12/4.7577876789201137E-4/","1/5/","no"
"2","98363900","93/484/246/97/97/","0.31962342245514486/0.0049906643137096205/0.0627704187519964/0.3063077472395746/0.3063077472395746/","0/3/4/5/6/7/","no"
"3","101691700","1124/914/22942/50/50/","3.5746962148112693E-10/2.1953842112269E-8/5.759127145138441E-196/0.4999999888443441/0.4999999888443441/","3/4/5/6/","no"
"4","96934800","126/93/6128/50/50/","0.0848475336717016/0.16205159105976583/6.57869280820578E-53/0.3765504376342663/0.3765504376342663/","3/4/5/6/","no"
"5","99757400","132/2884/1062/2884/93/","0.3977313179772522/7.67230410514459E-14/2.0083828812524997E-5/7.67230410514459E-14/0.6022485981937818/","4/5/","no"
"6","98559700","432/3787/414/50/50/","2.790778556778406E-4/7.515552806043101E-33/3.971968382218382E-4/0.4996618626530502/0.4996618626530502/","3/4/5/6/","no"
"7","98330200","466/152/361/302/302/","0.060190874224509354/0.4686275570649037/0.11955724085687199/0.17581216392685756/0.17581216392685756/","1/5/","no"
"0","97662900","246/1056/246/257/257/","0.2531300793444333/0.009531015569179957/0.2531300793444333/0.2421044128709767/0.2421044128709767/","0/2/3/4/5/6/7/","no"
"1","97370500","484/246/126/292/292/","0.029991623349888752/0.19537755557876474/0.502610621903796/0.13601009958377527/0.13601009958377527/","2/","no"
