"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","89130000","79/97/","0.55601389054462/0.44398610945538003/","0/","no"
"1","87537900","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","90306300","8674/8282/","0.48817074575403946/0.5118292542459605/","0/1/2/3/4/","no"
"3","89008800","8674/8674/","0.5/0.5/","0/1/2/3/4/","no"
"4","86559100","8321/8282/","0.4988228924317995/0.5011771075682004/","0/1/2/3/4/","no"
"0","87371900","93/68/","0.4103983561505107/0.5896016438494892/","1/2/3/4/","no"
"1","91736100","123/68/","0.3106458881506613/0.6893541118493388/","1/2/3/4/","no"
"2","87611000","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"3","85787300","8321/8282/","0.4988228924317995/0.5011771075682004/","0/1/2/3/4/","no"
"4","90055600","3787/3787/","0.5/0.5/","0/1/2/3/4/","no"
"0","92419300","54/50/","0.48040220212170437/0.5195977978782956/","0/1/2/3/4/","no"
"1","87019900","97/97/","0.5/0.5/","0/1/2/3/4/","no"
"2","88266400","8674/8674/","0.5/0.5/","0/1/2/3/4/","no"
"3","83708700","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","86850000","11076/11076/","0.5/0.5/","0/1/2/3/4/","no"
"0","91561700","78/50/","0.3660918973606951/0.6339081026393049/","1/2/3/4/","no"
"1","91582700","51/79/","0.6314544598531285/0.36854554014687146/","0/","no"
"2","81985500","148646/148646/","0.5/0.5/","0/1/2/3/4/","no"
"3","90246700","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","90897800","81670/80624/","0.496756634639527/0.503243365360473/","0/1/2/3/4/","no"
"0","88207700","122/68/","0.31375792494491594/0.6862420750550839/","1/2/3/4/","no"
"1","89763800","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","86978700","22523/3041/","0.001651630583670713/0.9983483694163293/","1/2/3/4/","no"
"3","86482300","8321/8282/","0.4988228924317995/0.5011771075682004/","0/1/2/3/4/","no"
"4","86976700","3787/3787/","0.5/0.5/","0/1/2/3/4/","no"
"0","92397700","50/68/","0.5873306243819909/0.41266937561800915/","0/","no"
"1","87227900","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","84742700","8282/8282/","0.5/0.5/","0/1/2/3/4/","no"
"3","82690500","58686/148646/","0.8224269819592961/0.17757301804070386/","0/","no"
"4","87064000","11636/11076/","0.48736389007696107/0.512636109923039/","0/1/2/3/4/","no"
"0","85856200","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"1","86328700","51/50/","0.4950981962633707/0.5049018037366292/","0/1/2/3/4/","no"
"2","86711100","22425/22425/","0.5/0.5/","0/1/2/3/4/","no"
"3","85941000","8674/8842/","0.5048413472510851/0.4951586527489149/","0/1/2/3/4/","no"
"4","89830600","11675/207616/","0.999999948491433/5.150856695156652E-8/","0/","no"
"0","86828900","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"1","86688500","65/55/","0.45547539583056906/0.5445246041694309/","0/1/2/3/4/","no"
"2","87656200","8282/8674/","0.5118292542459605/0.48817074575403946/","0/1/2/3/4/","no"
"3","84491700","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","86498500","3803/3787/","0.49894403536087667/0.5010559646391234/","0/1/2/3/4/","no"
"0","88009600","93/93/","0.5/0.5/","0/1/2/3/4/","no"
"1","90810300","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","88937800","22425/22425/","0.5/0.5/","0/1/2/3/4/","no"
"3","86974800","58686/148646/","0.8224269819592961/0.17757301804070386/","0/","no"
"4","82188900","81915/525508/","0.9955713325047729/0.004428667495227055/","0/","no"
"0","88972400","50/50/","0.5/0.5/","0/1/2/3/4/","yes"
"1","89715200","50/50/","0.5/0.5/","0/1/2/3/4/","yes"
"2","84711900","22425/373066/","0.9999998379673409/1.6203265909709733E-7/","0/","yes"
"3","94404200","5922/5922/60/","1.8408239126501917E-42/1.8408239126501917E-42/1.0/","2/","yes"
"4","92401000","525508/1317511/207616/80624/","0.003314695723833404/1.795732794086642E-7/0.1709228599590527/0.8257622647438345/","3/","yes"
