"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","93499500","50/68/","0.5873306243819909/0.41266937561800915/","0/","no"
"1","97278900","79/79/","0.5/0.5/","0/1/2/3/4/","no"
"2","91384300","22844/22844/","0.5/0.5/","0/1/2/3/4/","no"
"3","85146800","8674/8282/","0.48817074575403946/0.5118292542459605/","0/1/2/3/4/","no"
"4","84880800","80624/207616/","0.8285086676597035/0.17149133234029654/","0/","no"
"0","87149600","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"1","87487800","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","84955400","8282/8282/","0.5/0.5/","0/1/2/3/4/","no"
"3","83239400","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","83637100","22425/58441/","0.8328543297937132/0.16714567020628687/","0/","no"
"0","87654200","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"1","87729300","122/50/","0.19595586512068833/0.8040441348793117/","1/2/3/4/","no"
"2","83094800","148646/58441/","0.17602761703813694/0.823972382961863/","1/2/3/4/","no"
"3","82468600","101165/40251/","0.18044786591944886/0.8195521340805512/","1/2/3/4/","no"
"4","81343500","1317511/525508/","0.1813666013804741/0.8186333986195259/","1/2/3/4/","no"
"0","89863300","93/79/","0.45636131276292113/0.543638687237079/","0/1/2/3/4/","no"
"1","87062300","122/50/","0.19595586512068833/0.8040441348793117/","1/2/3/4/","no"
"2","85249700","22844/2951/","0.0011826418584361164/0.9988173581415638/","1/2/3/4/","no"
"3","84149900","148646/58441/","0.17602761703813694/0.823972382961863/","1/2/3/4/","no"
"4","84345700","81670/81670/","0.5/0.5/","0/1/2/3/4/","no"
"0","87059500","54/113/","0.745115221613769/0.25488477838623097/","0/","no"
"1","86933100","132/72/","0.305356714152667/0.6946432858473329/","1/2/3/4/","no"
"2","84629800","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"3","91187700","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","83934800","1317511/80624/","2.1746360668795862E-7/0.9999997825363932/","1/2/3/4/","no"
"0","89494900","97/93/","0.4893633071332232/0.5106366928667769/","0/1/2/3/4/","no"
"1","87055900","50/64/","0.5681997184824406/0.43180028151755934/","0/","no"
"2","86081000","22425/22844/","0.5046707818127519/0.49532921818724807/","0/1/2/3/4/","no"
"3","87758700","8282/22425/","0.8465082512821535/0.15349174871784654/","0/","no"
"4","87436800","80624/80624/","0.5/0.5/","0/1/2/3/4/","no"
"0","87918600","50/119/","0.794610058596843/0.20538994140315708/","0/","no"
"1","85211500","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","84131700","8282/148646/","0.9999999563050844/4.3694915604777214E-8/","0/","no"
"3","85331900","6089/6089/","0.5/0.5/","0/1/2/3/4/","no"
"4","85574600","22844/22844/","0.5/0.5/","0/1/2/3/4/","no"
"0","87776300","50/79/","0.6384464063437728/0.36155359365622713/","0/","no"
"1","87090700","109/231/","0.751959589949002/0.24804041005099794/","0/","no"
"2","84426400","8282/8674/","0.5118292542459605/0.48817074575403946/","0/1/2/3/4/","no"
"3","80613000","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","86873100","11076/11244/","0.5037915676566288/0.4962084323433711/","0/1/2/3/4/","no"
"0","87207600","93/82/","0.4669158804745866/0.5330841195254135/","0/1/2/3/4/","no"
"1","86366200","50/188/","0.9373728571100223/0.06262714288997764/","0/","no"
"2","89087000","58441/148646/","0.823972382961863/0.17602761703813694/","0/","no"
"3","84610400","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","79606500","1317511/525508/","0.1813666013804741/0.8186333986195259/","1/2/3/4/","no"
"0","89399800","50/109/","0.7607621919902593/0.23923780800974062/","0/","yes"
"1","88061400","97/97/","0.5/0.5/","0/1/2/3/4/","yes"
"2","85773900","148646/148646/","0.5/0.5/","0/1/2/3/4/","yes"
"3","93401000","58441/148646/50/","0.0/0.0/1.0/","2/","yes"
"4","96816000","22425/148646/2884/3041/","5.871647130696419E-4/5.861889939313536E-23/0.5132999274723911/0.48611290781453925/","2/3/","yes"
