"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","117152000","50/110615/4494307/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42784/4494307/107919/108163/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","115641800","716/50/200/3787/716/12187/1317511/716/1317511/234/451/294/1317511/1317511/716/716/1317511/","1.957623101417677E-6/0.9185527048021663/0.048502862353783184/1.3816206266812745E-32/1.957623101417677E-6/4.0694242190661907E-104/0.0/1.957623101417677E-6/0.0/0.02490219985451373/3.534738348984788E-4/0.007678971039131351/0.0/0.0/1.957623101417677E-6/1.957623101417677E-6/0.0/","1/","no"
"2","116498500","512/181/50/1092/373066/1092/373066/373066/373066/205/3328/215/512/373066/373066/373066/373066/","9.995734531124655E-5/0.06583715519301386/0.8590368317451327/1.1502160651630128E-9/0.0/1.1502160651630128E-9/0.0/0.0/0.0/0.04112417352630006/1.0470004057904351E-28/0.033801922544498826/9.995734531124655E-5/0.0/0.0/0.0/0.0/","2/","no"
"3","109989600","15712/201/98/50/101165/320/101165/101165/101165/101165/201/101165/155/101165/101165/101165/101165/","2.616990254888891E-134/0.03183711092279647/0.23990438848323026/0.6148737322027985/0.0/0.0030873072973009188/0.0/0.0/0.0/0.0/0.03183711092279647/0.0/0.07846035017107728/0.0/0.0/0.0/0.0/","3/","no"
"4","113610200","1830/716/1317511/1317511/50/1317511/234/234/31465/1317511/716/234/1317511/234/716/716/3787/","6.274152801096133E-16/1.9226891192614887E-6/0.0/0.0/0.9021610389213134/0.0/0.024457817580552297/0.024457817580552297/2.7440927932553556E-268/0.0/1.9226891192614887E-6/0.024457817580552297/0.0/0.024457817580552297/1.9226891192614887E-6/1.9226891192614887E-6/1.3569654669193404E-32/","4/","no"
"5","111710000","713/234/234/234/1317511/50/80624/1317511/1317511/80624/234/1317511/3787/1317511/451/716/80624/","2.038481035943556E-6/0.024449420740627607/0.024449420740627607/0.024449420740627607/0.0/0.9018513096576469/0.0/0.0/0.0/0.0/0.024449420740627607/0.0/1.3564995945343034E-32/0.0/3.4704686978365764E-4/1.9220290230486433E-6/0.0/","5/19/","no"
"6","114522200","512/373066/373066/373066/1160/512/50/1098/181/512/373066/152/373066/170/512/3410/474/","8.897534890782885E-5/0.0/0.0/0.0/2.6988273715482606E-10/8.897534890782885E-5/0.7646571804323348/9.102086257815746E-10/0.05860383582774275/8.897534890782885E-5/0.0/0.10348509609271968/0.0/0.07271054533430482/8.897534890782885E-5/1.8669145219994501E-29/1.8743973717536214E-4/","6/","no"
"7","113441800","705/1179/1317511/1317511/1442/1317511/293/50/293/1317511/1179/293/716/293/4549/1179/525508/","2.5570024948327996E-6/2.351511697590334E-10/0.0/0.0/1.3544098681491722E-12/0.0/0.008244215192104503/0.9670185206086426/0.008244215192104503/0.0/2.351511697590334E-10/0.008244215192104503/2.060913636795553E-6/0.008244215192104503/4.7189896580748114E-39/2.351511697590334E-10/0.0/","7/","no"
"8","118382500","211/373066/373066/373066/22844/373066/3238/3238/54/373066/373066/3171/373066/246/373066/58686/54/","0.02757685252151238/0.0/0.0/0.0/5.301725787983156E-181/0.0/3.45585621831525E-26/3.45585621831525E-26/0.478914554603762/0.0/0.0/1.1684370157740022E-25/0.0/0.01459403827096365/0.0/0.0/0.478914554603762/","8/16/","no"
"9","115912200","670/1287/80624/1317511/1317511/670/276/1317511/1317511/50/1317511/80868/276/1317511/670/716/276/","5.071103163930567E-6/2.824819954911225E-11/0.0/0.0/0.0/5.071103163930567E-6/0.011487888398057783/0.0/0.0/0.9655190637500981/0.0/0.0/0.011487888398057783/0.0/5.071103163930567E-6/2.0577179884995765E-6/0.011487888398057783/","9/","no"
"10","113572000","567/128/12187/3787/234/12187/1317511/567/1317511/1317511/50/1317511/716/1317511/234/234/1317511/","3.0489219249536545E-5/0.16691104605883067/3.412943148394363E-104/1.1587370590216377E-32/0.020884967454416026/3.412943148394363E-104/0.0/3.0489219249536545E-5/0.0/0.0/0.770371431320828/0.0/1.6418185943403882E-6/0.0/0.020884967454416026/0.020884967454416026/0.0/","10/","no"
"11","122461000","512/512/512/373066/1092/373066/109/1029/192/373066/373066/50/373066/181/373066/8881/22425/","8.006963483036156E-5/8.006963483036156E-5/8.006963483036156E-5/0.0/9.213668092809544E-10/0.0/0.21639429789259823/3.1689397507739833E-9/0.04250625392935586/0.0/0.0/0.6881211701800221/0.0/0.05273806500322634/0.0/4.3310672311054146E-76/2.0026518527603917E-191/","11/","no"
"12","111864900","703/1317511/294/290/1317511/1199/11962/716/1317511/11962/716/1317511/54/1317511/1199/1317511/11962/","7.3112212019945595E-6/0.0/0.012403995969302872/0.013339718642711272/0.0/8.86019587977733E-10/9.119296712765821E-95/5.772161858557694E-6/0.0/9.119296712765821E-95/5.772161858557694E-6/0.0/0.9742374280710275/0.0/8.86019587977733E-10/0.0/9.119296712765821E-95/","12/","no"
"13","112902500","2351/101165/101165/101165/15712/101165/2268/868/50/101165/101165/2268/101165/50/101165/2351/68/","9.41607869748053E-21/0.0/0.0/0.0/1.5748217310455387E-134/0.0/4.793613998611012E-20/4.003799924889784E-8/0.37001150979186725/0.0/0.0/4.793613998611012E-20/0.0/0.37001150979186725/0.0/9.41607869748053E-21/0.2599769403782663/","8/13/","no"
"14","109473800","155/215/373066/373066/215/246/22425/215/373066/22425/215/373066/914/373066/50/156/22425/","0.08913687880540204/0.02748670859860503/0.0/0.0/0.02748670859860503/0.014967174356761917/2.0329825852947693E-191/0.02748670859860503/0.0/2.0329825852947693E-191/0.02748670859860503/0.0/3.067140444346952E-8/0.0/0.6985429612343209/0.08740612053769063/2.0329825852947693E-191/","14/18/","no"
"15","111866000","705/716/1317511/1317511/716/290/4600/716/4600/290/716/4600/1317511/1469/211/50/1317511/","2.4930017945444953E-6/2.0093298326126574E-6/0.0/0.0/2.0093298326126574E-6/0.008524864659739173/1.6925674436874715E-39/2.0093298326126574E-6/1.6925674436874715E-39/0.008524864659739173/2.0093298326126574E-6/1.6925674436874715E-39/0.0/7.777158331666935E-13/0.040125287847594684/0.9428144525110242/0.0/","15/17/","no"
"16","120595100","716/1317511/1317511/1317511/81670/716/581/4600/133/716/1317511/4600/1317511/1199/716/1317511/50/","1.7812456870847205E-6/0.0/0.0/0.0/0.0/1.7812456870847205E-6/2.513777682011755E-5/1.5004398034782492E-39/0.16417455372478032/1.7812456870847205E-6/0.0/1.5004398034782492E-39/0.0/1.3730919304284564E-10/1.7812456870847205E-6/0.0/0.835793183378342/","16/","no"
