"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101912700","50/975/4494307/123/6259/975/123/","0.67660765919777/8.983119745676801E-9/0.0/0.1616961614179952/9.059675293924473E-54/8.983119745676801E-9/0.1616961614179952/","0/7/8/","no"
"1","107949200","975/143/200/975/200/975/600/","0.0012912392342579314/0.41712259931306284/0.2807730939807525/0.0012912392342579314/0.2807730939807525/0.0012912392342579314/0.017457495022658188/","1/7/8/","no"
"2","109472400","975/145/109/738/145/738/975/","1.5556436752564288E-4/0.29434685519315656/0.4083119962186201/0.0013415823300077588/0.29434685519315656/0.0013415823300077588/1.5556436752564288E-4/","2/7/8/","no"
"3","102545900","207/395/2009/50/395/237/207/","0.04110196824199178/0.0010302294038747983/1.8569103010216175E-17/0.892911419800565/0.0010302294038747983/0.0228241849077018/0.04110196824199178/","3/7/8/9/","no"
"4","102139300","489/140/140/716/68/716/716/","0.0013120632654518355/0.20634962202332716/0.20634962202332716/4.888649177487687E-5/0.5858420332125692/4.888649177487687E-5/4.888649177487687E-5/","4/7/8/","no"
"5","102851500","395/395/1884/217/395/50/395/","0.0011068024127253958/0.0011068024127253958/2.3140585394278824E-16/0.03629468193138568/0.0011068024127253958/0.9592781084177125/0.0011068024127253958/","5/7/8/9/","no"
"6","101143900","207/2009/4494307/207/395/395/50/","0.04206199908673501/1.9002827048541156E-17/0.0/0.04206199908673501/0.0010542927771677291/0.0010542927771677291/0.9137674162721945/","6/7/8/","no"
"7","104617700","251/6483/4494307/6483/191/1736/6483/","0.4224265464551363/3.382798615785598E-15/0.0/3.382798615785598E-15/0.5773886310538954/1.8482249095808515E-4/3.382798615785598E-15/","4/7/8/","no"
"8","103941500","202/395/2041/50/395/242/202/","0.04505027938209657/0.0010237429402035426/9.852567204598589E-18/0.8872895287300888/0.0010237429402035426/0.02056242662531096/0.04505027938209657/","3/7/8/9/","no"
"9","102341500","241/395/1798/50/395/203/241/","0.021497311827398047/0.0010495064991715992/1.1847564751383141E-15/0.9096190952623198/0.0010495064991715992/0.04528726808453965/0.021497311827398047/","3/7/8/9/","no"
"0","102896500","50/975/4494307/153/5794/975/153/","0.7902545676364813/1.0491976131431227E-8/0.0/0.10487270568978319/9.644651581040064E-50/1.0491976131431227E-8/0.10487270568978319/","0/7/8/","no"
"1","101143500","975/103/158/975/158/975/705/","1.0463813991684269E-4/0.45822861417329097/0.27002702951806307/1.0463813991684269E-4/0.27002702951806307/1.0463813991684269E-4/0.0014034123708325473/","1/7/8/","no"
"2","109297300","975/142/50/745/142/745/975/","9.987693773510368E-9/0.12386304604795308/0.7522720720862276/9.07921239386975E-7/0.12386304604795308/9.07921239386975E-7/9.987693773510368E-9/","2/7/8/","no"
"3","102622300","236/395/1832/50/395/209/236/","0.023725846631073532/0.0010501342049324429/6.086380626908158E-16/0.9101631349102117/0.0010501342049324429/0.04028490341777568/0.023725846631073532/","3/7/8/9/","no"
"4","101565000","510/132/132/716/50/716/716/","8.639100910061666E-5/0.14300692218265043/0.14300692218265043/1.5214562307724233E-6/0.7138952002569062/1.5214562307724233E-6/1.5214562307724233E-6/","4/7/8/","no"
"5","100435300","395/395/1834/209/395/50/395/","0.0011000217590750084/0.0011000217590750084/6.130338048481152E-16/0.04219867338255042/0.0011000217590750084/0.953401239581149/0.0011000217590750084/","5/7/8/9/","no"
"6","103634000","236/1832/4494307/236/395/395/68/","0.07345927410621911/6.616471443022045E-12/0.0/0.07345927410621911/0.007332989907309683/0.007332989907309683/0.8384154719663259/","6/7/8/","no"
"7","100471500","522/975/4494307/975/1861/231/975/","0.20266485147680088/0.02875947936184607/0.0/0.02875947936184607/6.312848528955459E-4/0.7104254255847655/0.02875947936184607/","5/7/8/9/","no"
"8","105395700","241/395/1798/50/395/203/241/","0.021497311827398047/0.0010495064991715992/1.1847564751383141E-15/0.9096190952623198/0.0010495064991715992/0.04528726808453965/0.021497311827398047/","3/7/8/9/","no"
"9","102203600","235/395/1834/60/395/209/235/","0.04696282151134924/0.003408953788516353/1.9388449959191657E-13/0.8273341928718455/0.003408953788516353/0.07192225652822931/0.04696282151134924/","3/7/8/9/","no"
"0","103041300","68/975/4494307/79/107919/975/79/","0.3696475358519369/7.228002955022E-7/0.0/0.31517550927373605/0.0/7.228002955022E-7/0.31517550927373605/","0/3/6/7/8/9/","no"
"1","102291500","2502/50/166/2502/166/2502/937/","1.092861740496194E-21/0.8293973928749186/0.08530129196369104/1.092861740496194E-21/0.08530129196369104/1.092861740496194E-21/2.3197699160542383E-8/","1/7/8/","no"
"2","103791500","975/161/50/697/161/697/975/","1.0821442083977991E-8/0.09246251320966066/0.8150699094385664/2.5212496140124424E-6/0.09246251320966066/2.5212496140124424E-6/1.0821442083977991E-8/","2/7/8/","no"
"3","104187000","194/395/2092/60/395/250/194/","0.08719227794448496/0.003231782375562527/2.676159619096835E-15/0.7843356727892625/0.003231782375562527/0.034816206570639836/0.08719227794448496/","3/7/8/9/","no"
"4","104896000","250/412/412/1836/109/1836/1836/","0.19755875847841675/0.045300079101132124/0.045300079101132124/1.081333071202919E-7/0.7118407589193977/1.081333071202919E-7/1.081333071202919E-7/","4/7/8/","no"
"5","107050400","395/395/2097/251/395/60/395/","0.003886629250149364/0.003886629250149364/2.965139371716505E-15/0.041190102751614006/0.003886629250149364/0.9432633802477857/0.003886629250149364/","5/7/8/9/","no"
"6","102714400","249/1746/4494307/249/395/395/68/","0.06241952584223589/2.3605784869891084E-11/0.0/0.06241952584223589/0.007522782716349739/0.007522782716349739/0.860115382859223/","6/7/8/","no"
"7","100558600","948/2502/4494307/2502/948/161/2502/","0.007647025785979482/5.217741082815008E-7/0.0/5.217741082815008E-7/0.007647025785979482/0.9847043831057162/5.217741082815008E-7/","5/7/8/9/","no"
"8","109421600","210/395/1989/60/395/234/210/","0.06913527221667617/0.003331018679770309/1.492670278170347E-14/0.8084197738767878/0.003331018679770309/0.046647644330304376/0.06913527221667617/","3/7/8/9/","no"
"9","105160200","194/395/2092/60/395/250/194/","0.08719227794448496/0.003231782375562527/2.676159619096835E-15/0.7843356727892625/0.003231782375562527/0.034816206570639836/0.08719227794448496/","3/7/8/9/","no"
"0","102936300","50/975/4494307/123/6259/975/123/","0.67660765919777/8.983119745676801E-9/0.0/0.1616961614179952/9.059675293924473E-54/8.983119745676801E-9/0.1616961614179952/","0/7/8/","no"
"1","101639000","2502/93/271/2502/271/2502/673/","5.6892708911193285E-12/0.7673751834474942/0.11551019766422148/5.6892708911193285E-12/0.11551019766422148/5.6892708911193285E-12/0.001604421206994903/","1/7/8/","no"
"2","104753200","975/177/50/658/177/658/975/","1.1388484957001431E-8/0.07110452794710664/0.8577795205584459/5.700385185442909E-6/0.07110452794710664/5.700385185442909E-6/1.1388484957001431E-8/","2/7/8/","no"
